,date,date_idx,total,electric,plug-in hybrid electric,fuel cell,diesel,flex fuel,gasoline,gasoline hybrid,natural gas,propane
0,202112,95,29942470,1.744799276746374,1.0196520193557843,0.0337881276995518,1.9711733868314805,4.037622814684292,86.82854821262241,4.335864743289381,0.0282408231518642,0.0003105956188651
1,202111,94,29836092,1.708266618831984,1.0103836655283138,0.0330740366399191,2.008966187662915,4.034023624809844,86.86518328204646,4.311442664810123,0.028123656409157,0.0005362632612877
2,202110,93,29729714,1.671472520724552,1.0010489841913717,0.0323548353004674,2.047029446701034,4.030398677901846,86.90208052455533,4.286845813585694,0.0280056511811718,0.0007635458585306
3,202109,92,29623336,1.6344141659129816,0.9916472607946654,0.0316304686278412,2.085366077608545,4.026747696478209,86.93924276455563,4.262072306778683,0.0278867984348555,0.0009924608086003
4,202108,91,29516958,1.5970886972837783,0.9821777704870536,0.0309008807750446,2.1239790360510726,4.023070399056705,86.97667286717012,4.237120234408979,0.0277670890069362,0.0012230257603103
5,202107,90,29410580,1.559493216386756,0.9726397779302552,0.0301660150870877,2.162871320456788,4.019366500082623,87.0143737389742,4.211987658862899,0.0276465136015678,0.0014552586178171
6,202106,89,29304202,1.521624782684749,0.9630325371085008,0.0294258140863211,2.202045972792571,4.015635709854853,87.05234832874821,4.186672614391615,0.0275250627879237,0.0016891775452544
7,202105,88,29197824,1.4834804127869254,0.9533552911340242,0.0286802194574499,2.2415060793571464,4.011877734450349,87.09059962824627,4.161173106598628,0.0274027269977379,0.0019248009714696
8,202104,87,29091446,1.4450570796652735,0.9436072720482852,0.0279291720322186,2.281254771591622,4.008092275646938,87.12913067298201,4.135487111915991,0.0272794965227923,0.0021621475948634
9,202103,86,28985068,1.4063517118538416,0.9337877006188152,0.0271726117737588,2.3212952269078686,4.004279030844433,87.16794454303161,4.109612577068993,0.0271553615123483,0.0024012363883362
10,202102,85,28878690,1.3673611926302751,0.9238957861315732,0.0264104777605909,2.361630669535218,4.000437692983996,87.20704436385446,4.083547418529026,0.0270303119705222,0.0026420866043438
11,202101,84,28772312,1.3280823591791997,0.9139307261786956,0.0256427081702714,2.4022643713859355,3.996567950465712,87.24643330713222,4.057289521954301,0.0269043377536014,0.0028847177800657
12,202012,83,28665923,1.2884950538658742,0.903881587904914,0.0248552959554101,2.443186636620771,3.9926500883993854,87.28616203985477,4.030806892211355,0.0267983696181699,0.0031640355693413
