,year,county code,January,February,March,April,May,June,July,August,September,October,November,December
0,2016,015,19.64,5.76,13.98,4.37,1.34,0.61,0.71,0.0,0.06,22.7,11.84,16.58
0,2017,015,19.87,22.11,13.67,11.46,2.31,1.64,0.0,0.1,1.42,2.75,13.35,3.88
0,2018,015,13.33,2.9,13.42,7.41,0.72,1.34,0.01,0.0,0.24,1.85,5.15,8.09
0,2019,015,13.57,21.02,4.78,10.27,4.92,0.01,0.02,0.93,4.1,2.81,2.89,14.33
0,2020,015,18.37,1.86,3.96,2.9,7.3,1.0,0.01,0.03,0.75,1.37,7.91,10.5
0,2021,015,19.43,9.94,7.03,1.25,0.68,3.15,0.2,0.07,4.06,9.08,7.87,12.87
0,2022,015,4.79,1.48,4.78,9.27,5.53,3.59,0.5,0.04,0.44,0.87,8.1,-9.99
0,2015,017,0.12,6.96,0.87,3.41,1.96,0.85,0.43,0.05,0.11,2.07,5.25,10.41
0,2016,017,11.92,2.18,10.64,3.9,1.8,0.03,0.0,0.05,0.09,10.29,4.01,8.23
0,2017,017,24.56,20.83,5.6,7.45,1.08,0.56,0.01,0.2,0.95,0.78,10.63,0.87
0,2018,017,6.61,1.31,15.07,4.76,1.68,0.02,0.11,0.02,0.02,0.91,5.81,3.97
0,2019,017,10.66,19.5,8.34,2.81,5.76,0.18,0.03,0.01,1.61,0.1,2.34,9.18
0,2020,017,3.5,0.11,7.53,3.9,2.58,0.27,0.05,0.06,0.03,0.02,3.89,3.96
0,2021,017,6.35,3.39,3.56,0.66,0.43,0.08,0.1,0.02,0.4,11.09,1.78,14.24
0,2022,017,0.47,0.77,1.5,5.93,0.57,0.91,0.01,0.21,1.51,0.08,4.26,-9.99
0,2015,019,0.19,1.89,0.28,1.01,1.02,0.18,0.56,0.02,0.16,1.16,2.55,3.21
0,2016,019,5.47,1.2,3.34,1.94,0.64,0.25,0.0,0.02,0.07,1.78,1.4,3.49
0,2017,019,12.17,7.34,1.67,3.01,0.51,0.09,0.01,0.23,0.45,0.15,1.43,0.1
0,2018,019,2.1,0.49,7.01,1.71,0.26,0.0,0.25,0.0,0.02,0.49,3.28,1.26
0,2019,019,4.01,7.15,3.95,0.63,3.52,0.08,0.07,0.0,0.01,0.0,2.01,3.69
0,2020,019,0.7,0.23,3.39,2.76,0.53,0.04,0.0,0.02,0.0,0.0,0.76,1.19
0,2021,019,3.97,0.53,2.01,0.18,0.04,0.01,0.06,0.05,0.03,2.48,0.38,7.09
0,2022,019,0.03,0.21,1.58,0.89,0.0,0.05,0.07,0.37,0.77,0.0,1.79,-9.99
0,2015,021,0.11,3.84,0.21,1.7,0.25,0.07,0.18,0.02,0.23,0.11,1.54,4.1
0,2016,021,8.9,0.7,7.06,0.88,1.19,0.45,0.0,0.0,0.0,2.94,3.0,4.49
0,2017,021,10.5,9.55,2.52,2.67,0.09,0.17,0.0,0.0,0.07,0.34,2.62,0.03
0,2018,021,3.64,0.08,3.4,3.33,0.27,0.01,0.0,0.0,0.03,1.06,4.45,2.68
0,2019,021,7.86,14.32,6.48,0.49,2.79,0.0,0.0,0.07,0.38,0.02,1.01,5.7
0,2020,021,1.72,0.0,1.07,0.62,1.57,0.12,0.0,0.14,0.0,0.01,0.57,1.4
0,2021,021,3.4,0.82,1.91,0.26,0.02,0.07,0.0,0.0,0.18,6.14,1.51,5.45
0,2022,021,0.28,0.01,1.04,0.79,0.2,0.5,0.01,0.03,1.71,0.0,1.77,-9.99
0,2015,023,2.13,10.79,3.68,3.29,0.38,0.17,0.38,0.47,0.62,1.1,5.43,22.11
0,2016,023,19.71,4.29,14.58,3.52,1.41,0.3,0.31,0.01,0.04,15.75,8.89,11.05
0,2017,023,18.42,20.69,10.95,8.43,1.4,0.79,0.05,0.36,0.97,1.87,10.53,2.26
0,2018,023,11.12,3.08,11.26,6.23,1.19,0.42,0.02,0.02,0.56,1.29,6.96,6.47
0,2019,023,12.3,22.52,7.79,4.03,4.57,0.01,0.02,0.35,2.42,1.88,2.76,12.83
0,2020,023,11.7,1.1,3.81,2.59,6.03,0.52,0.03,0.06,0.69,0.51,4.26,6.37
0,2021,023,11.38,7.52,5.85,0.91,0.35,1.13,0.13,0.03,1.61,7.12,4.9,11.48
0,2022,023,3.24,0.72,2.66,6.66,2.71,1.78,0.57,0.03,1.02,0.33,8.21,-9.99
0,2015,025,0.36,0.05,0.63,0.02,0.32,0.06,0.37,0.02,0.1,0.17,0.04,0.07
0,2016,025,0.94,0.01,0.01,0.26,0.05,0.0,0.08,0.03,0.2,0.06,0.03,1.39
0,2017,025,1.11,0.94,0.04,0.0,0.12,0.0,0.23,0.18,0.2,0.0,0.0,0.0
0,2018,025,0.17,0.03,0.05,0.03,0.0,0.0,0.12,0.11,0.21,0.4,0.02,0.93
0,2019,025,0.65,0.59,0.21,0.07,0.05,0.0,0.04,0.0,0.58,0.0,0.98,0.59
0,2020,025,0.02,0.46,1.78,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04
0,2021,025,1.24,0.01,0.06,0.01,0.0,0.01,0.29,0.31,0.19,0.05,0.0,0.32
0,2022,025,0.0,0.02,0.05,0.0,0.0,0.0,0.02,0.66,0.87,0.47,0.04,-9.99
0,2015,027,0.64,0.48,0.23,0.06,0.73,0.1,1.12,0.07,0.04,1.44,0.16,0.1
0,2016,027,1.02,0.56,0.29,0.98,0.26,0.27,0.11,0.04,0.02,0.31,0.18,0.87
0,2017,027,3.87,1.89,0.06,0.56,0.39,0.01,0.12,0.31,0.31,0.0,0.15,0.01
0,2018,027,0.91,0.13,1.16,0.25,0.24,0.0,0.67,0.02,0.03,0.33,0.41,0.37
0,2019,027,1.64,2.2,2.37,0.17,1.12,0.04,0.07,0.15,0.03,0.0,0.99,1.22
0,2020,027,0.05,0.25,1.24,0.96,0.05,0.07,0.0,0.01,0.0,0.0,0.1,0.26
0,2021,027,0.66,0.13,0.28,0.04,0.01,0.01,1.02,0.02,0.08,0.42,0.05,1.89
0,2022,027,0.01,0.05,0.19,0.04,0.0,0.09,0.17,1.24,0.53,0.0,0.39,-9.99
0,2015,029,0.81,0.86,0.31,0.21,0.5,0.05,0.5,0.0,0.18,0.58,0.76,0.8
0,2016,029,2.49,0.7,1.09,0.92,0.3,0.0,0.0,0.0,0.0,0.42,0.73,2.56
0,2017,029,5.12,3.05,0.45,0.25,0.18,0.01,0.01,0.05,0.32,0.01,0.2,0.03
0,2018,029,1.53,0.35,2.67,0.31,0.11,0.0,0.08,0.0,0.0,0.06,0.82,1.1
0,2019,029,2.8,2.95,2.12,0.24,1.26,0.1,0.01,0.0,0.01,0.0,1.47,2.36
0,2020,029,0.31,0.14,2.39,2.25,0.13,0.05,0.0,0.02,0.0,0.0,0.26,0.5
0,2021,029,1.27,0.1,0.76,0.2,0.0,0.05,0.12,0.0,0.01,0.92,0.03,3.35
0,2022,029,0.06,0.16,1.13,0.36,0.0,0.17,0.01,0.08,0.35,0.01,0.92,-9.99
0,2015,031,0.17,0.72,0.25,0.48,0.28,0.03,0.08,0.01,0.01,0.58,0.79,1.18
0,2016,031,2.39,0.35,1.18,0.48,0.24,0.03,0.0,0.0,0.0,0.74,0.87,1.33
0,2017,031,3.74,2.57,0.61,0.7,0.34,0.01,0.0,0.0,0.07,0.03,0.1,0.04
0,2018,031,1.08,0.17,2.26,0.34,0.0,0.0,0.0,0.0,0.0,0.08,1.27,0.41
0,2019,031,1.66,2.21,1.37,0.29,1.36,0.09,0.0,0.0,0.0,0.0,0.77,1.94
0,2020,031,0.55,0.01,2.07,1.29,0.06,0.0,0.0,0.0,0.0,0.0,0.25,0.31
0,2021,031,2.36,0.03,0.78,0.13,0.0,0.0,0.0,0.0,0.0,0.82,0.1,3.09
0,2022,031,0.01,0.09,1.08,0.19,0.0,0.05,0.0,0.01,0.08,0.0,0.5,-9.99
0,2015,033,0.46,6.44,0.55,2.52,0.21,0.08,0.17,0.15,0.72,0.26,2.42,11.38
0,2016,033,14.73,2.02,14.0,1.35,0.93,0.26,0.0,0.0,0.0,7.48,5.18,9.39
0,2017,033,22.13,17.09,4.67,5.61,0.03,0.28,0.0,0.0,0.04,0.42,6.45,0.27
0,2018,033,8.1,0.56,7.41,5.53,0.24,0.01,0.0,0.0,0.16,1.41,5.89,5.06
0,2019,033,11.76,20.47,8.86,1.9,5.15,0.01,0.0,0.26,0.35,0.07,1.66,10.46
0,2020,033,5.04,0.02,2.22,1.41,2.58,0.02,0.0,0.36,0.02,0.03,1.72,3.6
0,2021,033,6.07,3.09,3.29,0.41,0.01,0.05,0.0,0.0,0.3,10.09,2.49,10.77
0,2022,033,1.03,0.06,1.37,3.35,0.36,0.66,0.04,0.05,2.09,0.03,2.37,-9.99
0,2015,035,0.13,2.57,0.57,0.91,2.72,0.74,1.36,0.05,0.31,1.08,2.23,4.56
0,2016,035,5.09,1.07,3.62,1.79,2.05,0.56,0.02,0.04,0.04,3.71,1.56,4.08
0,2017,035,7.83,7.03,2.41,3.78,0.53,0.66,0.16,0.79,0.5,0.58,3.73,0.47
0,2018,035,2.65,0.48,3.44,3.69,2.79,0.32,0.07,0.01,0.0,1.08,1.98,2.37
0,2019,035,4.32,6.4,2.9,2.15,3.1,0.46,0.04,0.22,1.76,0.17,0.29,3.76
0,2020,035,2.27,0.07,2.06,0.91,1.48,0.39,0.1,0.1,0.0,0.04,1.13,2.26
0,2021,035,2.64,1.74,1.5,0.53,0.33,0.34,0.16,0.02,0.77,4.13,0.5,5.63
0,2022,035,0.26,0.22,0.75,2.72,0.64,1.48,0.01,0.17,1.07,0.16,1.49,-9.99
0,2015,037,1.39,0.78,0.64,0.23,0.72,0.04,0.36,0.01,1.0,0.6,0.29,1.05
0,2016,037,3.47,0.84,1.93,0.43,0.31,0.01,0.0,0.0,0.01,0.48,1.08,4.03
0,2017,037,7.83,4.64,0.28,0.11,0.36,0.03,0.01,0.09,0.24,0.02,0.07,0.01
0,2018,037,2.12,0.37,3.8,0.06,0.17,0.0,0.01,0.0,0.0,0.4,1.45,2.41
0,2019,037,5.64,6.38,2.65,0.14,1.19,0.03,0.01,0.0,0.04,0.0,2.36,4.96
0,2020,037,0.24,0.14,4.9,3.81,0.16,0.01,0.0,0.02,0.0,0.01,0.22,1.38
0,2021,037,2.0,0.04,1.07,0.04,0.02,0.0,0.08,0.02,0.01,0.79,0.0,7.72
0,2022,037,0.14,0.17,1.3,0.32,0.02,0.13,0.02,0.01,0.48,0.18,1.94,-9.99
0,2015,039,0.16,1.82,0.25,1.69,0.91,0.14,0.51,0.02,0.28,1.22,3.05,4.37
0,2016,039,6.12,1.13,4.57,2.53,0.63,0.23,0.02,0.01,0.08,2.44,1.71,4.61
0,2017,039,11.94,8.14,2.34,3.25,0.33,0.14,0.0,0.44,0.78,0.21,2.03,0.16
0,2018,039,2.56,0.59,8.71,2.18,0.37,0.0,0.11,0.01,0.05,0.5,4.2,1.44
0,2019,039,4.9,6.9,4.19,0.86,3.63,0.12,0.09,0.0,0.04,0.01,1.2,3.36
0,2020,039,0.92,0.1,3.37,3.09,0.67,0.11,0.02,0.07,0.02,0.0,1.07,1.62
0,2021,039,4.19,0.65,1.73,0.29,0.13,0.08,0.2,0.29,0.04,3.05,0.58,7.82
0,2022,039,0.03,0.12,1.71,1.77,0.02,0.02,0.05,0.33,0.74,0.03,1.94,-9.99
0,2015,041,0.05,3.53,0.26,1.88,0.12,0.27,0.07,0.03,0.27,0.06,1.84,7.55
0,2016,041,10.73,1.17,9.7,1.51,0.22,0.03,0.0,0.01,0.0,6.33,4.04,7.07
0,2017,041,17.01,13.84,4.45,4.65,0.07,0.3,0.0,0.0,0.1,0.24,5.1,0.09
0,2018,041,6.77,0.37,8.32,5.04,0.13,0.0,0.0,0.02,0.02,1.29,5.19,3.34
0,2019,041,7.95,15.07,7.21,1.13,3.56,0.01,0.0,0.0,0.1,0.02,1.53,10.12
0,2020,041,3.56,0.0,2.16,1.47,1.24,0.0,0.01,0.25,0.0,0.01,1.54,2.83
