Renewables 11/08/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,5,6,5,5,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,6,7,7,7,6,7,6,4,7,6,6,6,6,6,6,7,7,7,7,6,6,6,6,6,6,6,6,11,22,47,100,202,315,475,678,904,1152,1429,1697,1960,2250,2591,2963,3279,3550,3784,4015,4285,4673,5011,5232,5450,5654,5803,6195,6592,6855,6944,7254,7221,6815,6647,7238,7301,7222,7180,7002,6842,6932,6764,6784,6801,6789,6693,6729,6934,6963,7035,7226,7173,6940,6594,6617,6638,6596,6357,6287,6365,6415,6592,6798,6826,7145,6792,6444,6548,6685,6735,6489,6206,6222,6255,6280,6245,5993,6084,5965,5856,6099,6055,6019,6278,6258,5995,5864,5545,5604,5722,5937,5820,5432,5266,5070,4898,4855,4627,4463,4296,4069,3999,3865,3979,3907,4160,4225,4340,4477,4262,3630,3206,2797,2588,2426,2311,1979,1711,1423,1073,827,610,445,297,194,120,66,28,13,-2,-7,-6,-4,-4,-3,-3,-3,-3,-2,-3,-2,-1,-2,-1,-1,-2,-3,-2,-2,-2,-3,-2,-1,-2,-3,-2,-3,-3,-3,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-3,-2,-2,-2,-2,-3,-3,-3,-4,-18,-37,-38,-39,-39,-38,-38,-37,-38,-38,-38,-38,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37
Wind,2572,2542,2503,2483,2494,2478,2472,2474,2415,2388,2364,2332,2287,2224,2216,2206,2157,2110,2077,2038,2000,1957,1933,1926,1890,1907,1900,1911,1993,2044,2092,2164,2175,2128,2038,1922,1890,1853,1785,1739,1726,1725,1707,1668,1656,1664,1649,1658,1650,1614,1617,1580,1530,1561,1584,1589,1578,1552,1524,1510,1524,1554,1570,1576,1602,1627,1674,1717,1720,1713,1672,1643,1621,1594,1596,1619,1648,1679,1677,1688,1710,1710,1664,1629,1593,1591,1648,1719,1772,1781,1768,1738,1757,1785,1772,1790,1783,1812,1820,1855,1876,1925,1955,1928,2079,2287,2457,2681,2997,3167,3236,3268,3200,3188,3171,3148,3144,3255,3334,3401,3450,3538,3568,3573,3611,3681,3720,3739,3777,3782,3766,3797,3843,3877,3920,3951,4020,4008,4036,4057,4035,4111,4242,4353,4420,4504,4519,4585,4724,4843,4885,5083,5169,5111,5019,5055,5101,5120,5209,5326,5411,5367,5258,5193,5127,5160,5132,4988,4993,4967,4938,4863,4787,4733,4656,4679,4723,4860,4932,4902,4874,4833,4734,4728,4758,4812,4890,4905,4880,4749,4757,4801,4809,4762,4565,4352,4264,4350,4376,4354,4279,4141,4145,4141,4103,4030,3977,3942,3923,3802,3803,3854,3918,3853,3812,3781,3735,3766,3755,3625,3614,3558,3443,3414,3399,3496,3565,3531,3433,3482,3459,3312,3269,3249,3260,3267,3229,3214,3239,3330,3442,3415,3382,3357,3272,3212,3178,3148,3042,2963,2896,2913,2882,2841,2770,2794,2820,2831,2776,2737,2676,2656,2635,2600,2614,2579,2504,2481,2461,2510,2533,2460,2423,2390,2410,2414,2421,2355,2335,2339,2336,2303,2321,2307,2362,2378,2392,2360
Geothermal,841,840,840,840,840,840,840,840,839,840,841,841,841,842,840,840,841,840,840,840,839,838,839,839,838,838,838,838,838,837,837,837,837,837,837,836,836,835,836,836,836,836,835,836,836,837,837,837,838,837,838,838,839,839,838,838,838,838,838,839,839,839,837,837,838,841,840,840,840,839,839,839,840,840,839,835,833,835,839,840,836,839,839,839,839,839,839,839,838,838,838,838,837,838,838,837,836,836,836,835,834,834,836,836,836,835,836,836,836,837,836,836,837,837,837,837,837,837,837,837,837,837,837,836,837,837,837,837,837,836,836,837,836,837,836,836,835,836,836,835,835,834,834,833,834,826,811,811,811,811,810,811,811,825,834,833,832,832,833,832,831,831,831,832,833,833,832,833,833,833,833,833,834,834,834,833,833,833,834,835,835,836,837,837,837,837,837,837,837,837,838,837,837,838,838,838,838,838,838,838,838,839,839,838,838,838,839,840,840,839,839,840,840,840,840,840,839,839,840,840,836,839,837,840,839,839,839,839,838,839,840,839,840,840,840,840,840,840,841,842,842,842,841,842,842,842,842,842,843,842,843,843,842,842,842,842,842,841,842,842,842,842,842,842,842,842,841,842,842,841,842,842,841,841,842,841,842,841,842,841,842,842,842,842,841,842,841,841
Biomass,213,213,213,213,212,212,211,211,209,209,209,210,210,211,211,208,209,211,211,212,211,210,213,213,212,212,210,211,211,212,211,211,212,213,214,213,214,216,216,214,215,215,214,214,213,212,211,212,210,212,212,212,213,214,215,215,214,213,212,211,210,208,199,196,194,198,199,200,199,201,205,206,207,209,212,211,211,211,210,207,206,207,210,207,207,207,206,201,202,203,203,204,205,204,203,201,207,208,196,200,197,198,203,203,203,203,204,206,204,208,206,205,205,206,205,204,203,203,203,204,204,199,200,203,205,204,203,203,205,205,203,203,205,200,197,198,203,202,202,203,203,201,200,202,202,203,202,201,200,201,201,201,200,201,201,202,201,200,196,199,201,200,201,204,205,204,204,205,205,205,203,207,210,208,208,206,206,205,208,206,207,209,209,211,210,211,211,211,211,211,213,213,214,212,212,212,212,212,213,213,212,212,211,211,211,209,209,210,210,209,208,210,210,211,211,209,210,210,210,209,209,212,211,212,213,214,214,212,213,213,212,213,216,216,215,217,214,218,218,215,216,217,219,218,218,221,219,220,219,220,221,222,222,220,219,221,223,225,225,226,224,227,225,225,222,219,217,217,219,218,217,217,216,217,211,211,211,211,213,214,215,216,216,218,220,221,218,219
Biogas,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,211,210,210,210,210,210,211,211,211,211,211,211,212,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,212,212,212,212,212,212,212,212,213,212,213,212,212,213,213,212,212,212,211,212,212,212,211,211,211,212,210,211,211,211,211,211,210,210,211,211,210,210,211,210,211,209,208,208,210,209,208,209,210,209,197,187,187,187,187,187,187,187,186,187,186,187,186,185,186,186,186,186,186,186,186,186,186,186,186,185,185,186,186,185,185,186,186,186,185,186,185,185,186,186,187,186,187,187,187,186,185,185,184,184,185,185,185,186,188,189,191,192,193,191,192,194,193,196,195,194,195,195,195,195,194,195,195,196,195,196,196,196,197,200,200,200,205,207,207,208,208,210,208,209,209,209,209,209,209,210,209,209,209,209,209,208,208,209,208,208,208,209,209,208,208,209,208,210,209,210,209,211,210,209,209,209,209,209,208,208,208,208,208,208,209,210,210,210,210,210,210,209,210,210,210,210,209,210,210,210,210,210,210,210,210,210,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,208,208,208,208,208,208,209,208,209,208,208,208,208,209,208,208,208,208,209
Small hydro,114,114,114,114,113,113,113,113,113,113,114,115,115,115,114,113,112,111,112,111,112,113,114,115,115,115,115,115,114,114,113,112,113,114,114,115,114,114,114,114,114,114,114,114,114,114,114,115,115,114,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,114,115,114,113,112,113,121,128,128,128,128,127,127,128,127,127,127,127,127,128,127,127,127,127,127,127,127,126,116,124,125,110,111,110,110,111,112,112,112,110,110,109,109,109,109,110,109,109,109,110,110,108,108,108,108,107,108,109,109,109,109,108,107,107,108,109,108,108,108,108,108,108,108,108,108,107,106,107,108,108,108,108,109,109,109,109,109,109,109,109,109,109,109,110,110,110,109,109,109,109,109,109,109,109,109,109,109,109,109,110,110,110,109,110,109,109,109,110,109,109,109,110,110,110,110,109,108,119,124,125,126,126,126,114,115,115,113,111,107,106,106,106,106,106,106,106,106,106,106,106,107,106,105,105,107,107,107,108,107,108,107,107,106,105,106,106,105,106,106,106,106,106,106,106,108,108,108,108,108,107,106,106,105,106,106,107,107,101,92,91,91,92,95,97,99,102,102,102,103,104,104,104,105,104,105,103,103,103,102,103,103,104,104,104,103,103,103,102,102,101,100
