Renewables 11/04/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,-17,-18,-18,-18,-16,-17,-16,-17,-17,-18,-17,-17,-17,-17,-17,-17,-17,-18,-18,-17,-17,-18,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-16,-17,-19,-18,-17,-19,-17,-18,-18,-18,-18,-18,-18,-18,-19,-18,-18,-19,-19,-19,-20,-20,-19,-19,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-19,-19,-15,-12,-12,-13,-13,-13,-13,-12,-13,-13,-10,-8,-3,20,89,198,298,414,596,872,1220,1690,2143,2710,3215,3756,4254,4733,5182,5590,6270,6397,7070,7869,8312,8700,9150,9520,9824,10120,10373,10620,10829,10980,11116,11205,11268,11329,11343,11413,11459,11556,11645,11668,11671,11645,11598,11499,11547,11685,11716,11691,11689,11748,11812,11828,11734,11778,11739,11585,11465,11443,11486,11627,11525,11574,11548,11650,11223,11283,11328,11386,11437,11451,11380,11160,11118,11209,11167,11056,10688,10669,10915,10700,10541,10647,10742,10680,10404,10696,11091,10676,10275,10380,10094,10106,9873,9605,9594,9235,8862,8618,8785,8687,8778,8673,8192,8311,8456,8321,7897,7511,6829,6006,5397,4793,4306,3759,3247,2835,2497,2299,2004,1654,1372,1110,844,627,451,324,228,145,93,20,10,10,11,11,10,11,13,16,15,15,15,13,-2,-6,-6,-6,-6,-6,-5,-5,-5,-5,-6,-1,35,45,46,46,46,46,46,46,46,46,46,35,-3,-17,-17,-17,-18,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17
Wind,1452,1464,1470,1448,1376,1353,1349,1352,1363,1407,1464,1525,1575,1600,1603,1577,1619,1699,1765,1764,1740,1751,1706,1631,1614,1608,1617,1642,1662,1722,1771,1759,1750,1755,1733,1758,1825,1881,1879,1825,1802,1772,1785,1805,1796,1758,1731,1700,1693,1674,1682,1700,1742,1767,1767,1766,1764,1784,1790,1773,1738,1690,1610,1553,1534,1502,1497,1499,1513,1549,1589,1586,1612,1636,1707,1783,1802,1835,1897,1940,1983,1982,1961,1986,2003,2007,2079,2074,1982,1874,1845,1819,1786,1756,1760,1808,1885,1939,1938,1893,1915,1919,1852,1836,1846,1840,1817,1793,1782,1751,1721,1697,1661,1644,1637,1662,1687,1730,1784,1851,1913,1970,2001,1999,1974,1977,2009,2058,2048,2021,1992,1970,1969,1954,1923,1907,1909,1910,1901,1906,1935,1961,1963,1998,2025,2045,2069,2097,2128,2133,2132,2123,2110,2088,2120,2147,2143,2141,2106,2101,2083,2100,2139,2195,2227,2242,2276,2300,2278,2251,2254,2263,2314,2359,2387,2403,2453,2533,2568,2543,2524,2485,2496,2529,2497,2424,2361,2316,2316,2342,2394,2438,2451,2503,2508,2599,2610,2595,2578,2600,2612,2577,2565,2557,2570,2593,2623,2649,2645,2595,2557,2564,2544,2555,2583,2594,2613,2638,2607,2591,2614,2641,2655,2684,2695,2686,2658,2659,2688,2707,2725,2772,2789,2812,2819,2786,2765,2746,2723,2736,2752,2773,2796,2843,2867,2896,2966,2991,2970,2941,2916,2955,2981,3008,2996,2986,3007,3072,3094,3098,3096,3122,3148,3159,3147,3135,3111,3095,3129,3166,3160,3175,3171,3175,3179,3201,3254,3296,3353,3372,3346,3280,3269,3286,3271,3259,3233,3174
Geothermal,876,875,875,874,876,876,875,876,877,876,876,876,876,876,877,877,876,876,876,876,876,876,876,877,876,877,876,877,877,876,875,876,875,876,875,858,842,849,851,852,849,841,842,844,845,847,846,847,848,849,841,838,839,839,838,838,841,842,842,841,842,852,853,854,853,853,854,856,859,858,859,859,858,854,830,829,829,832,845,850,850,850,850,850,849,844,839,839,840,839,839,839,837,841,842,840,840,839,852,860,866,873,878,869,867,866,867,883,883,884,882,883,881,881,870,865,855,856,855,855,854,869,878,878,879,878,878,878,878,878,879,878,878,878,878,886,886,887,887,887,888,888,888,887,888,887,888,887,887,887,886,874,874,875,874,874,873,873,874,873,874,874,874,875,874,875,875,874,874,879,888,887,887,881,882,882,882,882,877,871,871,871,870,870,868,870,869,869,863,864,865,863,862,859,871,864,864,864,863,863,864,864,864,863,863,862,860,856,855,856,856,856,857,853,848,848,848,848,848,849,848,843,840,840,839,842,844,844,845,848,852,854,864,864,859,858,847,847,849,856,856,863,870,878,879,879,876,875,860,861,861,852,847,850,858,863,863,863,862,863,860,849,848,849,848,847,846,846,845,844,845,842,835,835,835,835,836,835,835,835,835,835,836,835,835,835,828,824
Biomass,182,182,182,182,182,181,182,182,181,181,181,181,183,182,182,182,182,182,183,182,181,183,183,182,181,184,183,183,182,182,184,183,183,182,183,182,182,184,183,184,187,184,180,177,175,175,176,175,169,170,170,171,171,170,168,168,170,170,168,168,165,164,164,166,166,166,166,165,165,164,164,165,168,170,170,173,174,173,174,175,173,173,173,174,175,173,172,173,174,177,180,186,194,193,198,194,191,198,202,202,203,206,205,208,208,205,205,208,209,209,210,211,210,211,210,210,210,208,202,197,194,195,198,196,195,197,198,199,199,198,198,201,198,199,198,198,200,201,200,202,205,205,205,206,207,206,206,206,206,206,208,207,206,207,205,204,203,206,206,206,204,206,207,207,205,208,208,205,204,206,205,206,205,206,207,205,206,206,205,207,206,204,205,205,207,207,205,205,205,205,204,205,206,210,211,210,209,210,210,209,209,209,210,208,207,205,205,203,203,203,203,203,203,204,202,202,204,204,205,204,204,204,203,204,204,206,207,206,206,208,207,206,207,208,207,207,208,209,207,210,210,210,211,209,210,212,212,213,214,215,214,214,214,214,213,214,217,216,212,215,218,219,217,218,216,213,212,217,218,215,214,214,212,211,208,208,210,212,210,211,211,210,211,211,210,210,210,210
Biogas,204,205,206,207,206,208,208,208,208,208,207,207,208,207,206,207,207,207,206,206,206,206,206,206,206,207,207,208,207,206,208,208,207,207,209,208,208,210,208,209,208,208,208,208,207,209,208,208,208,208,207,207,207,206,207,208,208,208,207,206,207,207,207,206,207,207,206,207,206,209,210,207,208,206,208,207,206,207,207,207,208,207,206,207,206,206,205,206,207,207,207,206,207,207,206,206,205,206,205,207,208,208,208,208,208,209,209,208,208,208,209,208,209,208,208,209,208,208,209,208,208,209,209,209,208,208,209,209,208,209,208,206,207,207,209,203,196,196,196,196,196,196,197,199,198,200,198,200,200,200,200,201,202,202,202,201,202,200,202,201,204,206,207,209,210,210,212,214,214,214,214,214,214,214,214,213,214,213,213,213,214,213,210,210,211,212,212,211,211,211,211,211,211,212,211,212,212,212,211,213,212,213,213,214,215,214,214,214,214,214,214,213,213,213,213,213,214,214,214,214,215,215,215,214,214,214,214,214,215,215,215,214,214,215,215,215,215,215,215,215,214,214,214,215,214,214,214,214,217,214,214,214,214,214,215,214,215,214,214,214,213,215,215,214,214,212,212,213,214,213,212,212,212,212,212,213,212,212,212,213,213,213,212,213,213,213,213,213
Small hydro,118,115,112,112,110,110,109,109,109,109,109,110,110,110,110,110,110,110,110,110,110,110,111,112,112,112,110,109,108,107,107,107,108,108,110,111,111,111,109,121,120,121,122,122,122,122,123,122,123,123,126,127,127,127,127,127,128,129,129,129,129,129,128,127,127,126,126,126,127,127,127,126,126,126,126,127,126,126,127,128,126,126,125,125,126,126,122,122,122,122,122,122,122,123,123,123,123,123,122,122,123,123,123,124,123,124,124,124,124,124,124,124,124,125,125,125,127,127,125,124,124,123,124,123,124,124,124,124,123,123,122,123,123,123,122,122,122,122,121,122,122,121,122,121,121,121,121,110,108,108,108,108,110,110,110,110,110,109,109,109,108,107,107,108,109,110,110,111,110,110,110,110,110,110,110,110,111,112,113,113,113,113,112,113,111,110,110,111,112,113,112,111,110,112,112,115,129,129,128,128,131,128,128,126,125,130,129,129,131,131,130,131,131,130,130,131,131,131,130,130,131,132,133,132,133,134,133,133,133,132,133,133,133,131,131,131,131,131,131,133,133,133,134,135,134,134,134,134,132,132,133,133,133,134,138,140,139,138,136,136,136,135,135,136,136,136,123,121,121,121,121,121,121,122,123,124,123,118,117,117,117,117,117,117,117,116,116,116
