Renewables 11/17/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,63,63,62,63,63,63,63,63,63,63,63,63,62,62,60,61,63,63,63,63,62,63,63,63,63,62,63,36,3,2,2,3,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,-5,-8,-8,-7,-8,-8,-9,-9,-9,-10,-10,-11,-10,-10,-7,6,6,5,5,5,4,4,4,5,8,15,34,88,184,305,489,718,1024,1373,1799,2273,2718,3246,3800,4337,4879,5485,6006,6461,7016,7682,8203,8671,9170,9651,9962,10303,10468,10681,10838,10943,11106,11270,11330,11384,11469,11540,11591,11596,11538,11437,11566,11570,11538,11563,11511,11440,11410,11411,11422,11518,11465,11391,11355,11333,11317,11268,11233,11226,11227,11296,11256,11214,11194,11113,11065,11058,11005,11044,11185,11220,11137,11213,11308,11269,11220,11219,11196,11120,10998,10895,10761,10608,10875,10812,11123,11173,11180,11216,11126,10935,10861,10726,10490,10206,10198,10144,9856,9534,9361,9455,9322,9182,9023,8708,8248,7953,7662,7214,6515,5912,5403,4761,4185,3724,3335,2805,2355,1973,1623,1297,1054,816,623,495,376,257,212,191,189,190,191,190,191,193,194,194,195,195,195,195,195,194,193,193,194,194,194,194,195,195,195,196,196,194,194,194,194,194,194,194,194,195,194,195,194,192,191,191,192,192,191,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,169,169,169,169,168,169,169,169,170,169,169,169,169,170,170,170,170,169,169,169,170,169,170
Wind,1323,1326,1334,1350,1364,1369,1382,1398,1407,1419,1430,1441,1447,1448,1470,1488,1502,1517,1513,1526,1565,1588,1631,1659,1698,1725,1760,1801,1835,1869,1870,1856,1858,1874,1890,1908,1921,1922,1923,1904,1899,1880,1855,1843,1851,1850,1843,1845,1860,1876,1879,1881,1874,1854,1847,1848,1837,1839,1860,1870,1897,1880,1882,1906,1913,1924,1937,1932,1928,1921,1899,1880,1881,1868,1861,1868,1887,1895,1902,1896,1894,1907,1913,1917,1828,1740,1665,1681,1771,1885,1922,1928,1911,1903,1901,1891,1875,1854,1842,1838,1835,1833,1821,1775,1769,1771,1761,1761,1763,1720,1693,1690,1687,1675,1665,1644,1621,1603,1575,1558,1539,1522,1507,1473,1452,1434,1427,1394,1348,1320,1313,1306,1299,1293,1285,1273,1269,1255,1250,1246,1241,1231,1224,1229,1212,1206,1194,1191,1189,1188,1177,1175,1173,1174,1174,1167,1150,1139,1120,1090,1077,1056,1054,1029,1010,984,970,952,956,928,915,895,876,857,852,821,789,758,721,702,678,657,614,591,562,536,530,528,533,548,567,597,650,703,734,753,806,867,899,911,899,882,865,841,835,887,883,860,829,816,807,803,791,775,756,741,728,756,763,754,738,733,711,708,747,832,882,932,967,1037,1110,1157,1188,1174,1172,1185,1183,1174,1153,1164,1187,1179,1169,1171,1200,1237,1222,1182,1165,1193,1254,1308,1333,1387,1411,1427,1436,1449,1479,1511,1510,1505,1464,1446,1440,1451,1473,1503,1520,1520,1473,1469,1455,1453,1445,1414,1389,1342,1300,1269,1226,1204,1182,1177,1186,1155,1102,1060
Geothermal,936,936,935,936,936,936,936,936,936,936,936,936,936,936,936,935,935,935,935,935,936,936,937,936,936,937,937,936,937,937,937,936,937,936,936,937,936,936,936,936,936,937,936,938,937,938,937,937,936,937,937,938,938,938,938,937,938,938,938,938,937,938,938,938,938,937,938,938,938,937,937,937,938,938,938,937,938,937,937,937,937,936,937,937,937,937,938,937,937,936,935,933,933,932,931,931,932,931,932,932,932,932,932,932,932,931,931,930,932,931,931,930,931,930,930,930,930,930,930,929,929,929,929,929,928,929,929,929,929,929,929,928,929,929,930,929,928,928,928,927,928,928,928,928,927,927,926,927,927,927,927,927,928,928,928,928,927,928,929,929,928,928,928,929,927,926,924,924,924,925,924,925,924,925,924,925,924,924,922,926,927,927,927,926,927,926,927,927,926,927,927,927,928,927,926,927,928,927,928,928,927,929,929,928,915,917,918,917,918,918,916,918,919,919,919,920,922,921,922,921,921,922,921,922,924,924,923,924,921,924,924,925,925,925,925,925,925,925,925,925,926,926,925,926,925,926,925,876,877,879,881,881,880,881,881,880,880,881,880,885,891,890,892,891,891,891,892,891,891,891,891,891,891,891,891,890,891,890,891,891,891,891,890,891,891,891,891,891
Biomass,255,255,253,254,255,254,252,253,252,251,252,254,254,254,252,251,252,251,248,247,247,251,255,253,257,257,259,256,254,255,253,255,254,254,253,252,252,252,254,253,254,257,257,257,258,256,254,255,255,257,255,256,256,255,255,256,255,255,255,256,256,257,260,260,260,259,261,263,263,262,260,259,265,269,270,271,270,272,270,269,270,270,269,268,270,271,271,266,264,266,264,266,266,265,268,268,266,266,268,267,267,267,264,265,267,269,266,269,266,265,268,269,269,267,266,267,268,269,270,269,268,269,269,270,272,271,269,269,269,271,269,269,270,269,268,269,267,268,267,266,265,265,267,266,265,266,267,267,267,266,264,264,266,265,264,264,263,262,265,263,261,264,265,266,268,267,264,262,262,265,266,267,267,268,267,266,269,269,269,269,268,269,268,269,268,269,272,272,274,273,272,272,272,274,271,272,273,273,271,271,270,268,269,272,270,268,267,268,268,268,269,269,271,271,268,268,268,270,268,264,264,264,263,263,265,262,259,248,238,233,235,232,233,234,230,226,225,225,225,225,226,225,223,223,224,226,226,226,226,224,224,225,225,226,225,224,227,228,227,228,228,227,227,223,219,217,217,216,217,218,217,217,217,217,215,212,212,211,212,211,211,212,212,211,211,210,212,213
Biogas,206,206,206,206,206,206,206,206,206,206,207,206,207,207,208,208,208,208,207,207,208,208,208,208,208,208,208,208,209,209,208,208,208,208,208,208,208,208,208,208,207,207,207,207,207,207,207,207,207,208,207,208,208,208,208,208,208,208,208,208,208,208,208,209,208,208,208,208,209,207,207,207,207,207,207,207,210,207,208,207,208,208,207,207,207,207,208,208,208,207,207,207,207,207,208,207,207,207,207,207,208,208,208,208,208,208,208,208,209,207,207,208,209,208,209,208,208,208,209,210,209,210,210,211,211,211,211,214,214,212,211,212,211,212,211,211,212,212,214,214,215,216,215,215,215,213,212,213,213,213,213,213,213,213,213,213,213,213,214,215,216,216,216,217,216,216,216,216,216,217,216,217,216,217,216,216,217,216,216,215,216,216,215,215,216,216,215,216,217,216,215,215,215,215,215,214,215,215,215,215,215,216,216,216,216,216,216,216,217,216,217,216,216,216,216,216,216,216,217,216,216,216,216,216,216,217,216,217,218,216,217,217,216,217,218,217,216,216,217,217,217,217,219,218,218,219,218,218,218,217,218,218,218,219,218,218,218,218,216,216,216,216,216,217,216,216,216,216,216,216,216,216,216,217,216,216,216,216,217,217,217,217,216,216,217,216,217,218
Small hydro,115,110,109,108,107,107,108,108,108,109,109,108,108,109,109,109,108,108,108,108,107,107,108,107,108,108,108,109,109,109,110,110,109,109,109,109,108,108,109,110,110,110,109,108,107,107,107,109,110,109,109,107,107,107,107,106,107,107,107,107,107,110,120,120,121,122,123,123,123,123,123,123,121,121,121,120,120,120,120,120,121,121,121,121,121,121,121,122,122,122,122,122,121,121,122,122,121,119,108,102,102,102,100,100,100,100,100,100,101,101,101,101,100,100,100,100,100,100,100,100,100,100,101,101,101,100,99,99,99,100,100,100,102,103,103,102,102,101,101,100,99,99,100,101,102,102,102,102,102,102,103,102,100,101,102,103,102,103,103,102,101,102,103,103,103,103,102,102,103,103,104,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,102,102,102,101,102,103,105,108,108,108,108,108,107,107,108,107,107,107,108,109,122,126,126,126,125,124,124,123,124,123,125,128,128,129,129,129,128,126,126,127,128,130,127,123,123,122,122,122,123,124,124,123,122,122,122,122,122,122,122,122,122,124,123,123,122,122,122,122,123,124,124,123,122,122,122,122,122,122,122,123,122,123,123,123,123,123,123,124,124,124,124,114,114,114,114,114,113,112,112,111,112
