Renewables 11/01/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,-33,-34,-34,-35,-35,-33,-35,-35,-34,-34,-33,-34,-33,-34,-35,-33,-35,-35,-35,-34,-35,-35,-35,-35,-35,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-33,-34,-35,-36,-35,-35,-35,-35,-35,-35,-35,-34,-35,-35,-35,-34,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-33,-34,-36,-35,-34,-34,-35,-35,-36,-36,-38,-38,-38,-38,-39,-39,-38,-39,-39,-39,-40,-40,-40,-39,-32,-16,19,94,182,275,528,806,866,1110,1498,1950,2236,2573,3129,3438,3781,4089,4774,5020,5361,5994,6005,6080,6160,6196,6205,6257,6281,6242,6418,6795,7124,7053,7318,7557,7977,8058,8061,8205,8468,8341,8272,8178,8223,8343,8795,8699,8668,8847,8966,8937,9287,9274,9055,8879,8828,8600,8731,9020,9024,9087,8850,8452,8443,8683,8743,8938,9025,9102,9048,8857,8902,9170,9203,9062,9183,9195,9150,8956,8793,8687,8558,8691,8433,8453,8539,8584,8800,8963,9162,8859,8694,8244,7667,7650,7909,8072,8142,8410,8498,8406,8254,7970,7638,7239,7094,6901,6536,6249,6316,6221,5959,5326,4877,4343,3772,3344,2784,2211,1764,1425,1071,772,555,436,303,187,89,54,-6,-34,-32,-30,-29,-29,-28,-27,-26,-25,-25,-25,-26,-34,-38,-39,-39,-38,-37,-37,-37,-36,-36,-35,-35,-35,-36,-36,-36,-36,-35,-36,-35,-35,-35,-36,-37,-38,-39,-38,-37,-38,-39,-38,-37,-38,-38,-37,-37,-38,-38,-37,-38,-37,-37,-37,-37,-37,-37,-37,-37,-38,-38,-38,-38,-38,-38,-38,-38,-38,-41,-38
Wind,1609,1595,1605,1598,1612,1640,1653,1670,1696,1698,1695,1693,1687,1673,1675,1708,1742,1773,1780,1781,1811,1846,1884,1930,1955,1968,1969,1958,1972,1986,2016,2030,2032,2037,2025,2019,1994,1954,1945,1970,1973,1982,1987,1982,1987,1985,2004,2033,2049,2049,2028,1994,1970,1933,1914,1903,1889,1871,1862,1830,1796,1774,1757,1753,1745,1742,1735,1733,1743,1764,1774,1765,1749,1736,1736,1753,1773,1814,1836,1874,1893,1907,1917,1923,1939,1945,1945,1947,1935,1935,1938,1922,1907,1889,1890,1879,1865,1843,1860,1867,1868,1870,1891,1911,1918,1939,1983,2064,2064,2005,2006,2028,2049,2158,2210,2247,2252,2226,2238,2343,2451,2494,2573,2619,2737,2745,2759,2754,2833,2845,2840,2859,2905,2959,2984,3012,3091,3292,3463,3477,3445,3316,3194,3158,3217,3255,3287,3331,3316,3303,3273,3247,3342,3400,3321,3271,3334,3307,3353,3411,3399,3437,3541,3553,3587,3679,3701,3766,3836,3871,3963,3983,3993,4047,4110,4140,4150,4165,4140,4147,4119,4185,4327,4369,4417,4407,4383,4309,4268,4299,4282,4294,4315,4303,4321,4280,4201,4228,4183,4222,4233,4316,4340,4301,4284,4230,4152,4126,4164,4169,4180,4192,4165,4211,4243,4248,4338,4398,4357,4407,4367,4328,4326,4346,4275,4259,4218,4153,4181,4193,4237,4268,4273,4254,4199,4165,4138,4083,4065,4044,4025,3993,4015,4056,4088,4123,4166,4208,4188,4211,4247,4273,4354,4400,4424,4386,4303,4301,4314,4332,4399,4470,4519,4569,4628,4644,4638,4658,4599,4487,4335,4266,4201,4141,4107,4073,4053,4006,3997,4006,4009,4013,4005,4005,4027,4096,4158,4180
Geothermal,918,920,923,925,923,922,920,921,920,921,922,921,921,921,919,917,917,917,918,918,919,919,919,919,918,917,919,918,918,917,917,917,918,917,917,917,917,919,918,918,919,920,922,922,921,917,894,886,883,878,882,881,882,883,883,883,884,883,885,884,885,885,886,886,886,887,886,886,886,887,885,871,863,864,863,864,864,864,867,868,867,865,865,849,844,844,864,865,865,866,865,865,865,866,866,866,865,866,865,867,868,869,867,868,869,869,869,867,868,868,868,869,869,869,869,869,869,868,868,866,869,868,869,869,869,869,870,870,871,870,871,871,871,871,871,871,871,871,872,872,871,872,869,869,869,869,868,864,863,862,862,862,862,862,862,861,862,862,862,861,862,862,862,860,861,862,862,863,862,861,862,861,862,862,862,862,862,863,863,864,864,863,863,864,863,863,863,864,864,864,863,864,863,864,864,865,865,865,865,865,865,865,865,865,865,865,865,866,865,865,866,865,866,866,866,866,866,866,866,866,867,867,867,866,867,867,866,867,867,867,867,867,869,868,868,868,869,869,869,869,869,870,869,870,870,870,871,870,870,870,870,870,870,871,871,870,871,870,871,871,871,870,871,871,871,870,870,870,870,871,870,869,870,869,870,870,870,870,869,870,869,865,865,866,864,865,865,866
Biomass,254,253,251,248,249,245,242,242,242,242,243,241,237,240,238,233,230,229,228,229,229,229,231,229,229,228,230,229,230,228,228,229,228,229,229,229,227,228,229,229,228,230,230,231,229,230,232,231,231,230,232,231,231,231,230,231,230,230,230,231,226,220,217,216,215,220,221,220,221,220,218,219,217,221,219,223,220,216,217,218,217,217,216,216,216,217,215,217,215,216,217,218,219,218,219,218,218,218,217,218,218,218,217,219,219,223,223,225,225,227,227,229,230,229,229,232,234,235,235,233,230,233,233,230,231,232,230,231,232,232,233,233,228,230,234,230,231,227,225,227,221,222,221,225,225,223,223,223,225,229,230,227,228,229,230,232,233,235,233,229,230,229,229,229,228,230,228,230,231,230,228,232,233,231,232,232,230,230,229,230,230,230,230,230,230,228,229,230,230,231,230,233,234,235,234,233,234,237,233,235,236,236,236,235,236,234,235,233,231,230,231,232,233,234,231,232,233,232,233,232,231,231,231,231,232,231,231,232,233,231,232,230,233,231,231,232,231,232,230,230,229,199,186,185,182,181,180,180,178,167,173,176,176,176,177,175,175,175,174,175,176,176,175,173,172,169,168,168,167,167,167,168,168,166,165,164,163,162,163,163,164,163,161,161,161,162,160,159
Biogas,211,208,208,206,206,207,207,206,207,206,207,207,207,207,207,207,207,208,207,207,208,207,206,207,207,206,207,206,206,206,206,206,206,207,206,206,206,206,206,206,207,207,206,206,206,207,207,207,208,207,207,207,207,206,206,206,206,206,206,206,206,206,206,206,206,206,205,206,206,206,205,206,206,206,205,205,205,205,206,205,206,205,205,205,205,205,205,205,205,205,205,204,204,204,203,203,203,204,203,204,204,205,205,205,205,207,205,205,205,205,204,205,205,206,205,205,204,204,205,205,205,203,203,204,203,203,202,203,203,203,203,203,202,202,202,203,203,203,203,204,204,205,204,204,204,204,204,203,203,203,203,203,204,204,203,203,203,203,204,204,204,204,204,204,204,204,205,205,204,205,204,204,205,205,204,205,204,204,204,204,204,204,204,204,204,204,204,204,204,203,204,204,204,205,204,204,204,204,204,204,204,205,204,204,205,204,204,205,204,205,206,205,205,206,205,205,205,206,207,205,205,205,205,205,205,205,204,205,205,207,206,206,206,206,205,205,205,206,205,206,206,206,206,206,206,206,207,206,206,206,205,206,206,206,207,206,206,206,206,205,206,206,206,206,206,206,206,206,206,206,206,206,206,206,205,206,206,206,206,206,206,206,205,205,205,205,205,205
Small hydro,144,143,133,121,121,120,120,120,120,119,119,119,119,119,118,118,118,118,118,118,118,118,118,118,119,119,119,119,119,119,119,119,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,119,119,119,119,119,121,140,144,144,143,142,142,142,142,142,142,142,143,143,142,141,139,138,137,138,138,138,138,138,138,139,138,139,139,139,139,139,139,139,139,139,137,135,136,135,136,135,136,136,135,135,136,136,132,132,132,132,132,132,132,132,131,131,131,131,131,130,130,119,109,110,110,110,109,109,109,109,109,108,108,108,108,108,108,108,108,108,109,109,109,109,109,109,110,110,110,110,110,110,110,111,111,111,111,111,111,111,111,110,110,110,110,110,110,110,110,102,102,102,103,103,105,105,105,104,105,104,104,103,102,104,104,104,105,105,105,105,105,111,124,132,133,134,134,132,132,132,132,134,134,142,145,146,146,145,144,142,141,142,142,143,143,146,147,147,146,147,147,147,146,148,148,148,149,147,147,147,146,146,146,146,146,146,146,147,147,146,146,146,146,146,147,146,146,146,146,146,146,149,149,150,150,150,151,150,149,149,149,149,148,147,148,148,148,147,147,146,145,146,146,146,142,134,134,133,132,131,132,131,131,131,131
