Renewables 11/25/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-35,-34,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-34,-30,-17,12,67,204,352,569,817,1141,1518,1966,2448,2877,3367,3856,4330,4790,5333,5856,6317,6843,7317,7847,8270,8591,8894,9277,9814,9993,10134,10075,10135,10004,10063,10506,10749,10784,10959,10933,10971,10961,11073,10981,10809,10863,10749,10521,10431,10124,10029,10291,10492,10538,10501,10643,10634,10590,10570,10765,10776,10718,10663,10510,10385,10532,10490,10541,10495,10496,10558,10690,10741,10714,10659,10705,10663,10770,10723,10717,10779,10793,10837,10958,10956,10983,11004,11028,10978,10814,10839,10814,10796,10824,10597,10203,10134,10300,10202,10072,9928,9751,9518,9242,8809,8323,7921,7545,7232,6774,6285,5825,5182,4433,3735,3203,2696,2270,1841,1465,1129,806,600,383,195,97,53,22,-17,-24,-27,-28,-27,-26,-25,-24,-24,-24,-24,-24,-24,-24,-25,-25,-25,-25,-25,-25,-24,-23,-23,-22,-22,-23,-23,-23,-23,-24,-24,-24,-24,-24,-24,-24,-24,-25,-26,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-26,-27,-27,-27
Wind,2075,2036,2010,2000,2004,1983,1964,1932,1896,1863,1848,1842,1844,1859,1861,1899,1945,1972,1986,1992,1976,1998,2001,1988,1982,1991,2005,1999,1996,1982,1967,1951,1924,1895,1878,1871,1864,1865,1872,1849,1809,1768,1715,1643,1575,1566,1555,1562,1563,1525,1484,1452,1441,1423,1408,1397,1360,1319,1301,1290,1266,1245,1264,1282,1295,1302,1311,1331,1350,1382,1400,1427,1429,1394,1363,1339,1307,1305,1297,1281,1252,1236,1227,1214,1169,1115,1103,1137,1152,1148,1122,1146,1177,1177,1147,1134,1102,1088,1065,1028,963,936,943,975,975,970,984,993,1002,1024,1057,1062,1075,1075,1041,996,952,905,897,888,874,888,891,889,902,916,911,918,904,870,833,811,807,810,800,777,769,768,762,747,750,785,799,805,814,819,816,811,785,779,763,755,761,753,747,729,685,657,658,635,607,575,552,540,520,507,488,478,482,484,465,450,431,403,382,357,336,311,286,275,263,258,249,246,250,253,254,259,271,272,271,259,241,245,248,256,261,270,281,291,292,293,301,309,316,332,343,363,379,369,347,347,357,366,389,408,423,444,462,477,495,511,523,534,527,542,562,577,584,597,612,646,702,759,789,808,823,850,884,917,950,971,970,963,980,1002,1017,1006,980,966,950,965,975,980,980,989,992,1002,1025,1052,1077,1081,1098,1094,1126,1130,1104,1086,1070,1087,1127,1158,1173,1199,1226,1257,1282,1300,1296,1252,1185,1104,1065,1070,1063,1059,1033,1002
Geothermal,939,940,940,940,940,940,939,940,940,940,939,940,940,940,941,940,941,941,940,940,940,940,940,941,941,940,940,940,941,939,939,939,939,938,939,939,939,938,939,938,940,939,940,940,939,940,940,940,940,940,940,940,940,941,941,940,941,941,941,941,941,941,941,940,940,940,940,941,940,940,940,940,940,941,940,939,937,940,938,941,941,940,941,941,940,941,940,941,942,941,941,942,942,941,941,941,941,941,940,940,940,939,940,939,940,940,940,940,941,939,940,939,941,937,938,938,938,939,940,939,939,938,937,938,937,937,937,937,938,938,938,939,938,939,939,940,938,940,940,939,940,940,939,940,940,939,940,939,939,940,938,940,939,939,986,1002,986,939,937,938,937,937,937,936,936,935,935,935,935,936,937,936,934,934,934,934,935,934,931,935,935,939,943,949,950,952,952,952,952,952,949,949,949,948,948,951,952,953,953,953,953,953,953,960,960,958,961,967,974,974,973,975,976,974,974,973,972,970,971,970,970,968,970,970,969,968,970,968,969,971,973,973,973,974,975,976,977,978,977,978,979,978,979,979,979,980,982,982,983,983,984,984,984,984,984,984,984,984,984,981,981,985,987,986,986,986,987,987,988,987,988,987,988,988,989,988,989,988,989,988,989,988,989,988,989,988,989,989
Biomass,290,292,292,292,290,289,290,292,291,291,291,293,288,291,291,291,292,291,290,291,290,291,291,291,290,290,288,288,290,290,291,292,292,293,292,293,293,291,292,291,291,291,291,291,293,290,289,290,289,289,289,289,291,293,292,292,291,292,292,293,292,294,297,295,297,298,297,296,295,296,296,302,308,310,309,309,306,306,308,309,308,309,307,308,306,306,308,307,305,307,307,305,307,309,308,308,308,308,309,308,310,310,311,310,311,311,310,307,296,300,299,302,303,307,308,309,310,308,306,302,306,307,308,309,307,308,307,305,308,309,309,305,302,308,308,307,307,307,309,308,309,309,305,305,308,305,306,306,308,307,307,309,308,303,301,303,305,308,307,307,305,308,308,307,307,307,304,306,305,305,307,307,306,307,307,305,304,305,304,305,304,306,305,307,308,306,307,309,307,305,306,308,308,309,309,309,308,307,307,307,303,306,307,307,308,309,309,309,309,309,309,308,309,308,307,307,307,306,308,306,305,305,307,307,307,308,304,304,303,302,303,304,308,308,306,296,297,299,302,304,307,307,309,311,310,309,309,309,309,309,309,307,310,310,310,310,311,310,311,310,310,307,308,305,301,298,296,295,295,295,297,295,297,296,296,292,293,292,293,292,290,290,289,290,291,289,289,290
Biogas,215,215,215,215,216,215,215,216,216,215,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,217,217,217,217,217,216,217,216,217,217,216,216,217,217,217,217,217,216,216,216,216,216,216,216,216,215,215,216,215,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,215,214,214,214,214,214,214,215,215,214,214,215,215,215,215,215,215,216,216,215,215,215,216,216,216,215,215,215,215,216,214,214,214,214,213,213,214,214,215,216,216,216,216,216,216,216,216,217,216,216,216,217,217,217,216,217,217,217,217,217,217,217,217,217,217,217,216,216,216,216,216,216,216,216,217,216,215,216,216,216,216,216,216,216,216,216,216,216,216,216,215,215,216,215,215,215,215,215,215,216,216,216,216,215,215,215,215,215,215,215,214,214,214,214,214,215,215,215,215,215,215,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,217,217,218,218,218,218,218,218,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,216,216,216,216,216,215,216,215,215,216,215,215,215,215,216,216,216,216,216,216,215,215,216,216,216,216,217,217,217,217,217,217,217,217,217,217,217
Small hydro,122,121,114,114,113,113,111,110,110,110,111,112,114,114,114,114,114,115,114,114,114,114,114,114,113,113,113,113,113,113,113,113,113,113,113,113,112,112,112,112,112,112,112,112,114,114,114,114,114,116,128,126,123,125,125,126,127,126,124,124,124,127,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,131,131,132,134,134,134,133,132,132,132,132,132,132,132,132,132,132,132,132,133,135,120,113,112,112,111,111,110,111,111,111,111,111,111,111,111,112,113,113,113,113,112,112,112,111,112,112,112,112,114,114,113,113,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,111,112,112,112,112,112,112,112,112,112,112,111,111,111,111,112,112,112,112,111,110,110,110,111,117,133,133,134,134,134,134,135,135,134,134,134,135,134,133,133,133,133,135,135,135,136,136,136,136,136,135,134,133,134,135,135,135,135,135,135,135,135,134,133,133,134,135,136,137,137,136,134,133,133,133,132,132,131,131,131,131,131,131,131,131,130,130,130,130,130,131,131,132,132,132,132,131,131,132,131,131,131,131,132,131,132,131,132,132,132,132,132,132,131,132,132,132,132
