Renewables 11/18/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,170,170,170,170,169,170,170,169,169,169,169,170,170,169,168,168,168,168,168,168,170,169,169,169,169,169,169,169,169,169,169,169,169,169,168,168,168,167,167,168,167,167,167,167,167,167,167,167,167,167,168,166,164,164,164,164,164,163,163,163,163,164,164,164,164,163,164,164,163,163,163,162,163,163,163,166,178,203,260,390,533,771,1043,1450,1846,2261,2629,3067,3574,4060,4551,5098,5556,6109,6606,7112,7220,7204,7516,7780,8012,8355,8510,8650,8801,8886,9081,9147,9185,9165,9264,9245,9341,9535,9545,9497,9383,9308,9220,9113,9295,9341,9352,9371,9402,9286,9313,9284,9296,9120,8914,8819,8811,8755,8706,8717,8864,9381,9841,9734,9818,9882,9904,9954,10022,10020,9971,10028,10117,10181,10190,10157,10164,10175,10248,10334,10199,10236,10387,10476,10378,10254,10233,10353,10437,10395,10369,10247,9997,9697,9749,9698,9555,9293,9284,9187,8886,8636,8434,8119,7889,7610,7412,7299,7000,6633,6114,5527,4908,4319,3695,3056,2553,2164,1686,1330,978,716,494,333,224,160,128,84,68,72,75,76,76,78,78,79,80,80,80,80,80,81,78,79,79,79,79,79,80,80,82,81,82,16,-13,-27,-43,-43,-43,-43,-43,-43,-43,-43,-44,-44,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-44,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-38,-29,-29,-29,-29,-29,-29,-29,-29,-30,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29
Wind,1045,1026,1001,978,970,954,953,959,955,948,951,957,950,935,942,961,975,993,1007,997,983,983,978,986,1034,1050,1063,1070,1043,1028,1021,1020,1026,1034,1036,1038,1050,1054,1043,1047,1073,1111,1145,1152,1153,1145,1131,1120,1137,1143,1119,1066,984,931,895,867,855,851,835,834,861,862,844,831,823,813,782,752,735,733,710,672,629,607,599,595,594,583,572,550,535,533,564,566,568,538,512,505,506,452,450,434,428,415,406,403,393,383,381,376,386,384,371,362,364,376,387,406,414,416,423,431,461,483,505,545,565,558,525,524,525,523,528,521,518,510,511,529,555,583,608,636,647,667,677,682,696,698,706,720,732,751,764,787,812,847,894,936,939,975,997,1016,1017,1048,1072,1103,1138,1166,1184,1212,1238,1248,1249,1244,1219,1193,1195,1219,1230,1219,1223,1243,1296,1328,1365,1358,1345,1340,1346,1342,1293,1243,1200,1166,1135,1117,1085,1062,1070,1091,1103,1112,1101,1117,1122,1105,1104,1103,1082,1055,1030,1015,1009,998,1002,997,984,970,956,945,941,942,946,964,990,1009,1020,1035,1050,1079,1104,1151,1190,1228,1279,1336,1369,1404,1435,1473,1505,1516,1541,1576,1620,1639,1665,1695,1734,1749,1750,1750,1748,1733,1734,1743,1736,1740,1736,1726,1726,1717,1695,1676,1676,1680,1670,1661,1671,1659,1636,1612,1597,1583,1578,1574,1564,1567,1585,1607,1614,1631,1651,1667,1688,1719,1758,1794,1827,1847,1862,1865,1856,1833,1797,1787,1770,1766
Geothermal,891,891,891,892,891,891,891,891,891,892,892,891,892,892,892,891,892,891,892,891,891,892,892,892,891,892,893,892,891,892,892,891,892,891,891,891,892,890,891,890,889,890,890,890,891,890,889,889,889,890,890,890,889,889,889,889,889,890,889,889,888,888,889,889,889,889,889,890,889,890,890,890,890,891,890,886,889,891,892,892,891,892,891,891,891,891,891,891,891,890,890,889,889,885,880,874,875,868,869,869,868,869,869,868,870,871,871,871,872,871,872,871,870,870,870,870,869,870,871,869,871,872,872,871,872,871,871,871,873,872,871,872,871,871,870,871,872,871,871,872,871,871,871,871,871,871,870,885,887,888,887,886,887,878,870,881,883,883,884,883,884,884,883,884,883,884,884,884,884,884,884,883,883,884,883,883,883,882,884,883,882,883,881,881,881,881,881,881,882,882,882,883,882,883,882,883,887,889,890,890,888,889,889,889,889,889,888,889,889,888,889,889,889,888,888,889,889,888,889,888,888,888,888,889,888,888,889,889,889,889,889,889,889,889,890,889,889,889,889,889,888,888,887,888,888,888,888,888,888,887,887,888,887,888,887,889,889,888,890,889,888,888,887,888,889,888,889,888,887,888,889,888,889,889,889,889,888,889,889,888,889,889,889,889,889,889,889,890
Biomass,213,210,209,208,210,211,211,210,209,207,209,209,209,208,206,208,208,209,208,205,206,207,208,206,208,208,207,207,209,212,213,211,208,211,211,211,212,207,205,207,211,211,213,213,212,210,209,209,211,211,210,210,210,210,211,211,211,211,211,213,213,212,213,216,215,214,214,216,215,214,214,215,216,215,221,226,225,226,225,224,224,224,223,221,222,223,223,224,224,224,224,223,223,222,222,222,224,223,224,222,221,222,224,223,223,223,225,225,224,227,225,225,227,227,227,229,230,229,230,229,231,232,232,232,232,231,229,231,231,232,233,231,229,229,229,228,230,230,228,228,229,228,232,232,232,230,230,229,231,231,233,232,233,232,232,230,233,234,234,234,234,235,233,232,231,228,227,227,229,232,232,233,230,232,234,234,233,233,232,233,234,236,236,236,236,236,235,236,239,237,238,237,236,238,238,238,239,237,238,237,236,237,238,237,236,235,235,235,235,234,233,236,235,236,237,235,239,238,237,237,237,235,236,234,235,238,236,236,236,237,237,237,237,237,236,234,232,231,228,228,227,227,225,225,224,224,224,224,223,223,224,224,225,224,225,225,225,224,224,225,230,229,230,225,220,222,220,221,222,223,221,220,218,222,222,221,219,219,219,220,224,224,224,229,230,229,233,238
Biogas,219,218,218,219,218,219,219,218,218,220,219,219,218,218,218,218,218,219,218,217,218,217,218,217,218,217,217,217,217,218,218,217,217,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,219,219,219,218,219,218,218,218,218,218,218,218,218,218,218,218,218,218,218,219,218,218,218,218,218,219,219,218,218,218,218,218,217,218,217,217,217,218,217,217,217,217,217,218,218,218,219,218,218,218,220,218,215,207,209,208,210,212,213,214,216,215,215,215,216,215,215,217,218,218,218,218,218,218,219,219,218,218,218,218,218,218,217,218,218,218,218,218,218,218,218,217,217,218,218,220,219,218,218,218,218,218,218,218,218,218,218,218,219,217,217,218,217,218,218,218,218,218,217,218,218,218,217,217,217,217,219,218,217,218,218,218,218,217,217,217,218,217,217,217,217,217,217,216,215,215,215,214,214,214,213,214,214,213,213,213,213,214,214,217,217,216,216,216,218,217,216,218,217,217,217,217,217,218,217,217,217,217,217,218,217,218,218,218,217,218,220,218,218,218,218,218,218,218,218,217,217,218,218,218,218,217,217,217,217,217,216,217,217,216,216,216,217,216,217,216,216,216,215,216,216,215,214,214,214,214,214,215,215,215,215,216,215,216,216,216,215,216,216,217
Small hydro,113,111,106,103,103,102,101,100,100,100,100,100,102,102,103,103,103,103,103,103,103,102,102,101,101,101,102,101,101,101,101,101,99,100,101,101,101,100,100,101,102,102,101,101,101,101,101,100,100,102,103,104,103,103,103,103,103,103,103,103,103,103,117,120,120,120,120,120,120,120,120,120,119,120,120,121,121,121,121,120,120,120,119,119,119,120,122,121,120,120,120,120,119,119,120,121,121,121,113,105,105,105,105,105,105,105,106,106,105,106,108,108,108,107,106,105,104,104,105,106,108,107,106,105,103,103,104,105,106,106,105,105,105,105,105,105,104,105,104,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,106,106,106,107,107,107,107,108,108,108,107,107,108,108,109,109,108,108,108,108,108,108,109,109,109,109,109,109,109,110,110,110,110,110,110,110,110,109,109,110,110,110,110,110,109,111,111,112,112,112,112,128,128,128,127,127,127,127,127,127,127,127,127,127,127,126,126,128,128,129,128,128,128,127,126,127,127,127,127,127,128,129,129,130,129,128,127,127,125,125,125,124,124,124,124,124,124,124,124,124,124,124,124,124,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,122,121,112,110,110,110,109,109,109,109,110,112
