Renewables 11/06/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,-14,-9,-8,-9,-7,-8,-8,-8,-8,-8,-8,-8,-10,-18,-19,-18,-19,-19,-19,-17,-18,-18,-18,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-16,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-18,-17,-18,-17,-17,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-19,-19,-19,-19,-4,34,62,111,187,295,422,612,896,1161,1488,1853,2242,2772,3233,3648,4067,4498,4956,5381,5784,6238,6807,7229,7465,7769,7902,8008,8106,8227,8220,8178,8258,8375,8611,8875,9042,9081,9150,9208,9372,9295,9262,8987,8934,8959,8693,8624,8836,9333,9367,9251,9100,9058,8910,8637,8498,8384,8418,8396,8413,8539,8575,8558,8464,8378,8370,8361,8298,8394,8507,8587,8255,8212,8139,8127,8507,8059,7898,7928,8032,8256,8021,7795,7818,7676,7567,7849,7768,7839,8129,8113,7938,8084,8183,8309,8425,8903,9125,9297,9291,9170,8894,8678,8567,8276,8131,7863,7596,7105,6742,6788,6578,6192,5849,5425,4967,4424,3931,3416,2905,2425,2003,1606,1242,944,709,460,311,162,94,62,48,52,18,5,5,7,8,9,10,12,12,12,12,12,12,12,12,12,13,13,14,14,14,14,15,13,12,12,12,11,12,12,12,12,11,8,3,2,1,1,0,0,0,-1,-1,-2,-1,0,13,51,68,70,70,70,70,70,70,70,70,69,56,16,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0
Wind,4296,4269,4229,4187,4127,4088,4079,4087,4089,4072,4073,4061,4026,4041,4061,4064,4045,4007,4005,4024,4056,4032,4028,4022,4311,4358,4381,4390,4385,4363,4346,4325,4275,4273,4235,4204,4161,4140,4125,4148,4161,4167,4116,4099,4087,4075,4064,4029,4027,4001,3949,3903,3906,3941,3919,3874,3817,3783,3777,3821,3825,3854,3850,3802,3757,3740,3740,3726,3656,3597,3472,3436,3409,3361,3290,3218,3142,3063,3060,3062,3037,2983,2911,2848,2792,2710,2661,2608,2601,2606,2568,2585,2688,2822,2919,2938,2906,2877,2868,2863,2860,2768,2770,2763,2770,2784,2703,2597,2594,2591,2629,2671,2728,2677,2678,2632,2631,2653,2704,2788,2866,2961,3036,3068,3102,3140,3141,3145,3174,3220,3277,3277,3279,3324,3375,3397,3422,3438,3492,3626,3630,3615,3653,3673,3700,3723,3807,3820,3818,3807,3832,3825,3804,3831,3812,3859,3924,3954,4011,4000,3924,3932,3933,3899,3804,3763,3744,3718,3670,3645,3573,3591,3629,3581,3536,3505,3515,3450,3401,3327,3303,3361,3343,3328,3270,3228,3257,3253,3235,3219,3183,3147,3112,3043,2975,2858,2762,2702,2664,2659,2621,2586,2555,2565,2552,2530,2490,2447,2440,2432,2434,2420,2452,2462,2446,2473,2515,2569,2600,2633,2622,2605,2520,2458,2414,2396,2380,2355,2325,2313,2301,2297,2300,2290,2282,2272,2277,2301,2340,2359,2360,2360,2382,2363,2350,2338,2356,2403,2445,2457,2500,2541,2534,2534,2524,2532,2505,2514,2527,2511,2500,2490,2466,2479,2524,2578,2679,2777,2845,2849,2838,2837,2837,2865,2889,2955,3051,3181,3279,3373,3481,3622,3682,3766,3816,3838,3872,3867
Geothermal,837,838,837,838,838,837,838,839,838,838,839,839,839,840,840,840,840,840,840,840,839,839,840,839,838,839,838,840,839,839,839,839,840,840,840,840,839,841,841,841,841,842,841,841,840,841,840,841,841,841,840,840,841,840,841,840,841,841,841,841,841,841,842,841,841,841,841,841,841,841,841,842,841,842,842,842,842,842,841,839,841,841,841,841,841,841,842,840,840,840,839,840,840,840,840,839,840,838,840,839,839,840,838,839,838,839,839,838,838,838,839,838,838,838,838,839,838,838,838,838,839,839,840,839,839,839,838,839,838,838,837,837,837,837,836,837,836,837,837,836,837,836,837,837,836,836,837,836,836,835,834,835,835,834,834,835,835,834,834,833,834,834,834,834,833,834,834,833,833,818,833,833,833,832,833,833,833,832,833,832,833,832,833,833,832,832,832,833,833,834,833,833,833,833,833,833,834,833,833,834,833,833,834,833,833,833,832,833,833,833,833,833,833,833,832,833,833,833,831,832,831,832,832,832,833,832,831,831,831,832,831,830,829,830,830,829,829,830,830,830,830,830,830,830,830,829,830,830,830,830,830,830,830,829,829,829,829,828,829,829,828,829,829,828,828,829,828,829,829,829,829,829,829,829,830,830,830,831,831,831,831,831,832,831,833,833,833,834
Biomass,216,216,215,214,215,215,215,215,212,211,210,210,209,209,210,210,209,210,212,213,214,215,217,217,216,215,216,216,216,216,215,216,216,216,217,215,216,218,218,217,216,216,215,216,217,217,217,216,215,216,218,218,219,218,219,219,219,219,219,218,218,219,217,218,218,219,218,219,220,218,217,219,223,222,223,223,224,223,224,223,223,223,222,223,221,220,220,220,219,216,219,222,223,224,224,222,223,223,223,223,222,220,218,214,210,209,210,210,209,211,210,210,210,210,210,212,213,211,211,211,212,213,211,212,211,213,211,211,213,213,214,210,208,210,209,210,210,209,212,211,212,211,212,212,211,208,209,210,211,213,213,212,209,210,213,212,211,209,208,209,208,210,208,210,207,207,208,211,210,210,210,210,207,202,201,201,201,202,204,203,201,201,199,199,200,201,201,201,200,201,199,197,199,199,200,201,201,200,200,200,202,201,202,200,199,201,200,199,200,198,198,199,200,200,201,201,201,201,201,199,198,199,199,200,198,198,199,200,200,201,200,199,200,200,200,201,200,199,198,198,201,201,201,201,200,200,200,200,200,201,201,202,200,200,200,200,199,200,201,200,198,199,200,199,197,190,187,193,198,197,199,200,195,191,193,196,195,196,196,195,196,198,198,201,200,201,201,200
Biogas,213,213,213,213,213,212,212,212,212,212,212,212,213,212,212,212,212,213,213,213,213,213,213,212,209,209,209,211,212,212,213,213,212,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,211,210,210,210,210,210,211,210,210,210,210,211,212,212,213,213,212,212,211,212,211,211,212,212,212,212,212,212,211,211,211,211,211,211,211,211,211,211,211,211,211,211,212,212,212,211,212,212,212,212,212,212,212,212,212,212,211,212,212,212,211,211,210,211,211,210,211,211,211,211,212,210,210,211,210,210,210,210,211,210,211,211,212,211,211,211,211,211,211,211,211,212,212,211,211,211,211,211,211,211,211,211,211,212,211,211,212,211,212,211,211,211,211,212,211,211,211,211,211,211,210,210,210,211,211,210,210,211,210,210,211,210,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,212,211,211,212,213,212,212,212,212,211,211,211,211,211,211,211,211,211,211,211,211,210,210,210,211,211,211,211,211,211,211,210,210,210,210,211,210,211,211,211,210,209,210,209,209,209,209,208,209,209,210,211,211,210,211,210,211,210,211,210,210,210,211,210,210,210,211,211,211,211,211,211,211,211,210,211,211,210,211,211,211,210,211,211,211
Small hydro,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,123,122,122,123,123,123,121,119,118,118,120,121,121,121,121,121,121,121,120,117,116,116,115,115,116,117,116,115,115,115,115,118,120,121,120,119,120,120,120,120,121,121,134,135,135,135,135,136,136,136,136,136,136,136,136,136,136,136,136,136,136,137,137,138,138,138,138,138,136,135,136,136,136,135,136,136,136,136,138,138,134,123,122,122,121,121,121,121,122,123,123,125,126,125,125,124,124,124,125,126,126,126,126,126,125,125,126,126,126,126,126,126,124,124,123,123,123,123,125,125,127,127,126,125,125,124,125,126,125,126,127,127,127,127,126,126,125,124,123,123,123,122,123,122,123,123,123,123,123,123,122,122,123,122,122,122,121,121,123,124,123,122,120,120,120,120,121,122,122,122,122,122,122,122,120,120,121,122,122,122,122,122,121,120,122,122,123,124,137,140,140,140,140,140,139,139,139,139,137,136,136,136,135,135,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,136,136,137,136,136,136,136,136,136,136,134,134,135,136,136,132,120,119,119,119,119,119,121,121,121,121,121,121,121,120,121,121,122,122,120,120,120,119,121,122,120,120,120,119,121,121,121,121,120,120
