Renewables 11/13/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,18,19,18,18,17,17,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,17,18,18,18,17,17,17,17,17,17,16,16,16,16,17,16,17,16,17,17,17,17,17,17,17,16,16,15,13,12,12,12,12,12,12,12,12,12,11,11,12,12,12,12,12,12,13,17,30,60,126,234,373,561,808,1094,1442,1832,2285,2778,3270,3811,4357,4883,5395,5922,6396,6887,7419,7951,8428,8815,9197,9500,9676,9849,10054,10301,10424,10226,10161,10276,10424,10469,10545,10608,10494,10300,10252,10352,10319,10368,10424,10649,10863,10894,10933,10955,10885,10903,11019,10927,10846,10737,10608,10525,10480,10557,10371,10207,10229,10378,10362,10263,10249,10164,10078,10306,10573,10495,10428,10671,10656,10475,10382,10511,10655,10767,10532,10211,10138,10181,10144,10014,9835,9914,10166,10281,10446,10365,10079,9904,10141,9823,9452,9379,9232,9195,9178,8775,8515,8862,8785,8708,8097,7839,7986,7964,7567,7033,6371,5724,5079,4472,3875,3250,2731,2189,1708,1292,972,652,471,301,169,116,79,40,51,39,31,33,34,34,35,35,36,37,37,36,33,32,32,32,32,32,32,33,33,34,39,41,-13,-26,-27,-27,-28,-27,-28,-18,-12,-12,-13,-14,-18,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-19,-19,-21,-22,-21,-20,-21,-21,-21,-21,-21,-21,-21,-22,-22,-22,-22,-22,-21,-21,-21,-21,-20,-20,-20,-21,-21,-21,-21,-21,-21,-21,-21,-20,-21,-21
Wind,3176,3215,3242,3206,3155,3139,3126,3074,3013,2992,2980,2982,3016,3057,3100,3160,3193,3275,3348,3426,3534,3589,3619,3617,3637,3611,3549,3466,3390,3374,3407,3388,3317,3248,3211,3164,3144,3156,3152,3116,3122,3135,3190,3219,3219,3224,3213,3218,3228,3238,3269,3265,3206,3119,3071,3058,3057,3072,3063,3046,3017,3009,3054,3067,3045,3022,3021,3041,3055,3047,3074,3059,3044,3064,3150,3265,3345,3415,3483,3521,3577,3617,3675,3769,3861,3885,3901,3990,4093,4194,4261,4281,4302,4325,4362,4373,4389,4361,4346,4333,4319,4305,4349,4453,4565,4726,4857,4922,4916,4920,4874,4848,4834,4794,4736,4675,4628,4589,4576,4502,4495,4484,4456,4426,4408,4384,4294,4236,4212,4107,4010,3964,3919,3901,3888,3837,3794,3835,3845,3817,3763,3690,3628,3579,3553,3542,3496,3405,3362,3302,3292,3244,3204,3211,3121,3066,3020,2983,2919,2856,2788,2775,2751,2742,2769,2770,2841,2862,2934,3013,3124,3261,3440,3630,3776,3856,3838,3815,3882,3945,3871,3755,3660,3545,3358,3311,3251,3192,3078,2950,2830,2643,2480,2362,2311,2206,2103,1957,1819,1733,1660,1581,1522,1501,1484,1455,1422,1400,1386,1360,1346,1342,1347,1357,1363,1359,1361,1372,1404,1437,1437,1439,1439,1460,1500,1524,1546,1624,1679,1713,1708,1740,1767,1789,1824,1855,1881,1871,1899,1956,2022,2103,2178,2257,2338,2462,2519,2511,2516,2575,2611,2609,2491,2385,2314,2198,2088,1986,1849,1670,1525,1477,1468,1441,1398,1456,1597,1751,1794,1796,1794,1742,1698,1679,1670,1704,1709,1569,1384,1367,1347,1335,1365,1348,1345,1307,1281,1263
Geothermal,887,887,887,887,887,887,888,888,888,888,889,889,888,888,888,888,887,888,888,889,889,890,890,889,890,890,889,889,890,890,889,889,890,890,890,891,890,890,889,890,890,890,891,890,890,888,890,889,890,890,890,890,890,889,886,890,889,882,860,839,826,804,803,804,804,804,804,804,803,805,804,806,807,808,807,808,807,807,807,808,809,809,809,810,810,810,810,810,810,811,811,810,811,811,811,809,810,810,809,809,809,809,809,808,809,810,810,811,810,810,811,810,809,809,810,809,809,810,809,809,809,809,810,809,808,808,807,808,808,808,808,808,808,807,807,807,808,807,808,808,808,808,808,808,808,809,808,809,808,809,809,810,808,809,809,809,809,809,810,809,809,809,809,808,808,808,808,809,809,809,810,810,810,810,810,811,809,809,809,810,809,809,811,810,809,810,810,809,810,810,810,810,810,810,809,810,810,810,811,810,811,812,810,811,810,812,812,812,812,813,812,813,811,815,814,813,813,814,815,814,813,813,814,814,814,814,814,814,814,814,814,813,813,814,813,813,814,812,812,813,812,813,813,813,813,813,814,814,814,814,814,813,813,813,812,813,813,813,813,813,813,813,814,814,814,814,814,814,814,814,814,814,815,815,815,815,815,815,815,815,816,816,815,815,815,815,815,815
Biomass,273,271,272,272,271,271,273,272,272,273,272,271,272,272,271,271,271,271,269,269,268,267,268,271,271,272,273,272,272,273,272,271,272,272,270,270,271,271,271,271,271,272,272,271,272,269,271,269,268,267,267,266,269,268,269,269,268,269,268,266,263,264,269,269,268,270,270,271,273,270,272,273,279,276,274,273,273,274,274,275,275,276,275,275,274,275,276,277,276,276,276,276,277,277,277,276,277,277,277,278,278,278,274,276,277,277,278,276,276,277,278,279,277,278,278,277,278,277,277,277,276,275,274,276,276,278,276,275,275,274,274,270,258,257,254,255,256,258,258,259,258,258,261,261,260,259,261,261,261,261,262,262,262,263,263,263,263,261,256,258,258,257,258,259,259,260,259,258,257,258,258,257,257,257,255,254,254,254,254,255,254,255,254,254,254,255,255,254,255,254,254,255,256,255,255,255,255,254,253,255,255,254,254,254,253,253,255,253,253,254,252,255,257,255,255,254,254,256,254,254,255,256,255,256,254,254,255,255,254,253,251,253,253,253,252,249,250,249,251,250,248,251,253,252,247,246,246,249,250,248,248,252,255,254,255,254,254,253,254,255,255,256,255,254,249,246,245,246,246,247,246,246,247,246,246,246,244,243,243,242,240,242,244,242,243,243,243,243
Biogas,214,215,215,214,214,215,215,215,215,215,214,215,214,215,214,215,214,214,214,214,214,214,214,214,215,215,214,215,215,215,215,215,215,215,215,215,215,215,214,214,214,215,215,215,215,215,215,215,215,215,214,214,214,214,214,215,214,214,215,215,215,215,214,214,214,214,214,214,214,213,213,213,213,213,213,213,213,213,213,213,214,213,213,213,213,213,212,213,213,212,212,213,212,213,213,213,213,213,213,214,213,213,214,214,214,214,214,214,213,213,213,214,214,213,213,214,214,213,213,213,213,214,214,213,213,213,213,213,213,213,214,214,214,214,214,215,214,214,214,214,214,214,214,214,214,213,214,214,214,214,214,214,214,215,214,215,214,215,215,215,214,214,215,215,214,215,215,215,214,214,214,214,214,213,213,213,213,214,214,213,214,213,213,213,213,214,213,213,213,213,213,213,213,213,213,212,213,212,213,212,212,212,213,212,213,213,213,213,213,213,213,213,213,213,213,212,212,212,212,213,213,212,212,213,214,212,212,212,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,212,212,213,213,212,212,212,213,213,213,213,213,213,212,212,212,212,212,213,212,213,212,213,213,213,213,213,213,212,213,213
Small hydro,112,111,111,111,111,111,111,111,112,112,112,112,113,113,114,114,112,113,113,113,113,113,114,113,112,110,109,109,110,111,110,110,110,109,109,109,109,112,113,113,113,113,113,113,114,113,112,112,112,113,116,116,116,117,117,117,117,116,117,117,117,117,117,117,117,131,133,133,133,133,133,133,134,135,134,134,134,134,134,134,133,133,135,135,135,133,130,129,128,128,128,128,128,128,129,130,131,130,120,115,115,115,116,117,117,117,116,116,116,113,113,112,113,114,115,115,115,115,114,112,111,111,112,114,115,114,114,113,113,113,113,113,114,114,114,114,114,114,114,114,113,113,113,114,113,113,113,113,113,113,113,113,113,112,112,112,112,112,113,114,113,113,113,112,112,112,111,111,112,111,111,112,112,111,111,110,109,109,109,109,109,113,115,116,115,115,115,115,114,114,114,114,113,112,111,111,111,112,112,112,112,111,112,112,112,112,113,114,128,129,128,129,129,128,127,127,126,127,127,128,129,130,130,130,129,130,130,129,129,129,129,129,129,129,129,129,128,128,128,127,127,127,123,122,122,122,122,122,123,123,123,123,121,113,115,114,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,112,112,112,112,113,113,113,113,113,113,113,113,114,115,115,115,115
