Renewables 11/07/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-3,-3,-1,7,21,52,90,191,312,486,739,1008,1229,1465,1785,2208,2662,3078,3467,3811,4099,4349,4569,4845,5437,5882,6028,6105,6158,6233,6382,6410,6378,6249,6126,6402,6600,6739,6877,6838,6744,6770,6847,6982,7063,7040,7004,6965,7063,7034,7021,7083,7070,7097,7342,7299,7380,7334,7295,7247,7334,7320,7240,7335,7365,7388,7332,7408,7492,7599,7726,7746,7840,7912,8015,7965,7850,7790,7769,7672,7727,7658,7548,7441,7390,7220,6979,6978,7175,7256,7208,7043,6942,7017,7071,6777,6404,6265,6351,6636,6572,6610,6372,6381,6376,6167,6151,5839,5911,5929,5833,5587,5427,5139,5064,4641,4452,4133,3849,3524,3319,2927,2289,1845,1528,1234,1000,767,546,345,230,152,88,43,30,36,39,41,41,41,42,43,44,44,44,25,10,10,9,9,9,9,9,9,10,11,11,12,12,9,9,9,9,9,10,10,10,10,9,10,9,13,20,14,15,16,10,11,8,8,8,8,9,8,7,7,7,7,7,8,8,8,7,7,6,5,5,6,6,6,6,5,6,6,6,6,5,6,6,6,6,6,6,6,5,6,6,5
Wind,3885,3929,3934,3923,3882,3874,3855,3835,3794,3810,3804,3939,3928,3842,3773,3703,3522,3235,2983,2722,2544,2494,2501,2552,2581,2577,2613,2658,2712,2751,2750,2732,2668,2619,2584,2554,2513,2495,2481,2498,2505,2496,2506,2524,2541,2566,2553,2580,2614,2627,2609,2589,2573,2571,2579,2610,2646,2638,2598,2551,2503,2454,2396,2355,2291,2227,2205,2168,2119,2075,2091,2098,2097,2080,2057,2027,1974,1902,1876,1862,1828,1834,1831,1802,1766,1729,1693,1650,1619,1617,1602,1564,1578,1570,1562,1594,1601,1654,1680,1695,1725,1742,1756,1771,1743,1727,1699,1696,1663,1587,1589,1585,1595,1659,1713,1748,1788,1818,1844,1914,1919,1904,1903,1899,1861,1888,1857,1871,1885,1891,1903,1925,2005,2101,2093,2113,2051,2014,2037,2110,2214,2245,2243,2276,2320,2330,2352,2362,2410,2433,2466,2498,2525,2551,2589,2622,2693,2676,2776,2823,2791,2805,2821,2853,2874,2964,3045,3066,3069,3067,3138,3219,3248,3302,3353,3372,3384,3397,3393,3415,3437,3502,3600,3621,3613,3580,3593,3649,3644,3611,3519,3437,3403,3390,3425,3443,3465,3499,3473,3403,3392,3317,3270,3161,3032,2990,2990,2989,2991,2984,2949,2945,2969,2909,2901,2953,2904,2846,2819,2869,2879,2886,2895,2887,2816,2728,2744,2751,2682,2618,2585,2591,2652,2678,2702,2699,2653,2635,2716,2742,2719,2746,2776,2757,2766,2751,2756,2756,2739,2719,2714,2661,2644,2590,2618,2638,2649,2629,2602,2603,2624,2678,2746,2788,2816,2829,2825,2811,2808,2799,2789,2789,2829,2853,2842,2825,2784,2789,2771,2738,2776,2765,2712,2712,2697,2651,2600,2575
Geothermal,833,834,835,834,834,834,835,835,834,834,834,834,836,836,835,835,836,836,836,836,836,836,837,837,836,836,838,836,836,837,836,836,835,837,836,836,836,837,837,836,836,836,836,837,836,836,837,836,837,836,836,836,837,837,836,837,837,837,837,838,838,838,838,838,839,839,839,839,837,838,838,838,838,838,839,837,839,839,838,839,841,840,840,841,840,840,840,840,839,838,837,841,841,841,840,840,840,840,840,839,840,840,840,840,840,840,840,840,840,840,839,839,840,839,839,839,839,838,838,838,837,838,837,838,838,838,837,837,836,837,835,836,836,836,835,836,835,835,834,834,834,834,835,834,834,835,834,834,834,835,834,834,834,834,834,834,834,834,833,833,834,834,833,834,834,834,835,834,834,836,835,836,835,836,836,836,837,836,836,837,835,838,836,837,836,837,837,837,837,836,837,837,837,837,836,836,835,835,835,835,835,835,836,837,837,837,837,837,837,837,838,837,839,837,838,837,837,837,837,837,837,838,838,838,838,838,838,838,839,838,838,838,838,839,839,839,839,840,840,839,838,839,839,839,839,839,839,822,822,822,823,825,835,837,841,839,839,843,841,841,839,840,839,838,839,839,839,840,839,838,837,838,838,838,839,838,838,838,839,839,840,840,840,839,838,840,840,840
Biomass,203,204,203,203,205,204,206,206,208,207,206,206,206,207,206,206,208,206,206,207,207,207,208,208,209,210,210,209,210,209,211,210,212,212,212,213,211,212,214,213,212,211,212,213,213,214,214,213,212,214,214,214,214,214,214,213,213,214,214,211,213,214,213,211,209,210,208,208,208,209,210,214,216,216,216,215,216,214,213,215,215,218,221,217,214,215,216,217,216,216,214,216,214,216,215,216,216,217,216,216,218,215,215,216,216,217,217,217,217,217,217,215,217,215,215,215,216,216,217,219,217,215,216,218,219,218,216,216,218,219,219,219,217,215,214,217,219,219,218,217,216,217,217,217,215,215,212,215,216,218,218,218,215,215,214,213,214,214,214,214,214,216,216,215,215,215,214,214,216,215,215,214,214,216,218,214,214,214,214,216,216,217,216,215,215,216,215,213,213,215,215,217,217,218,219,218,218,218,218,218,218,217,218,218,217,215,215,216,216,216,216,216,217,216,214,215,216,217,217,216,216,214,214,214,215,214,214,215,215,215,211,214,213,212,212,214,215,214,215,215,215,215,215,214,214,215,215,216,214,215,216,217,217,218,216,216,215,215,214,216,215,215,215,217,214,213,212,211,211,210,210,209,208,207,206,207,206,206,208,209,209,210,210,209,210,212,213,212
Biogas,211,212,212,212,213,213,212,212,213,212,213,212,212,212,212,212,211,212,212,211,211,211,211,211,211,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,211,211,212,211,212,211,211,211,210,211,211,211,211,211,211,211,210,210,210,212,210,210,210,211,210,209,210,209,209,209,209,209,210,209,209,209,209,206,206,205,205,205,204,197,189,189,188,189,190,190,190,189,191,190,191,188,188,188,188,189,189,188,191,200,201,202,202,202,201,201,202,203,203,205,205,206,205,206,206,207,207,206,206,207,207,207,208,206,207,206,206,205,205,205,205,204,205,204,203,204,204,205,204,205,204,206,205,205,206,208,208,208,208,208,206,206,205,205,206,207,209,208,209,209,209,210,209,210,210,206,199,199,199,199,200,202,202,202,204,206,207,208,208,207,208,209,208,208,211,210,210,210,210,210,210,210,210,210,210,212,210,211,210,210,209,209,209,210,210,209,210,210,210,211,209,209,209,209,209,210,210,210,210,211,211,211,211,210,210,210,210,210,210,210,210,210,210,212,210,210,211,210,210,210,210,211,210,210,211,210,209,209,210,209,209,211,209,210,210,211,210,210,209,209,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210
Small hydro,120,117,118,118,117,117,118,117,119,119,119,119,118,118,118,118,119,119,118,119,119,119,118,119,119,119,120,121,121,121,121,121,120,119,119,119,119,119,120,121,121,121,121,121,120,121,121,120,120,120,120,119,121,121,121,121,121,121,120,121,121,122,134,134,133,134,135,136,136,136,136,136,136,135,133,132,134,134,134,133,135,135,136,135,136,136,135,134,134,133,133,133,133,133,134,134,134,133,120,117,117,117,115,115,115,116,116,116,116,116,114,113,112,112,114,115,116,117,116,112,110,111,114,113,111,111,111,111,111,111,111,112,111,112,112,112,113,113,113,114,114,114,114,113,112,111,112,112,113,113,113,113,112,113,112,113,112,113,113,112,112,111,113,113,112,112,111,111,110,110,111,110,111,108,108,108,108,108,112,112,112,113,113,113,111,111,112,113,113,113,113,113,113,113,113,113,112,112,112,112,112,112,113,114,116,116,117,132,131,131,131,131,131,131,130,129,129,128,128,128,128,128,129,130,130,131,131,130,130,130,130,130,130,130,130,129,129,129,128,128,128,128,127,127,127,126,126,126,126,127,128,129,129,129,117,112,112,112,112,112,113,113,114,113,113,114,114,114,114,114,114,114,114,113,113,113,112,112,111,112,111,111,110,111,111,112,113,114
