,Unnamed: 0,year,electric,plug-in hybrid electric,fuel cell,diesel,flex fuel,gasoline,gasoline hybrid,natural gas,propane,emissions,demand
0,0,2021,522445,305315,10127,590216,1208970,25998618,1298275,8461,90,53203603.23,269006652
1,1,2020,369364,259109,7129,700366,1144536,25021380,1155477,7676,897,49626238.88,268529517
2,2,2019,308447,251522,6933,680622,1131474,25526368,1114944,8462,1015,51049895.52,264368288
3,3,2018,232239,216328,5525,657857,1122312,25377093,1060166,8910,1063,53938026.760000005,275818547
4,4,2017,159705,163057,3271,640281,1108886,25313468,1019085,9212,1074,52856896.33,284621714
5,5,2016,115569,114602,854,588872,948746,22661954,860599,8521,966,57959115.485,283326677
6,6,2015,82686,83482,79,555652,878165,22026350,776480,8500,895,66241778.651,151271008
