Net Demand 11/06/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,20909,20756,20756,20756,20556,20556,20556,20397,20397,20397,20186,20186,20186,19970,19970,19970,19802,19802,19802,19621,19621,19621,19686,19686,19516,18858,18858,18858,18785,18785,18785,18758,18758,18758,18732,18732,18732,18746,18746,18746,18743,18743,18743,18756,18756,18756,18808,18808,18808,18865,18865,18865,18921,18921,18921,18931,18931,18931,19056,19056,19056,19210,19210,19210,19325,19325,19325,19395,19395,19395,19627,19627,19627,19716,19716,19716,19601,19601,19601,19682,19682,19682,19887,19887,19887,20027,20027,20027,19900,19900,19900,19766,19766,19766,19695,19695,19695,19490,19490,19490,19276,19276,19276,19107,19107,19107,18949,18949,18949,18736,18736,18736,18306,18306,18306,17924,17924,17924,17705,17705,17705,17363,17363,17363,17136,17136,17136,17221,17221,17221,17137,17137,17137,17080,17080,17080,17082,17082,17082,17029,17029,17029,17042,17042,17042,17116,17116,17116,17261,17261,17261,17404,17404,17404,17561,17561,17561,17647,17647,17647,17829,17829,17829,18201,18201,18201,18489,18489,18489,18847,18847,18847,19333,19333,19333,19703,19703,19703,20139,20139,20139,20570,20570,20570,21012,21012,21012,21528,21528,21528,21910,21910,21910,22406,22406,22406,23135,23135,23135,23700,23700,23700,24495,24495,24495,25129,25129,25129,25249,25249,25249,25379,25379,25379,25351,25351,25351,25250,25250,25250,25073,25073,25073,24942,24942,24942,24860,24860,24860,24703,24703,24703,24532,24532,24532,24450,24450,24450,24301,24301,24301,24147,24147,24147,23996,23996,23996,23777,23777,23777,23628,23628,23628,23417,23417,23417,23146,23146,23146,22833,22833,22833,22538,22538,22538,22257,22257,22257,21909,21909,21909,21573,21573,21573,21259,21259,21259,21006,21006,21006,20769,20769,20769,20554,20554,20554,20442,20442,20442
Demand,20856,20928,20935,20854,20804,20741,20644,20598,20520,20440,20384,20306,20252,20163,20130,20070,19998,19946,19894,19843,19778,19717,19656,19594,19076,19080,19068,19024,18982,18964,18945,18923,18908,18898,18871,18861,18886,18894,18919,18926,18914,18892,18875,18870,18844,18862,18859,18864,18857,18892,18919,18928,18901,18900,18928,18961,18993,18993,18982,19038,19081,19150,19220,19279,19306,19316,19313,19297,19269,19312,19361,19423,19507,19628,19735,19783,19802,19829,19812,19813,19838,19821,19782,19805,19823,19884,19950,19934,19899,19870,19805,19766,19716,19632,19530,19511,19489,19647,19741,19693,19642,19571,19513,19437,19337,19213,19115,18995,18912,18780,18673,18560,18465,18420,18381,17914,17850,17801,17716,17612,17543,17809,17764,17628,17542,17518,17485,17447,17345,17298,17239,17189,17177,17176,17131,17103,17056,17064,17077,17051,17076,17040,17027,17082,17104,17150,17148,17214,17288,17301,17325,17346,17412,17472,17455,17516,17513,17557,17603,17685,17829,17905,18022,18119,18193,18275,18377,18528,18645,18802,18915,19066,19199,19290,19409,19535,19617,19729,19835,19976,20177,20279,20361,20482,20756,20859,21005,21150,21296,21464,21677,21857,21997,22036,22169,22348,22519,22679,22871,23091,23283,23494,23689,23916,24138,24385,24587,24788,25031,25173,25236,25310,25331,25332,25366,25387,25344,25297,25261,25252,25211,25195,25163,25154,25108,25061,25032,25019,24985,24934,24897,24853,24822,24767,24728,24654,24620,24566,24500,24480,24409,24400,24336,24276,24223,24167,24106,24045,23973,23879,23816,23691,23575,23575,23548,23471,23407,23316,23222,23166,23051,22973,22859,22750,22646,22524,22482,22376,22288,22155,22024,21893,21805,21686,21585,21492,21334,21282,21241,21154,21041,20935,20824,20726,20654,20532,20450,20354,20230
Day-ahead net forecast,16644,15773,15773,15773,15773,15773,15773,15773,15773,15773,15773,15773,15773,15165,15165,15165,15165,15165,15165,15165,15165,15165,15165,15165,15165,14729,14729,14729,14729,14729,14729,14729,14729,14729,14729,14729,14729,14532,14532,14532,14532,14532,14532,14532,14532,14532,14532,14532,14532,14716,14716,14716,14716,14716,14716,14716,14716,14716,14716,14716,14716,15038,15038,15038,15038,15038,15038,15038,15038,15038,15038,15038,15038,14608,14608,14608,14608,14608,14608,14608,14608,14608,14608,14608,14608,9580,9580,9580,9580,9580,9580,9580,9580,9580,9580,9580,9580,6011,6011,6011,6011,6011,6011,6011,6011,6011,6011,6011,6011,4695,4695,4695,4695,4695,4695,4695,4695,4695,4695,4695,4695,4104,4104,4104,4104,4104,4104,4104,4104,4104,4104,4104,4104,3773,3773,3773,3773,3773,3773,3773,3773,3773,3773,3773,3773,3843,3843,3843,3843,3843,3843,3843,3843,3843,3843,3843,3843,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,6578,6578,6578,6578,6578,6578,6578,6578,6578,6578,6578,6578,11689,11689,11689,11689,11689,11689,11689,11689,11689,11689,11689,11689,18369,18369,18369,18369,18369,18369,18369,18369,18369,18369,18369,18369,21466,21466,21466,21466,21466,21466,21466,21466,21466,21466,21466,21466,21624,21624,21624,21624,21624,21624,21624,21624,21624,21624,21624,21624,21001,21001,21001,21001,21001,21001,21001,21001,21001,21001,21001,21001,20172,20172,20172,20172,20172,20172,20172,20172,20172,20172,20172,20172,19397,19397,19397,19397,19397,19397,19397,19397,19397,19397,19397,19397,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,17093,17093,17093,17093,17093,17093,17093,17093,17093,17093,17093,17093
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net demand,16619,16623,16708,16718,16705,16690,16624,16534,16478,16393,16353,16279,16259,16177,16094,16050,15998,15975,15927,15849,15771,15717,15672,15621,14799,14746,14705,14668,14620,14624,14633,14623,14646,14642,14686,14659,14734,14762,14806,14795,14774,14744,14780,14798,14781,14791,14806,14849,14848,14895,14976,15038,15041,14982,15012,15080,15194,15234,15239,15213,15260,15285,15379,15469,15553,15589,15597,15601,15623,15713,15876,15974,16103,16162,16339,16448,16479,16474,16363,16151,15926,15683,15420,15117,14815,14402,14047,13706,13276,12806,12336,11855,11255,10660,9870,9351,9177,8931,8978,8846,8696,8589,8559,8517,8352,8120,7837,7597,7306,7166,6918,6746,6361,6459,6406,6466,6315,6205,6371,6226,5931,5469,5373,5361,5388,5341,5423,5665,5719,5712,5571,5522,5522,5315,5212,5180,5192,5227,5233,5080,5133,5061,4896,4811,5176,5200,5214,5257,4830,5391,5551,5578,5562,5417,5623,5833,5801,5888,6043,5817,6072,6131,5892,6049,6469,6408,6446,6415,6580,6211,6202,6143,6203,6479,6945,7269,7476,7944,8219,8704,9150,9741,10227,10298,10779,11370,11795,12395,13023,13701,14441,15174,15903,16520,17066,17799,18399,18972,19443,19853,20285,20657,20979,21192,21445,21721,21986,22244,22507,22688,22765,22847,22855,22855,22913,22898,22843,22730,22665,22615,22589,22588,22634,22693,22691,22671,22651,22654,22659,22630,22604,22560,22525,22496,22450,22389,22365,22272,22187,22134,22065,22053,21972,21933,21892,21860,21782,21665,21560,21465,21342,21211,21074,20983,20973,20898,20863,20775,20647,20608,20526,20437,20370,20260,20092,19969,19840,19659,19464,19355,19239,19090,18995,18880,18720,18581,18366,18120,17978,17841,17595,17378,17179,16995,16847,16753,16594,16519,16429
