Net Demand 11/05/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21906,21710,21710,21710,21507,21507,21507,21235,21235,21235,20940,20940,20940,20739,20739,20739,20676,20676,20676,20495,20495,20495,20366,20366,20366,20280,20280,20280,20148,20148,20148,20035,20035,20035,19952,19952,19952,19852,19852,19852,19903,19903,19903,19920,19920,19920,19940,19940,19940,19931,19931,19931,19981,19981,19981,20020,20020,20020,20142,20142,20142,20250,20250,20250,20348,20348,20348,20394,20394,20394,20621,20621,20621,20904,20904,20904,21145,21145,21145,21420,21420,21420,21794,21794,21794,21970,21970,21970,21859,21859,21859,21869,21869,21869,22010,22010,22010,22032,22032,22032,21842,21842,21842,21686,21686,21686,21421,21421,21421,21103,21103,21103,20782,20782,20782,20525,20525,20525,20326,20326,20326,20046,20046,20046,19732,19732,19732,19419,19419,19419,19139,19139,19139,18905,18905,18905,18743,18743,18743,18642,18642,18642,18452,18452,18452,18439,18439,18439,18445,18445,18445,18572,18572,18572,18564,18564,18564,18679,18679,18679,18746,18746,18746,18940,18940,18940,19015,19015,19015,19130,19130,19130,19223,19223,19223,19491,19491,19491,19716,19716,19716,20063,20063,20063,20545,20545,20545,20824,20824,20824,20925,20925,20925,21272,21272,21272,21515,21515,21515,21993,21993,21993,22401,22401,22401,22860,22860,22860,23306,23306,23306,23709,23709,23709,24223,24223,24223,24760,24760,24760,24860,24860,24860,24580,24580,24580,24535,24535,24535,24428,24428,24428,24368,24368,24368,24222,24222,24222,24050,24050,24050,23946,23946,23946,23832,23832,23832,23685,23685,23685,23622,23622,23622,23557,23557,23557,23433,23433,23433,23187,23187,23187,22925,22925,22925,22661,22661,22661,22394,22394,22394,22163,22163,22163,21897,21897,21897,21607,21607,21607,21342,21342,21342,21090,21090,21090,20909,20909,20909
Demand,21850,21888,21864,21761,21715,21617,21521,21443,21365,21254,21175,21135,20991,20989,20994,20944,20874,20845,20808,20732,20690,20642,20607,20564,20477,20434,20397,20367,20311,20265,20190,20153,20105,20094,20058,20057,20033,20057,19991,19998,19960,19967,19941,19940,19914,19912,19923,19906,19900,19903,19941,19957,19963,19965,19937,19957,19986,19976,19981,19987,19989,20007,20065,20108,20139,20159,20192,20224,20240,20250,20298,20361,20435,20625,20757,20837,20922,20990,21080,21183,21266,21363,21463,21527,21593,21732,21839,21923,21998,22036,22041,22055,22065,22046,22040,22016,22019,22119,22226,22207,22141,22039,21943,21885,21845,21621,21533,21514,21233,21280,21333,21356,21219,21126,21038,20918,20830,20719,20590,20497,20363,20302,20243,20107,20002,19859,19764,19678,19589,19474,19356,19200,19108,19034,19011,19004,18949,18911,18836,18781,18696,18640,18648,18652,18603,18609,18598,18548,18603,18600,18632,18628,18592,18543,18597,18634,18664,18701,18707,18754,18823,18826,18835,18866,18837,18862,18871,18937,18964,19005,19031,19067,19132,19217,19317,19360,19430,19536,19621,19727,19799,19893,20052,20090,20255,20391,20379,20446,20496,20574,20714,20768,20848,20872,20911,21043,21168,21335,21522,21662,21835,21964,22112,22292,22394,22431,22506,22673,22842,22961,23117,23269,23393,23542,23684,23833,23952,24118,24251,24306,24399,24574,24713,24737,24672,24561,24689,24688,24663,24609,24571,24539,24504,24455,24395,24377,24326,24316,24272,24244,24226,24142,24081,24047,24038,23986,23948,23882,23832,23767,23730,23697,23646,23668,23636,23593,23550,23508,23463,23389,23301,23241,23142,23088,22990,22916,22913,22818,22714,22653,22549,22463,22360,22256,22142,22049,21916,21847,21807,21703,21596,21517,21427,21352,21251,21165,21053,20977,20856
Day-ahead net forecast,19515,18104,18104,18104,18104,18104,18104,18104,18104,18104,18104,18104,18104,17088,17088,17088,17088,17088,17088,17088,17088,17088,17088,17088,17088,16420,16420,16420,16420,16420,16420,16420,16420,16420,16420,16420,16420,16144,16144,16144,16144,16144,16144,16144,16144,16144,16144,16144,16144,16060,16060,16060,16060,16060,16060,16060,16060,16060,16060,16060,16060,16405,16405,16405,16405,16405,16405,16405,16405,16405,16405,16405,16405,17345,17345,17345,17345,17345,17345,17345,17345,17345,17345,17345,17345,17122,17122,17122,17122,17122,17122,17122,17122,17122,17122,17122,17122,11415,11415,11415,11415,11415,11415,11415,11415,11415,11415,11415,11415,6487,6487,6487,6487,6487,6487,6487,6487,6487,6487,6487,6487,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,3393,3393,3393,3393,3393,3393,3393,3393,3393,3393,3393,3393,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2308,2308,2308,2308,2308,2308,2308,2308,2308,2308,2308,2308,2974,2974,2974,2974,2974,2974,2974,2974,2974,2974,2974,2974,4758,4758,4758,4758,4758,4758,4758,4758,4758,4758,4758,4758,9920,9920,9920,9920,9920,9920,9920,9920,9920,9920,9920,9920,,,,,,,,,,,,17132,17132,17132,17132,17132,17132,17132,17132,17132,17132,17132,17132,19705,19652,19652,19652,19652,19652,19652,19652,19652,19652,19652,19652,19652,19008,19008,19008,19008,19008,19008,19008,19008,19008,19008,19008,19008,18575,18575,18575,18575,18575,18575,18575,18575,18575,18575,18575,18575,17729,17729,17729,17729,17729,17729,17729,17729,17729,17729,17729,17729,16644,16644,16644,16644,16644,16644,16644,16644,16644,16644,16644,16644
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net demand,18834,18803,18904,18836,18764,18650,18511,18332,18190,18036,17922,17866,17760,17729,17791,17800,17752,17653,17621,17642,17542,17542,17568,17592,17557,17518,17487,17496,17477,17406,17326,17224,17152,17117,17100,17064,17119,17113,17201,17143,17149,17138,17086,17039,16961,16893,16850,16777,16744,16733,16774,16779,16789,16791,16786,16791,16829,16829,16829,16827,16828,16829,16890,16955,16991,17018,17062,17080,17055,17092,17124,17196,17231,17334,17502,17576,17649,17733,17777,17837,17937,17991,18053,18067,18117,18143,18300,18326,18312,18269,18213,18000,17781,17460,17121,16833,16421,15930,15478,14842,14437,13825,13309,12708,12442,11557,10961,10680,10309,9738,9370,9090,8665,8305,8333,7837,7545,7226,7378,7472,7207,7020,7315,7129,6967,7238,7265,7102,7139,7096,6952,6988,6664,6226,6040,6114,6075,6299,6732,6723,6624,6299,6320,6385,6524,6472,6414,6515,6636,6790,6822,6671,6527,6288,6206,6504,6800,6757,6907,6977,6839,7162,7530,7772,7734,7712,7548,7336,7428,7299,7237,7481,7540,7489,7472,7842,8041,8324,8517,8639,8996,8887,8987,9022,9130,9507,9282,9085,8936,9227,9436,9748,9946,10306,10346,10542,10649,10780,11051,11676,12270,12943,13542,14173,14793,15250,15759,16266,16850,17467,18005,18498,18842,19144,19385,19570,19732,19844,19985,20040,20068,20251,20431,20504,20502,20388,20443,20494,20433,20369,20269,20208,20178,20141,20115,20086,20054,20029,19964,19954,19924,19840,19775,19747,19731,19731,19681,19686,19552,19511,19472,19443,19405,19441,19469,19403,19361,19334,19294,19253,19162,19104,18978,18915,18832,18748,18689,18584,18414,18282,18180,18067,17978,17882,17758,17653,17550,17393,17388,17275,17161,17072,16969,16911,16841,16809,16745,16712,16619
