Net Demand 11/21/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21439,21277,21277,21277,21244,21244,21244,21109,21109,21109,20987,20987,20987,20868,20868,20868,20750,20750,20750,20643,20643,20643,20589,20589,20589,20546,20546,20546,20477,20477,20477,20472,20472,20472,20528,20528,20528,20530,20530,20530,20610,20610,20610,20662,20662,20662,20845,20845,20845,21077,21077,21077,21291,21291,21291,21503,21503,21503,21989,21989,21989,22500,22500,22500,22904,22904,22904,23254,23254,23254,23935,23935,23935,24480,24480,24480,24844,24844,24844,24989,24989,24989,25352,25352,25352,25412,25412,25412,25177,25177,25177,24815,24815,24815,24724,24724,24724,24473,24473,24473,24108,24108,24108,23678,23678,23678,23383,23383,23383,23077,23077,23077,22698,22698,22698,22389,22389,22389,22099,22099,22099,21953,21953,21953,21725,21725,21725,21584,21584,21584,21387,21387,21387,21271,21271,21271,21189,21189,21189,21301,21301,21301,21457,21457,21457,21564,21564,21564,21718,21718,21718,21980,21980,21980,21977,21977,21977,21959,21959,21959,22196,22196,22196,22472,22472,22472,22622,22622,22622,22872,22872,22872,23158,23158,23158,23400,23400,23400,23789,23789,23789,24013,24013,24013,24397,24397,24397,24807,24807,24807,25174,25174,25174,25632,25632,25632,25945,25945,25945,26684,26684,26684,27352,27352,27352,27980,27980,27980,28076,28076,28076,28046,28046,28046,27930,27930,27930,27768,27768,27768,27680,27680,27680,27538,27538,27538,27428,27428,27428,27335,27335,27335,27140,27140,27140,26995,26995,26995,26856,26856,26856,26692,26692,26692,26583,26583,26583,26473,26473,26473,26280,26280,26280,26101,26101,26101,25903,25903,25903,25566,25566,25566,25256,25256,25256,24814,24814,24814,24455,24455,24455,24127,24127,24127,23681,23681,23681,23440,23440,23440,23108,23108,23108,22830,22830,22830,22589,22589,22589
Demand,21433,21543,21652,21591,21561,21502,21446,21367,21338,21246,21190,21135,21091,21085,21033,20997,20952,20921,20869,20828,20780,20771,20714,20707,20671,20664,20678,20658,20634,20623,20609,20597,20572,20569,20531,20547,20547,20611,20647,20636,20647,20638,20650,20659,20688,20721,20732,20788,20798,20927,21063,21121,21181,21241,21297,21386,21462,21562,21624,21711,21812,22090,22319,22470,22602,22704,22774,22921,23050,23155,23231,23390,23604,23911,24240,24407,24534,24627,24743,24876,24974,25009,25001,24999,24944,25008,25037,25109,25112,25156,25135,25100,25066,24977,24952,24895,24802,24777,24688,24600,24475,24384,24248,24149,24039,23880,23790,23626,23457,23389,23287,23156,23059,22977,22856,22737,22634,22548,22504,22437,22298,22195,22185,22087,22034,21953,21832,21749,21668,21570,21589,21442,21382,21347,21362,21339,21349,21338,21275,21356,21425,21484,21543,21584,21571,21559,21626,21708,21772,21713,21776,21807,21816,21699,21703,21734,21769,21793,21914,22030,22134,22132,22228,22226,22337,22416,22531,22491,22583,22639,22684,22781,22878,22964,23097,23163,23251,23374,23428,23499,23624,23668,23770,23900,24069,24209,24366,24442,24618,24715,24864,24965,25053,25124,25220,25366,25544,25693,25878,26076,26250,26447,26691,26911,27081,27294,27550,27741,27880,27938,27999,28028,28050,28075,28096,28085,28052,27954,27950,27907,27889,27848,27789,27789,27759,27721,27698,27674,27589,27545,27489,27449,27434,27363,27328,27292,27292,27233,27212,27169,27106,27054,26986,26941,26910,26861,26811,26775,26724,26642,26568,26500,26434,26415,26344,26258,26202,26130,26069,25978,25873,25772,25652,25559,25377,25253,25144,25017,24886,24793,24643,24504,24364,24264,24146,24065,23908,23780,23654,23563,23433,23338,23216,23097,22983,22883,22813,22715,22614
Day-ahead net forecast,20416,19760,19760,19760,19760,19760,19760,19760,19760,19760,19760,19760,19760,19340,19340,19340,19340,19340,19340,19340,19340,19340,19340,19340,19340,19066,19066,19066,19066,19066,19066,19066,19066,19066,19066,19066,19066,19155,19155,19155,19155,19155,19155,19155,19155,19155,19155,19155,19155,19802,19802,19802,19802,19802,19802,19802,19802,19802,19802,19802,19802,21345,21345,21345,21345,21345,21345,21345,21345,21345,21345,21345,21345,23108,23108,23108,23108,23108,23108,23108,23108,23108,23108,23108,23108,19111,19111,19111,19111,19111,19111,19111,19111,19111,19111,19111,19111,13547,13547,13547,13547,13547,13547,13547,13547,13547,13547,13547,13547,11650,11650,11650,11650,11650,11650,11650,11650,11650,11650,11650,11650,11238,11238,11238,11238,11238,11238,11238,11238,11238,11238,11238,11238,11202,11202,11202,11202,11202,11202,11202,11202,11202,11202,11202,11202,11601,11601,11601,11601,11601,11601,11601,11601,11601,11601,11601,11601,12617,12617,12617,12617,12617,12617,12617,12617,12617,12617,12617,12617,14594,14594,14594,14594,14594,14594,14594,14594,14594,14594,14594,14594,19697,19697,19697,19697,19697,19697,19697,19697,19697,19697,19697,19697,25206,25206,25206,25206,25206,25206,25206,25206,25206,25206,25206,25206,27507,27507,27507,27507,27507,27507,27507,27507,27507,27507,27507,27507,27344,27344,27344,27344,27344,27344,27344,27344,27344,27344,27344,27344,26547,26547,26547,26547,26547,26547,26547,26547,26547,26547,26547,26547,25548,25548,25548,25548,25548,25548,25548,25548,25548,25548,25548,25548,24455,24455,24455,24455,24455,24455,24455,24455,24455,24455,24455,24455,22923,22923,22923,22923,22923,22923,22923,22923,22923,22923,22923,22923,21545,21545,21545,21545,21545,21545,21545,21545,21545,21545,21545,21545
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net demand,20355,20338,20516,20512,20472,20418,20357,20277,20243,20164,20097,20034,19992,19963,19944,19882,19837,19787,19747,19683,19628,19592,19581,19527,19499,19469,19495,19472,19481,19473,19465,19466,19446,19440,19413,19409,19418,19472,19551,19552,19572,19592,19604,19617,19659,19678,19686,19737,19771,19865,20053,20136,20199,20266,20328,20409,20497,20547,20638,20689,20771,20975,21249,21432,21549,21718,21802,21918,22070,22179,22256,22393,22559,22838,23194,23399,23521,23603,23669,23678,23702,23581,23385,23064,22717,22311,22133,21798,21286,20816,20234,19726,19063,18500,17895,17293,16656,16138,15574,15083,14703,14242,13958,13642,13414,13271,13039,12748,12506,12313,12206,11955,11858,11807,11632,11446,11317,11253,11150,11019,10866,10882,11049,10815,10610,10603,10738,10856,10831,10983,10746,10822,10760,10812,11012,11004,11065,11018,11034,11049,11203,11103,10881,10861,11007,11065,11033,10901,11036,10986,11009,10949,10862,10903,11042,11202,11340,11418,11616,11639,11785,12203,12636,12689,12899,13326,13914,14261,14574,14903,14858,14932,15220,15645,15747,16200,16580,16952,17273,17669,18067,18382,18798,19102,19550,20016,20642,21229,21810,22164,22525,23007,23448,23714,24036,24334,24672,25043,25367,25643,25930,26125,26365,26616,26783,26983,27218,27453,27593,27685,27741,27772,27828,27808,27827,27837,27835,27726,27705,27660,27620,27590,27531,27492,27466,27439,27380,27386,27307,27270,27187,27162,27115,27074,27006,26972,26933,26888,26825,26789,26705,26656,26574,26506,26460,26382,26337,26305,26251,26178,26094,26025,25960,25915,25869,25777,25701,25610,25523,25403,25265,25127,24999,24889,24736,24541,24434,24299,24170,24057,23904,23756,23597,23487,23363,23266,23146,23002,22863,22747,22614,22489,22392,22270,22148,22054,21985,21892,21786
