Net Demand 11/13/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21477,21259,21259,21259,21172,21172,21172,21038,21038,21038,20882,20882,20882,20767,20767,20767,20616,20616,20616,20474,20474,20474,20357,20357,20357,20243,20243,20243,20163,20163,20163,20072,20072,20072,20042,20042,20042,20016,20016,20016,19943,19943,19943,19897,19897,19897,19916,19916,19916,19963,19963,19963,20023,20023,20023,20061,20061,20061,20179,20179,20179,20307,20307,20307,20433,20433,20433,20541,20541,20541,20841,20841,20841,20996,20996,20996,20956,20956,20956,20917,20917,20917,21030,21030,21030,20993,20993,20993,20807,20807,20807,20612,20612,20612,20578,20578,20578,20195,20195,20195,19878,19878,19878,19504,19504,19504,19180,19180,19180,18904,18904,18904,18516,18516,18516,18256,18256,18256,18116,18116,18116,17909,17909,17909,17628,17628,17628,17309,17309,17309,17057,17057,17057,16969,16969,16969,16776,16776,16776,16627,16627,16627,16585,16585,16585,16645,16645,16645,16727,16727,16727,16717,16717,16717,16752,16752,16752,16798,16798,16798,16854,16854,16854,16952,16952,16952,17415,17415,17415,17717,17717,17717,18245,18245,18245,18736,18736,18736,19249,19249,19249,19740,19740,19740,20379,20379,20379,21062,21062,21062,21706,21706,21706,22372,22372,22372,23266,23266,23266,24158,24158,24158,25088,25088,25088,25831,25831,25831,26102,26102,26102,26081,26081,26081,26033,26033,26033,25962,25962,25962,25885,25885,25885,25805,25805,25805,25742,25742,25742,25650,25650,25650,25550,25550,25550,25457,25457,25457,25309,25309,25309,25187,25187,25187,24994,24994,24994,24768,24768,24768,24672,24672,24672,24565,24565,24565,24400,24400,24400,24136,24136,24136,23854,23854,23854,23558,23558,23558,23205,23205,23205,22795,22795,22795,22441,22441,22441,22138,22138,22138,21898,21898,21898,21650,21650,21650,21425,21425,21425
Demand,21371,21464,21565,21576,21514,21475,21429,21323,21266,21228,21148,21080,20994,20976,20938,20874,20827,20766,20726,20698,20652,20596,20531,20501,20466,20437,20412,20368,20336,20285,20258,20224,20214,20181,20147,20136,20119,20108,20071,20060,20053,20037,20011,19991,19970,19930,19924,19913,19951,19979,20018,20046,20056,20060,20058,20063,20067,20084,20083,20112,20166,20252,20320,20379,20415,20425,20454,20509,20551,20585,20628,20678,20753,20885,20995,21022,21035,21037,21065,21098,21087,21088,21085,21072,21085,21111,21110,21065,21019,20980,20949,20930,20861,20783,20670,20419,20337,20394,20353,20240,20172,19987,19892,19830,19747,19586,19458,19327,19121,18948,19029,18964,18811,18729,18621,18559,18503,18390,18318,18258,18166,18082,17952,17817,17729,17633,17600,17471,17384,17318,17277,17218,17139,17024,16952,16845,16790,16756,16702,16682,16713,16680,16706,16737,16743,16752,16759,16737,16713,16669,16695,16665,16704,16675,16631,16649,16652,16681,16651,16548,16601,16782,16883,16992,17090,17147,17270,17329,17462,17614,17764,17904,18046,18166,18326,18463,18606,18782,18921,19152,19278,19426,19551,19742,19970,20288,20471,20725,20929,21172,21403,21591,21799,21984,22248,22504,22756,23035,23265,23534,23761,23996,24254,24482,24696,24957,25266,25488,25690,25835,25918,26002,26046,26068,26118,26134,26137,26068,26077,26050,26037,26036,26013,25983,25947,25924,25913,25876,25874,25853,25841,25798,25756,25721,25677,25652,25606,25572,25559,25521,25497,25425,25326,25262,25217,25148,25078,25070,25019,24986,24920,24871,24788,24806,24805,24782,24734,24671,24597,24491,24415,24326,24250,24147,24030,23910,23751,23601,23485,23364,23247,23089,23005,22876,22779,22680,22572,22461,22352,22257,22166,22036,21937,21837,21765,21649,21575,21491,21431
Day-ahead net forecast,17402,16715,16715,16715,16715,16715,16715,16715,16715,16715,16715,16715,16715,16217,16217,16217,16217,16217,16217,16217,16217,16217,16217,16217,16217,15733,15733,15733,15733,15733,15733,15733,15733,15733,15733,15733,15733,15534,15534,15534,15534,15534,15534,15534,15534,15534,15534,15534,15534,15630,15630,15630,15630,15630,15630,15630,15630,15630,15630,15630,15630,15834,15834,15834,15834,15834,15834,15834,15834,15834,15834,15834,15834,15642,15642,15642,15642,15642,15642,15642,15642,15642,15642,15642,15642,10334,10334,10334,10334,10334,10334,10334,10334,10334,10334,10334,10334,5290,5290,5290,5290,5290,5290,5290,5290,5290,5290,5290,5290,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,2768,2768,2768,2768,2768,2768,2768,2768,2768,2768,2768,2768,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2480,2480,2480,2480,2480,2480,2480,2480,2480,2480,2480,2480,3112,3112,3112,3112,3112,3112,3112,3112,3112,3112,3112,3112,5344,5344,5344,5344,5344,5344,5344,5344,5344,5344,5344,5344,11893,11893,11893,11893,11893,11893,11893,11893,11893,11893,11893,11893,19831,19831,19831,19831,19831,19831,19831,19831,19831,19831,19831,19831,22965,22965,22965,22965,22965,22965,22965,22965,22965,22965,22965,22965,23256,23256,23256,23256,23256,23256,23256,23256,23256,23256,23256,23256,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,22614,22614,22614,22614,22614,22614,22614,22614,22614,22614,22614,22614,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,21104,21104,21104,21104,21104,21104,21104,21104,21104,21104,21104,21104,20164,20164,20164,20164,20164,20164,20164,20164,20164,20164,20164,20164
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net demand,18213,18174,18268,18358,18370,18340,18294,18281,18249,18230,18192,18109,17996,17920,17855,17721,17653,17501,17377,17275,17111,17022,16908,16882,16815,16830,16844,16901,16944,16910,16833,16825,16886,16929,16929,16955,16947,16942,16920,16930,16935,16889,16804,16763,16748,16716,16686,16686,16690,16713,16725,16750,16821,16919,16975,16991,16987,16994,17018,17035,17123,17200,17234,17279,17344,17388,17400,17439,17479,17510,17514,17589,17680,17746,17792,17731,17639,17506,17346,17209,16959,16696,16339,15901,15404,14952,14492,13859,13186,12499,11840,11291,10710,10124,9491,8732,8042,7627,7252,6780,6397,6106,5737,5375,4931,4521,4402,4291,4104,3622,3619,3612,3450,3449,3595,3675,3519,3500,3392,3366,3087,2785,2644,2515,2369,2379,2419,2264,2234,2382,2521,2658,2720,2687,2521,2662,2809,2728,2495,2475,2666,2766,2886,3050,2883,2669,2760,2900,2697,2702,2878,3035,2958,2827,2727,2994,3428,3553,3593,3541,3745,4113,4209,4072,4018,3922,3955,4322,4611,4422,4693,5140,5135,5265,5316,5342,5936,6360,6131,6340,6600,7447,8030,8124,8510,9260,10079,11018,12015,12999,13931,14965,15955,16786,17611,18460,19225,20011,20675,21227,21702,22146,22519,22798,23104,23315,23708,23978,24185,24379,24524,24579,24661,24660,24709,24729,24746,24666,24658,24597,24573,24566,24557,24498,24445,24372,24345,24236,24136,24165,24165,24101,24044,23970,23893,23840,23772,23715,23685,23603,23508,23378,23215,23055,22933,22750,22607,22574,22571,22452,22370,22292,22342,22422,22528,22616,22691,22718,22796,22877,22937,22902,22838,22757,22711,22540,22250,21942,21750,21639,21519,21418,21342,21277,21170,21040,20921,20929,21031,20948,20864,20779,20638,20536,20471,20405,20337,20274,20227
