Net Demand 11/14/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21425,21268,21268,21268,21110,21110,21110,21060,21060,21060,20897,20897,20897,20797,20797,20797,20684,20684,20684,20552,20552,20552,20490,20490,20490,20406,20406,20406,20379,20379,20379,20367,20367,20367,20383,20383,20383,20436,20436,20436,20471,20471,20471,20506,20506,20506,20717,20717,20717,20923,20923,20923,21133,21133,21133,21274,21274,21274,21727,21727,21727,22171,22171,22171,22637,22637,22637,22964,22964,22964,23672,23672,23672,24280,24280,24280,24648,24648,24648,25036,25036,25036,25535,25535,25535,25814,25814,25814,25570,25570,25570,25215,25215,25215,24774,24774,24774,24459,24459,24459,23924,23924,23924,23438,23438,23438,23040,23040,23040,22652,22652,22652,22207,22207,22207,21749,21749,21749,21494,21494,21494,21156,21156,21156,20864,20864,20864,20625,20625,20625,20418,20418,20418,20224,20224,20224,20113,20113,20113,20138,20138,20138,20053,20053,20053,20060,20060,20060,20020,20020,20020,20135,20135,20135,20169,20169,20169,20348,20348,20348,20564,20564,20564,20813,20813,20813,21060,21060,21060,21390,21390,21390,21902,21902,21902,22235,22235,22235,22601,22601,22601,23040,23040,23040,23460,23460,23460,24222,24222,24222,24673,24673,24673,25222,25222,25222,25892,25892,25892,26687,26687,26687,27517,27517,27517,28085,28085,28085,28194,28194,28194,28247,28247,28247,27982,27982,27982,27890,27890,27890,27768,27768,27768,27653,27653,27653,27426,27426,27426,27397,27397,27397,27320,27320,27320,27104,27104,27104,26902,26902,26902,26722,26722,26722,26550,26550,26550,26331,26331,26331,26170,26170,26170,26077,26077,26077,25660,25660,25660,25261,25261,25261,24824,24824,24824,24446,24446,24446,24181,24181,24181,23740,23740,23740,23364,23364,23364,23115,23115,23115,22793,22793,22793,22550,22550,22550,22351,22351,22351
Demand,21431,21517,21536,21484,21450,21394,21325,21269,21203,21138,21116,21069,20992,20962,20929,20874,20840,20780,20732,20693,20691,20659,20610,20582,20560,20544,20563,20556,20530,20509,20465,20452,20441,20437,20443,20412,20402,20459,20493,20490,20482,20495,20491,20508,20542,20569,20591,20606,20614,20676,20747,20803,20876,20934,21006,21084,21137,21220,21254,21339,21487,21775,22025,22154,22313,22321,22368,22563,22732,22906,23075,23209,23401,23796,24105,24368,24506,24623,24747,24896,25046,25188,25279,25366,25451,25625,25689,25724,25702,25655,25511,25457,25358,25179,25011,24914,24761,24677,24559,24404,24238,24092,23937,23794,23667,23454,23291,23181,23005,22893,22814,22665,22496,22343,22209,22083,21951,21856,21731,21647,21493,21374,21283,21208,21071,21022,20912,20824,20760,20646,20566,20510,20433,20382,20359,20291,20245,20201,20176,20139,20086,20082,20094,20079,20069,19991,20024,20051,20028,20000,20008,20007,20045,20066,20113,20146,20213,20246,20304,20347,20455,20525,20600,20655,20714,20839,20904,21030,21147,21204,21292,21397,21500,21655,21734,21823,21922,22070,22231,22362,22514,22607,22805,22955,23134,23333,23487,23644,23847,24039,24231,24446,24615,24685,24869,25077,25303,25518,25682,25889,26105,26320,26512,26722,26922,27147,27364,27557,27742,27856,27949,27993,28001,28019,28014,28067,28059,27938,27856,27820,27806,27790,27748,27723,27686,27628,27624,27610,27562,27507,27427,27370,27362,27309,27272,27222,27170,27134,27082,27036,26981,26930,26862,26830,26784,26738,26669,26575,26486,26419,26433,26334,26207,26134,25935,25873,25791,25732,25648,25542,25432,25264,25179,25045,24994,24813,24669,24526,24390,24270,24147,24022,23872,23735,23621,23506,23382,23261,23250,23138,23025,22932,22835,22724,22622,22505,22399,22302,22207
Day-ahead net forecast,20164,19928,19928,19928,19928,19928,19928,19928,19928,19928,19928,19928,19928,19525,19525,19525,19525,19525,19525,19525,19525,19525,19525,19525,19525,19162,19162,19162,19162,19162,19162,19162,19162,19162,19162,19162,19162,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031,19723,19723,19723,19723,19723,19723,19723,19723,19723,19723,19723,19723,21283,21283,21283,21283,21283,21283,21283,21283,21283,21283,21283,21283,23015,23015,23015,23015,23015,23015,23015,23015,23015,23015,23015,23015,17854,17854,17854,17854,17854,17854,17854,17854,17854,17854,17854,17854,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,11884,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,8348,8348,8348,8348,8348,8348,8348,8348,8348,8348,8348,8348,7756,7756,7756,7756,7756,7756,7756,7756,7756,7756,7756,7756,7805,7805,7805,7805,7805,7805,7805,7805,7805,7805,7805,7805,8574,8574,8574,8574,8574,8574,8574,8574,8574,8574,8574,8574,10862,10862,10862,10862,10862,10862,10862,10862,10862,10862,10862,10862,17088,17088,17088,17088,17088,17088,17088,17088,17088,17088,17088,17088,24588,24588,24588,24588,24588,24588,24588,24588,24588,24588,24588,24588,27450,27450,27450,27450,27450,27450,27450,27450,27450,27450,27450,27450,27469,27469,27469,27469,27469,27469,27469,27469,27469,27469,27469,27469,26844,26844,26844,26844,26844,26844,26844,26844,26844,26844,26844,26844,26075,26075,26075,26075,26075,26075,26075,26075,26075,26075,26075,26075,25054,25054,25054,25054,25054,25054,25054,25054,25054,25054,25054,25054,23475,23475,23475,23475,23475,23475,23475,23475,23475,23475,23475,23475,22176,22176,22176,22176,22176,22176,22176,22176,22176,22176,22176,22176
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net demand,20227,20151,20127,20098,20082,20098,20106,20246,20344,20361,20329,20378,20356,20303,20284,20235,20065,19976,19843,19688,19580,19544,19518,19455,19318,19245,19235,19234,19197,19275,19279,19186,19087,18969,18873,18810,18847,18916,19032,19065,19082,19136,19118,19110,19074,19107,19160,19181,19199,19243,19435,19541,19631,19706,19776,19871,19915,19987,20042,20071,20163,20386,20674,20841,21022,21139,21143,21314,21507,21629,21802,21959,22087,22421,22833,23070,23285,23374,23385,23407,23393,23279,23087,22820,22454,22087,21723,21218,20673,20069,19395,18736,18116,17399,16663,15948,15204,14640,14015,13569,13081,12601,12225,11882,11557,11258,10952,10712,10494,10302,10151,10002,9852,9631,9497,9366,9255,9143,9068,8948,8888,8784,8764,8682,8551,8494,8453,8382,8332,8254,8192,8161,8107,8069,8065,8014,7994,7971,7918,7916,7932,7925,7957,8092,8004,7884,7821,7874,7863,7840,7862,7920,7952,7969,7987,8068,8011,7980,8008,8122,8246,8290,8295,8404,8442,8543,8657,8786,8896,9026,9106,9336,9550,9843,9993,10218,10501,10784,11195,11610,12064,12543,13074,13761,14456,15223,15972,16690,17473,18311,19127,20006,20772,21464,22121,22802,23461,24040,24495,24875,25284,25590,25844,26077,26291,26572,26787,26989,27200,27327,27425,27472,27520,27493,27513,27567,27529,27487,27364,27313,27259,27250,27224,27174,27162,27123,27103,27114,27076,27012,26913,26858,26868,26853,26820,26782,26737,26687,26647,26617,26588,26533,26468,26399,26334,26284,26243,26136,26044,25959,25876,25888,25767,25635,25539,25365,25307,25260,25201,25131,25028,24848,24744,24597,24551,24430,24253,24111,23984,23874,23770,23648,23507,23358,23223,23105,22991,22860,22792,22729,22602,22518,22420,22316,22225,22123,21990,21913,21815
