Net Demand 11/01/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21813,21597,21597,21597,21448,21448,21448,21237,21237,21237,21094,21094,21094,20913,20913,20913,20755,20755,20755,20588,20588,20588,20492,20492,20492,20399,20399,20399,20300,20300,20300,20192,20192,20192,20146,20146,20146,20093,20093,20093,20054,20054,20054,20119,20119,20119,20268,20268,20268,20414,20414,20414,20560,20560,20560,20621,20621,20621,20911,20911,20911,21309,21309,21309,21705,21705,21705,22012,22012,22012,22573,22573,22573,23082,23082,23082,23581,23581,23581,23939,23939,23939,24673,24673,24673,24991,24991,24991,24928,24928,24928,24926,24926,24926,25002,25002,25002,24910,24910,24910,24758,24758,24758,24610,24610,24610,24625,24625,24625,24654,24654,24654,24443,24443,24443,24223,24223,24223,24017,24017,24017,23801,23801,23801,23684,23684,23684,23680,23680,23680,23734,23734,23734,23790,23790,23790,23843,23843,23843,23720,23720,23720,23754,23754,23754,23704,23704,23704,23642,23642,23642,23691,23691,23691,23668,23668,23668,23837,23837,23837,23704,23704,23704,23606,23606,23606,23687,23687,23687,23707,23707,23707,23775,23775,23775,23892,23892,23892,23323,23323,23323,23393,23393,23393,23318,23318,23318,23559,23559,23559,23559,23559,23559,23966,23966,23966,24235,24235,24235,24544,24544,24544,25062,25062,25062,25438,25438,25438,25779,25779,25779,26202,26202,26202,26655,26655,26655,27165,27165,27165,27421,27421,27421,27373,27373,27373,27428,27428,27428,27276,27276,27276,27032,27032,27032,26818,26818,26818,26573,26573,26573,26381,26381,26381,26221,26221,26221,25874,25874,25874,25742,25742,25742,25581,25581,25581,25133,25133,25133,24844,24844,24844,24486,24486,24486,24171,24171,24171,23804,23804,23804,23405,23405,23405,23077,23077,23077,22796,22796,22796,22469,22469,22469,22143,22143,22143,21846,21846,21846
Demand,21772,21810,21817,21750,21710,21628,21576,21520,21476,21378,21306,21247,21168,21140,21137,21050,20982,20945,20879,20824,20766,20711,20647,20602,20538,20501,20473,20413,20361,20321,20294,20239,20217,20170,20140,20106,20076,20077,20115,20103,20122,20106,20117,20091,20128,20127,20121,20133,20173,20232,20289,20310,20331,20365,20378,20429,20480,20534,20572,20631,20704,20919,21127,21255,21338,21402,21471,21579,21710,21794,21873,21976,22126,22477,22768,22975,23119,23250,23387,23619,23804,23949,24100,24225,24359,24577,24767,24875,24977,25000,24993,25015,24970,24899,24840,24801,24750,24855,24882,24824,24787,24819,24825,24821,24864,24791,24745,24786,24812,24740,24703,24688,24641,24609,24557,24473,24291,24242,24157,24114,24133,24032,23968,23880,23899,23941,24018,23990,24002,24032,24027,24031,24018,24033,24024,23775,23691,23903,23952,23893,23936,23861,23840,23864,23858,23836,23908,23881,23814,23799,23753,23722,23809,23784,23812,23795,23736,23747,23693,23597,23559,23560,23680,23594,23500,23427,23350,23308,23239,23215,23227,23232,23210,23199,23195,23178,23194,23161,23147,23212,23225,23135,23158,23184,23275,23356,23404,23448,23491,23527,23665,23745,23849,23876,23872,24008,24140,24249,24369,24453,24621,24760,24866,24985,25102,25111,25217,25347,25481,25628,25740,25896,26030,26179,26305,26438,26603,26721,26870,27023,27174,27159,27266,27396,27427,27440,27448,27430,27356,27274,27248,27190,27144,27113,27026,26981,26932,26872,26821,26759,26660,26611,26596,26503,26474,26381,26300,26231,26155,26056,25994,25913,25780,25712,25688,25642,25574,25498,25402,25303,25289,25074,24980,24852,24820,24569,24501,24355,24250,24124,24023,23866,23763,23637,23494,23369,23226,23127,23007,22872,22765,22654,22512,22373,22224,22114,22003,21920,21756
Day-ahead net forecast,20187,19100,19100,19100,19100,19100,19100,19100,19100,19100,19100,19100,19100,18397,18397,18397,18397,18397,18397,18397,18397,18397,18397,18397,18397,17858,17858,17858,17858,17858,17858,17858,17858,17858,17858,17858,17858,17669,17669,17669,17669,17669,17669,17669,17669,17669,17669,17669,17669,18037,18037,18037,18037,18037,18037,18037,18037,18037,18037,18037,18037,19317,19317,19317,19317,19317,19317,19317,19317,19317,19317,19317,19317,21512,21512,21512,21512,21512,21512,21512,21512,21512,21512,21512,21512,22376,22376,22376,22376,22376,22376,22376,22376,22376,22376,22376,22376,17854,17854,17854,17854,17854,17854,17854,17854,17854,17854,17854,17854,13925,13925,13925,13925,13925,13925,13925,13925,13925,13925,13925,13925,12612,12612,12612,12612,12612,12612,12612,12612,12612,12612,12612,12612,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,10983,10983,10983,10983,10983,10983,10983,10983,10983,10983,10983,10983,10396,10396,10396,10396,10396,10396,10396,10396,10396,10396,10396,10396,10344,10344,10344,10344,10344,10344,10344,10344,10344,10344,10344,10344,11178,11178,11178,11178,11178,11178,11178,11178,11178,11178,11178,11178,14985,14985,14985,14985,14985,14985,14985,14985,14985,14985,14985,14985,20848,20848,20848,20848,20848,20848,20848,20848,20848,20848,20848,20848,23233,23233,23233,23233,23233,23233,23233,23233,23233,23233,23233,23233,22995,22995,22995,22995,22995,22995,22995,22995,22995,22995,22995,22995,22051,22051,22051,22051,22051,22051,22051,22051,22051,22051,22051,22051,21226,21226,21226,21226,21226,21226,21226,21226,21226,21226,21226,21226,19755,19755,19755,19755,19755,19755,19755,19755,19755,19755,19755,19755,18412,18412,18412,18412,18412,18412,18412,18412,18412,18412,18412,18412
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net demand,20239,20210,20264,20221,20139,20050,19972,19916,19833,19757,19666,19601,19552,19506,19509,19414,19297,19224,19159,19093,19022,18920,18830,18735,18635,18582,18548,18517,18434,18379,18328,18262,18239,18173,18161,18142,18105,18163,18179,18174,18168,18167,18165,18153,18152,18181,18164,18125,18141,18194,18274,18342,18389,18453,18483,18539,18615,18670,18733,18810,18913,19070,19341,19490,19592,19678,19748,19824,19960,20037,20093,20208,20334,20634,20972,21191,21328,21425,21531,21681,21888,22031,22171,22283,22416,22565,22806,22904,22964,23002,22857,22786,22644,22242,22126,21848,21456,21000,20822,20433,19727,19518,19194,18861,18116,17890,17499,16732,16758,16661,16541,16456,16368,16257,16085,16007,15717,15285,14794,14746,14304,14034,13516,13235,13075,12980,12685,12899,12893,13000,12953,12866,12280,12392,12395,12020,11703,11587,11196,11123,11390,11663,11791,12076,11950,11587,11580,11463,11605,12084,12072,11780,11705,11500,11384,11452,11389,11561,11469,11081,10917,11061,10884,10875,10822,10824,10867,10876,10913,10667,10794,10827,10662,10602,10285,10129,9849,10130,10278,10745,11392,11361,10931,10747,10675,10506,10524,10708,10911,11223,11659,12153,12402,12649,12965,13420,13550,13745,14112,14824,15433,16012,16701,17253,17920,18623,19253,19726,20161,20600,20936,21213,21510,21725,21937,22085,22195,22315,22497,22580,22783,22868,22897,23062,23177,23206,23212,23331,23207,23161,23051,22990,22910,22924,22887,22858,22856,22843,22809,22781,22714,22670,22609,22528,22434,22348,22208,22093,22037,21929,21773,21720,21531,21349,21337,21293,21346,21267,21151,21043,20902,20762,20540,20367,20176,20104,19932,19795,19726,19721,19757,19706,19616,19573,19466,19384,19278,19183,19123,18960,18831,18726,18616,18469,18294,18105,17907,17825,17619
