Net Demand 11/17/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,22223,22068,22068,22068,21998,21998,21998,21790,21790,21790,21634,21634,21634,21499,21499,21499,21371,21371,21371,21207,21207,21207,21125,21125,21125,21042,21042,21042,20863,20863,20863,20765,20765,20765,20767,20767,20767,20793,20793,20793,20833,20833,20833,20869,20869,20869,21038,21038,21038,21237,21237,21237,21482,21482,21482,21659,21659,21659,22139,22139,22139,22524,22524,22524,22908,22908,22908,23297,23297,23297,24056,24056,24056,24692,24692,24692,25083,25083,25083,25379,25379,25379,25827,25827,25827,25980,25980,25980,25865,25865,25865,25520,25520,25520,25247,25247,25247,24845,24845,24845,24501,24501,24501,24127,24127,24127,23910,23910,23910,23604,23604,23604,23207,23207,23207,22720,22720,22720,22380,22380,22380,22107,22107,22107,21776,21776,21776,21507,21507,21507,21345,21345,21345,21171,21171,21171,21081,21081,21081,20850,20850,20850,20801,20801,20801,20861,20861,20861,21026,21026,21026,21111,21111,21111,21287,21287,21287,21542,21542,21542,21800,21800,21800,22139,22139,22139,22466,22466,22466,22903,22903,22903,23068,23068,23068,23493,23493,23493,23955,23955,23955,24342,24342,24342,24711,24711,24711,25273,25273,25273,25530,25530,25530,25762,25762,25762,26141,26141,26141,26720,26720,26720,27236,27236,27236,27673,27673,27673,27744,27744,27744,27678,27678,27678,27516,27516,27516,27442,27442,27442,27296,27296,27296,27086,27086,27086,27027,27027,27027,26855,26855,26855,26718,26718,26718,26653,26653,26653,26488,26488,26488,26334,26334,26334,26194,26194,26194,25953,25953,25953,26009,26009,26009,25773,25773,25773,25510,25510,25510,25155,25155,25155,24778,24778,24778,24388,24388,24388,24021,24021,24021,23662,23662,23662,23328,23328,23328,23050,23050,23050,22835,22835,22835,22562,22562,22562,22333,22333,22333
Demand,22173,22256,22301,22246,22171,22083,22029,21982,21919,21883,21822,21765,21709,21632,21607,21547,21477,21427,21367,21346,21290,21281,21239,21178,21123,21097,21039,20969,20907,20877,20846,20813,20793,20777,20764,20774,20756,20809,20817,20830,20822,20827,20834,20831,20843,20865,20881,20902,20923,21061,21174,21214,21278,21323,21384,21486,21562,21633,21691,21737,21875,22133,22344,22473,22611,22724,22820,22985,23175,23283,23414,23590,23751,24164,24530,24717,24885,25010,25136,25324,25449,25507,25615,25701,25758,25928,26113,26170,26175,26129,26012,25919,25869,25686,25529,25384,25225,25352,25312,25206,25042,24912,24770,24712,24496,24400,24329,24191,24068,24059,23838,23676,23556,23375,23198,23067,22929,22830,22676,22654,22626,22350,22095,22026,22009,21925,21902,21859,21755,21643,21609,21549,21474,21485,21455,21426,21339,21372,21351,21358,21288,21300,21333,21195,21251,21131,21136,21061,21058,21106,21150,21221,21236,21273,21301,21383,21451,21534,21615,21702,21758,21838,21846,22101,22206,22370,22415,22574,22620,22510,22645,22802,22965,23102,23177,23302,23497,23585,23737,23876,23861,24002,24113,24230,24426,24648,24754,24876,24918,25033,25137,25229,25269,25252,25250,25376,25535,25735,25885,26040,26165,26352,26582,26724,26889,27053,27204,27345,27471,27557,27636,27666,27669,27675,27671,27667,27628,27554,27530,27481,27451,27431,27383,27353,27335,27304,27247,27252,27189,27137,27043,27009,26999,26944,26921,26873,26856,26793,26737,26675,26631,26598,26568,26501,26448,26399,26357,26319,26319,26235,26145,26110,26008,25971,25917,25825,25766,25670,25579,25500,25400,25308,25139,25072,24881,24759,24642,24534,24454,24337,24205,24094,23980,23860,23764,23619,23494,23424,23394,23276,23155,23049,22915,22800,22680,22570,22487,22408,22292
Day-ahead net forecast,21856,21003,21003,21003,21003,21003,21003,21003,21003,21003,21003,21003,21003,20217,20217,20217,20217,20217,20217,20217,20217,20217,20217,20217,20217,19811,19811,19811,19811,19811,19811,19811,19811,19811,19811,19811,19811,19723,19723,19723,19723,19723,19723,19723,19723,19723,19723,19723,19723,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,21492,21492,21492,21492,21492,21492,21492,21492,21492,21492,21492,21492,23018,23018,23018,23018,23018,23018,23018,23018,23018,23018,23018,23018,17974,17974,17974,17974,17974,17974,17974,17974,17974,17974,17974,17974,11687,11687,11687,11687,11687,11687,11687,11687,11687,11687,11687,11687,9275,9275,9275,9275,9275,9275,9275,9275,9275,9275,9275,9275,8619,8619,8619,8619,8619,8619,8619,8619,8619,8619,8619,8619,8559,8559,8559,8559,8559,8559,8559,8559,8559,8559,8559,8559,9008,9008,9008,9008,9008,9008,9008,9008,9008,9008,9008,9008,10254,10254,10254,10254,10254,10254,10254,10254,10254,10254,10254,10254,12695,12695,12695,12695,12695,12695,12695,12695,12695,12695,12695,12695,18347,18347,18347,18347,18347,18347,18347,18347,18347,18347,18347,18347,24401,24401,24401,24401,24401,24401,24401,24401,24401,24401,24401,24401,26734,26734,26734,26734,26734,26734,26734,26734,26734,26734,26734,26734,26413,26413,26413,26413,26413,26413,26413,26413,26413,26413,26413,26413,25651,25651,25651,25651,25651,25651,25651,25651,25651,25651,25651,25651,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,23475,23475,23475,23475,23475,23475,23475,23475,23475,23475,23475,23475,21851,21851,21851,21851,21851,21851,21851,21851,21851,21851,21851,21851,20417,20417,20417,20417,20417,20417,20417,20417,20417,20417,20417,20417
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net demand,20830,20812,20918,20850,20800,20672,20620,20538,20485,20414,20351,20273,20248,20143,20082,20031,19944,19857,19836,19768,19688,19634,19564,19483,19384,19326,19247,19158,19095,19018,18983,18959,18944,18913,18873,18858,18854,18853,18891,18935,18929,18927,18980,18996,18988,18998,19045,19055,19078,19123,19290,19325,19422,19476,19524,19611,19705,19774,19815,19847,19918,20148,20415,20542,20631,20761,20837,20963,21203,21305,21439,21638,21793,22114,22543,22771,22883,23001,23017,23051,23057,22871,22660,22401,22148,21854,21710,21280,20647,19979,19279,18595,18006,17441,16716,15938,15268,14782,14381,13766,13358,12856,12559,12294,11978,11726,11491,11231,11025,10975,10783,10512,10321,10163,10069,10031,9763,9702,9618,9531,9585,9506,9259,9149,9161,9009,8994,9095,9098,9038,8962,8994,8970,8961,8965,8883,8827,8884,8900,8999,9014,9002,9087,9005,8789,8759,8780,8705,8539,8630,8736,8807,8849,8970,9078,9293,9488,9745,9546,9748,9559,9553,9586,9740,10051,10368,10572,10814,11195,11385,11418,11699,12135,12663,12857,13013,13313,13584,13916,14385,14913,15325,15742,16327,17161,18080,18752,19460,20143,20716,21153,21748,22290,22577,22846,23261,23599,23960,24296,24580,24834,25123,25402,25642,25796,25899,26088,26241,26422,26526,26578,26662,26688,26714,26696,26751,26709,26646,26561,26563,26513,26513,26513,26453,26416,26298,26196,26130,26058,25947,25769,25678,25608,25599,25560,25512,25499,25455,25389,25343,25266,25238,25227,25153,25078,25009,24944,24973,24986,24910,24758,24665,24536,24434,24370,24268,24195,24076,23968,23852,23779,23670,23577,23493,23342,23178,23068,22908,22782,22701,22624,22490,22415,22277,22191,22099,21971,21936,21916,21892,21798,21726,21609,21504,21364,21282,21251,21206,21136
