Net Demand 11/26/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,20580,20419,20419,20419,20245,20245,20245,20069,20069,20069,19889,19889,19889,19720,19720,19720,19567,19567,19567,19497,19497,19497,19406,19406,19406,19282,19282,19282,19195,19195,19195,19155,19155,19155,19144,19144,19144,19111,19111,19111,19147,19147,19147,19147,19147,19147,19188,19188,19188,19211,19211,19211,19175,19175,19175,19263,19263,19263,19440,19440,19440,19672,19672,19672,19840,19840,19840,19982,19982,19982,20311,20311,20311,20561,20561,20561,20608,20608,20608,20599,20599,20599,20730,20730,20730,20661,20661,20661,20470,20470,20470,20327,20327,20327,20296,20296,20296,20040,20040,20040,19827,19827,19827,19594,19594,19594,19267,19267,19267,18989,18989,18989,18701,18701,18701,18402,18402,18402,18006,18006,18006,17874,17874,17874,17557,17557,17557,17294,17294,17294,17126,17126,17126,16871,16871,16871,16827,16827,16827,16687,16687,16687,16656,16656,16656,16664,16664,16664,16733,16733,16733,16712,16712,16712,16836,16836,16836,16922,16922,16922,17180,17180,17180,17477,17477,17477,17737,17737,17737,18104,18104,18104,18501,18501,18501,18931,18931,18931,19330,19330,19330,19907,19907,19907,20534,20534,20534,20977,20977,20977,21329,21329,21329,21761,21761,21761,22385,22385,22385,23110,23110,23110,23775,23775,23775,24341,24341,24341,24468,24468,24468,24475,24475,24475,24415,24415,24415,24338,24338,24338,24239,24239,24239,24213,24213,24213,24069,24069,24069,23954,23954,23954,23887,23887,23887,23751,23751,23751,23711,23711,23711,23689,23689,23689,23623,23623,23623,23520,23520,23520,23503,23503,23503,23465,23465,23465,23295,23295,23295,23091,23091,23091,22849,22849,22849,22632,22632,22632,22328,22328,22328,22030,22030,22030,21704,21704,21704,21445,21445,21445,21202,21202,21202,20972,20972,20972,20750,20750,20750
Demand,20492,20538,20534,20486,20426,20365,20284,20225,20171,20109,20038,19955,19907,19850,19854,19815,19762,19729,19670,19635,19562,19517,19468,19409,19359,19361,19383,19347,19318,19302,19282,19251,19232,19223,19209,19177,19143,19154,19171,19140,19111,19087,19075,19072,19056,19079,19058,19049,19017,19054,19101,19087,19090,19112,19127,19163,19213,19206,19238,19259,19349,19494,19593,19638,19700,19734,19772,19826,19869,19922,19972,20046,20128,20318,20439,20489,20525,20565,20578,20633,20661,20661,20655,20592,20592,20646,20669,20633,20606,20583,20503,20437,20408,20379,20306,20216,20310,20208,20268,20168,20089,20058,19959,19809,19659,19550,19422,19295,19234,19150,19141,19019,18943,18782,18627,18509,18331,18327,18312,18196,18057,17972,17895,17812,17725,17634,17521,17478,17423,17312,17188,17054,16979,16991,16970,16868,16814,16777,16764,16708,16677,16616,16605,16622,16670,16653,16671,16643,16613,16623,16637,16672,16695,16692,16703,16738,16747,16808,16895,16962,17019,17094,17185,17281,17394,17450,17541,17668,17749,17807,17873,17967,18139,18256,18395,18530,18665,18945,19105,19275,19431,19457,19598,19715,19891,20064,20197,20328,20532,20707,20891,21015,21140,21282,21441,21644,21821,22000,22164,22340,22551,22718,22963,23189,23406,23992,23882,24065,24186,24241,24295,24368,24403,24394,24418,24423,24392,24366,24333,24318,24340,24342,24315,24276,24221,24180,24164,24131,24089,24078,24062,24016,24015,23935,23929,23928,23935,23916,23926,23894,23869,23834,23827,23800,23788,23784,23736,23705,23670,23607,23582,23550,23488,23495,23475,23425,23391,23352,23318,23249,23186,23096,23038,22972,22872,22767,22665,22565,22480,22396,22303,22197,22105,21990,21910,21815,21709,21626,21556,21466,21390,21303,21185,21090,20986,20901,20805,20716,20613
Day-ahead net forecast,19695,18032,18032,18032,18032,18032,18032,18032,18032,18032,18032,18032,18032,16978,16978,16978,16978,16978,16978,16978,16978,16978,16978,16978,16978,16483,16483,16483,16483,16483,16483,16483,16483,16483,16483,16483,16483,16197,16197,16197,16197,16197,16197,16197,16197,16197,16197,16197,16197,16244,16244,16244,16244,16244,16244,16244,16244,16244,16244,16244,16244,16801,16801,16801,16801,16801,16801,16801,16801,16801,16801,16801,16801,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300,17300,12706,12706,12706,12706,12706,12706,12706,12706,12706,12706,12706,12706,6879,6879,6879,6879,6879,6879,6879,6879,6879,6879,6879,6879,4448,4448,4448,4448,4448,4448,4448,4448,4448,4448,4448,4448,3617,3617,3617,3617,3617,3617,3617,3617,3617,3617,3617,3617,3321,3321,3321,3321,3321,3321,3321,3321,3321,3321,3321,3321,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,12595,12595,12595,12595,12595,12595,12595,12595,12595,12595,12595,12595,19237,19237,19237,19237,19237,19237,19237,19237,19237,19237,19237,19237,21823,21823,21823,21823,21823,21823,21823,21823,21823,21823,21823,21823,21904,21904,21904,21904,21904,21904,21904,21904,21904,21904,21904,21904,21513,21513,21513,21513,21513,21513,21513,21513,21513,21513,21513,21513,21074,21074,21074,21074,21074,21074,21074,21074,21074,21074,21074,21074,20630,20630,20630,20630,20630,20630,20630,20630,20630,20630,20630,20630,19864,19864,19864,19864,19864,19864,19864,19864,19864,19864,19864,19864,18961,18961,18961,18961,18961,18961,18961,18961,18961,18961,18961,18961
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net demand,19590,19565,19638,19579,19563,19474,19366,19249,19217,19179,19136,19051,18998,18939,18916,18887,18804,18751,18695,18635,18532,18458,18422,18391,18316,18310,18332,18288,18263,18264,18236,18211,18199,18189,18172,18208,18162,18168,18137,18020,17844,17734,17640,17526,17420,17402,17400,17359,17282,17311,17382,17402,17451,17533,17595,17610,17682,17725,17823,17823,17876,18028,18176,18283,18375,18417,18461,18509,18549,18593,18600,18635,18617,18708,18808,18745,18682,18611,18518,18397,18254,18040,17760,17389,17033,16606,16220,15708,15166,14590,13950,13355,12808,12221,11780,11828,11271,10482,9455,8870,8523,8154,7674,7327,7173,6963,6859,6608,6487,6179,6106,6108,6183,6082,6004,5661,5137,4910,4909,4859,4635,4471,4657,4327,4251,4142,4162,4074,3825,3550,3397,3238,3249,3167,3170,3063,2825,2921,2945,2976,2962,2820,2653,2578,2499,2419,2443,2527,2644,2664,2738,2836,2866,2770,2686,2784,2882,2862,3075,3303,3572,3653,3781,3889,3966,4060,4053,3966,4090,4348,4654,4857,5084,5418,5579,5882,6347,6737,7355,7912,8398,8700,9134,9810,10527,11259,11969,12641,13401,14149,14868,15491,16120,16682,17227,17802,18305,18714,19080,19372,19655,19909,20134,20394,20583,21026,21364,21358,21558,21671,21785,21879,21959,22032,22087,22197,22190,22214,22238,22224,22258,22288,22302,22294,22286,22233,22264,22242,22235,22264,22301,22260,22249,22209,22219,22264,22350,22376,22411,22424,22413,22406,22418,22402,22428,22430,22450,22398,22377,22326,22298,22259,22212,22174,22181,22145,22133,22117,22075,21990,21885,21749,21588,21474,21333,21223,21139,21038,20935,20887,20812,20731,20615,20508,20436,20363,20295,20212,20172,20112,20047,19950,19850,19744,19635,19528,19397,19315,19231
