Net Demand 11/16/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,22180,22043,22043,22043,21902,21902,21902,21627,21627,21627,21588,21588,21588,21469,21469,21469,21297,21297,21297,21139,21139,21139,21076,21076,21076,20990,20990,20990,20800,20800,20800,20793,20793,20793,20816,20816,20816,20796,20796,20796,20812,20812,20812,20870,20870,20870,21065,21065,21065,21262,21262,21262,21486,21486,21486,21683,21683,21683,22215,22215,22215,22725,22725,22725,23118,23118,23118,23532,23532,23532,24315,24315,24315,24876,24876,24876,25304,25304,25304,25548,25548,25548,25974,25974,25974,26152,26152,26152,25906,25906,25906,25589,25589,25589,25267,25267,25267,24904,24904,24904,24382,24382,24382,23904,23904,23904,23481,23481,23481,23125,23125,23125,22703,22703,22703,22197,22197,22197,21820,21820,21820,21552,21552,21552,21312,21312,21312,21090,21090,21090,20910,20910,20910,20808,20808,20808,20722,20722,20722,20560,20560,20560,20543,20543,20543,20559,20559,20559,20535,20535,20535,20690,20690,20690,20759,20759,20759,20957,20957,20957,21189,21189,21189,21440,21440,21440,21674,21674,21674,21746,21746,21746,22085,22085,22085,22524,22524,22524,23030,23030,23030,23496,23496,23496,23848,23848,23848,24339,24339,24339,24669,24669,24669,25215,25215,25215,25908,25908,25908,26811,26811,26811,27457,27457,27457,27891,27891,27891,27812,27812,27812,27916,27916,27916,27648,27648,27648,27611,27611,27611,27604,27604,27604,27465,27465,27465,27296,27296,27296,27208,27208,27208,26994,26994,26994,26925,26925,26925,26722,26722,26722,26535,26535,26535,26337,26337,26337,26194,26194,26194,25888,25888,25888,25711,25711,25711,25571,25571,25571,25244,25244,25244,24843,24843,24843,24518,24518,24518,24128,24128,24128,23745,23745,23745,23341,23341,23341,23052,23052,23052,22766,22766,22766,22463,22463,22463,22223,22223,22223
Demand,22271,22212,22125,22109,22071,22003,21934,21943,21963,21899,21830,21770,21691,21642,21630,21574,21502,21445,21394,21338,21317,21256,21184,21172,21105,21092,21053,21034,20987,20957,20924,20918,20906,20874,20849,20854,20825,20847,20879,20896,20912,20900,20910,20918,20905,20927,20949,20978,21040,21147,21257,21324,21362,21445,21482,21603,21692,21765,21848,21936,22034,22294,22563,22682,22823,22946,23023,23216,23382,23479,23610,23784,23950,24367,24713,24931,25082,25200,25338,25513,25614,25704,25799,25872,25925,26046,26152,26182,26160,26091,25980,25953,25816,25697,25516,25421,25271,25228,25111,25003,24872,24698,24556,24354,24192,24050,23937,23778,23595,23498,23378,23230,23063,22866,22664,22566,22406,22406,22406,22083,21951,21897,21795,21684,21571,21504,21388,21332,21240,21199,21097,21049,20981,20927,20847,20780,20726,20716,20656,20678,20608,20636,20624,20598,20543,20568,20584,20583,20551,20587,20556,20561,20582,20604,20685,20745,20767,20822,20922,20978,21042,21126,21172,21244,21338,21446,21253,21368,21496,21600,21693,21832,21963,22109,22214,22357,22505,22635,22815,22945,23002,23061,23196,23328,23505,23672,23808,23941,24101,24318,24482,24690,24843,25042,25262,25453,25593,25806,25975,26155,26288,26455,26624,26852,26999,27115,27310,27488,27622,27695,27720,27773,27780,27817,27842,27852,27829,27824,27622,27649,27663,27647,27637,27588,27549,27520,27489,27479,27439,27322,27262,27244,27203,27163,27138,27100,27084,27030,26980,26946,26850,26747,26683,26614,26603,26519,26432,26376,26311,26244,26171,26115,26030,26083,26062,25977,25915,25865,25758,25664,25523,25423,25337,25202,25049,24874,24763,24606,24511,24386,24254,24112,23956,23832,23709,23601,23482,23369,23251,23134,23052,22913,22804,22686,22610,22459,22371,22272,22173
Day-ahead net forecast,21342,20143,20143,20143,20143,20143,20143,20143,20143,20143,20143,20143,20143,19729,19729,19729,19729,19729,19729,19729,19729,19729,19729,19729,19729,19472,19472,19472,19472,19472,19472,19472,19472,19472,19472,19472,19472,19441,19441,19441,19441,19441,19441,19441,19441,19441,19441,19441,19441,20076,20076,20076,20076,20076,20076,20076,20076,20076,20076,20076,20076,21525,21525,21525,21525,21525,21525,21525,21525,21525,21525,21525,21525,23009,23009,23009,23009,23009,23009,23009,23009,23009,23009,23009,23009,17756,17756,17756,17756,17756,17756,17756,17756,17756,17756,17756,17756,11225,11225,11225,11225,11225,11225,11225,11225,11225,11225,11225,11225,8559,8559,8559,8559,8559,8559,8559,8559,8559,8559,8559,8559,7484,7484,7484,7484,7484,7484,7484,7484,7484,7484,7484,7484,7145,7145,7145,7145,7145,7145,7145,7145,7145,7145,7145,7145,7166,7166,7166,7166,7166,7166,7166,7166,7166,7166,7166,7166,7996,7996,7996,7996,7996,7996,7996,7996,7996,7996,7996,7996,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,10215,16936,16936,16936,16936,16936,16936,16936,16936,16936,16936,16936,16936,24602,24602,24602,24602,24602,24602,24602,24602,24602,24602,24602,24602,27401,27401,27401,27401,27401,27401,27401,27401,27401,27401,27401,27401,27350,27350,27350,27350,27350,27350,27350,27350,27350,27350,27350,27350,26658,26658,26658,26658,26658,26658,26658,26658,26658,26658,26658,26658,25772,25772,25772,25772,25772,25772,25772,25772,25772,25772,25772,25772,24736,24736,24736,24736,24736,24736,24736,24736,24736,24736,24736,24736,23204,23204,23204,23204,23204,23204,23204,23204,23204,23204,23204,23204,21856,21856,21856,21856,21856,21856,21856,21856,21856,21856,21856,21856
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net demand,19867,19794,19684,19704,19676,19623,19554,19527,19569,19538,19461,19401,19335,19303,19296,19308,19288,19256,19208,19243,19237,19254,19284,19302,19277,19274,19305,19315,19298,19259,19228,19155,19167,19131,19108,19095,19046,19063,19103,19123,19159,19177,19209,19209,19222,19255,19268,19315,19377,19465,19563,19638,19656,19690,19746,19847,19931,20020,20070,20191,20260,20406,20719,20856,20988,21152,21237,21332,21531,21605,21735,21905,22101,22402,22834,23050,23234,23313,23349,23402,23386,23228,23062,22802,22436,22058,21688,21201,20655,20012,19372,18691,18069,17319,16639,15867,15205,14534,14021,13466,12976,12532,12099,11705,11317,11055,10860,10600,10305,10099,9998,9811,9621,9433,9171,9033,8792,8617,8510,8402,8258,8239,8216,8139,8094,8054,8038,7997,7951,7893,7800,7767,7702,7688,7644,7588,7522,7577,7488,7427,7422,7344,7338,7454,7571,7378,7280,7273,7247,7390,7513,7510,7492,7659,7721,7782,7814,7848,7696,7927,7952,8357,8457,8459,8486,8660,8778,8720,8937,8815,9048,9326,9481,9803,10074,9984,10194,10559,10951,11421,11908,12258,12817,13492,14206,14980,15742,16523,17275,18117,18926,19699,20471,21181,21952,22647,23293,23803,24211,24628,24876,25189,25409,25668,25865,26036,26160,26387,26521,26614,26639,26665,26686,26690,26701,26701,26660,26653,26545,26457,26512,26508,26463,26450,26402,26384,26328,26321,26296,26239,26156,26126,26119,26043,26030,25960,25933,25894,25842,25784,25720,25610,25518,25467,25425,25361,25280,25236,25149,25060,24970,24899,24833,24850,24885,24811,24736,24678,24637,24529,24372,24243,24106,24025,23859,23667,23502,23392,23255,23125,23011,22877,22742,22605,22459,22327,22197,22085,21982,21858,21741,21629,21502,21381,21281,21146,21010,20923,20830
