Net Demand 11/15/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,22351,22185,22185,22185,22031,22031,22031,21844,21844,21844,21684,21684,21684,21542,21542,21542,21296,21296,21296,21205,21205,21205,21099,21099,21099,21041,21041,21041,20924,20924,20924,20934,20934,20934,20935,20935,20935,20975,20975,20975,20993,20993,20993,21001,21001,21001,21132,21132,21132,21358,21358,21358,21549,21549,21549,21731,21731,21731,22178,22178,22178,22699,22699,22699,23162,23162,23162,23520,23520,23520,24293,24293,24293,24895,24895,24895,25270,25270,25270,25535,25535,25535,25906,25906,25906,26108,26108,26108,25905,25905,25905,25526,25526,25526,25093,25093,25093,24492,24492,24492,23913,23913,23913,23508,23508,23508,23140,23140,23140,22682,22682,22682,22229,22229,22229,21780,21780,21780,21454,21454,21454,21137,21137,21137,20830,20830,20830,20471,20471,20471,20333,20333,20333,20179,20179,20179,20158,20158,20158,20090,20090,20090,20091,20091,20091,20097,20097,20097,20187,20187,20187,20294,20294,20294,20392,20392,20392,20526,20526,20526,20709,20709,20709,20889,20889,20889,21184,21184,21184,21518,21518,21518,21828,21828,21828,22284,22284,22284,22601,22601,22601,23059,23059,23059,23606,23606,23606,24183,24183,24183,24581,24581,24581,25204,25204,25204,25849,25849,25849,26659,26659,26659,27498,27498,27498,27799,27799,27799,27951,27951,27951,28025,28025,28025,27940,27940,27940,27868,27868,27868,27736,27736,27736,27621,27621,27621,27492,27492,27492,27365,27365,27365,27227,27227,27227,27037,27037,27037,26895,26895,26895,26790,26790,26790,26592,26592,26592,26368,26368,26368,26190,26190,26190,25991,25991,25991,25701,25701,25701,25420,25420,25420,25011,25011,25011,24616,24616,24616,24233,24233,24233,23845,23845,23845,23446,23446,23446,23114,23114,23114,22869,22869,22869,22625,22625,22625,22180,22180,22180
Demand,22207,22283,22320,22259,22204,22123,22042,21976,21912,21856,21786,21728,21681,21650,21668,21611,21547,21508,21460,21406,21362,21305,21244,21234,21197,21159,21172,21123,21122,21105,21068,21048,20999,21015,21014,21004,20989,21003,20974,20995,20995,20996,21013,21031,21037,21038,21060,21068,21092,21185,21308,21363,21435,21471,21527,21601,21688,21760,21847,21946,22064,22288,22556,22686,22813,22946,23036,23212,23356,23466,23623,23754,23952,24373,24712,24889,25064,25174,25276,25456,25540,25652,25756,25815,25891,26008,26146,26167,26108,26091,25948,25841,25667,25527,25317,25091,24931,24788,24773,24569,24389,24278,24109,23948,23851,23698,23492,23326,23170,23040,22880,22722,22608,22423,22325,22160,22051,21927,21804,21665,21564,21459,21319,21228,20999,20865,20758,20718,20746,20674,20429,20411,20450,20385,20383,20324,20265,20244,20215,20172,20187,20144,20144,20130,20111,20134,20180,20179,20198,20212,20175,20206,20250,20257,20281,20321,20343,20331,20343,20370,20493,20546,20646,20712,20802,20959,20989,21123,21253,21349,21413,21524,21681,21834,21903,21938,22107,22262,22358,22536,22684,22810,22970,23123,23332,23473,23649,23783,23956,24153,24343,24556,24729,24835,25032,25238,25455,25645,25829,26035,26234,26435,26564,26706,26865,27115,27476,27675,27829,27924,27985,28057,28086,28114,28145,28112,28090,28018,27932,27922,27887,27855,27875,27842,27769,27773,27742,27738,27690,27581,27556,27486,27485,27411,27362,27340,27317,27261,27185,27142,27094,27058,27006,26957,26910,26849,26790,26721,26636,26570,26505,26423,26296,26282,26224,26167,26091,26014,25931,25798,25696,25575,25445,25336,25184,25026,24902,24756,24635,24508,24404,24244,24129,23970,23830,23715,23615,23499,23407,23265,23135,22972,22766,22593,22498,22460,22446,22351,22269
Day-ahead net forecast,22176,21517,21517,21517,21517,21517,21517,21517,21517,21517,21517,21517,21517,20802,20802,20802,20802,20802,20802,20802,20802,20802,20802,20802,20802,20363,20363,20363,20363,20363,20363,20363,20363,20363,20363,20363,20363,20282,20282,20282,20282,20282,20282,20282,20282,20282,20282,20282,20282,20634,20634,20634,20634,20634,20634,20634,20634,20634,20634,20634,20634,22035,22035,22035,22035,22035,22035,22035,22035,22035,22035,22035,22035,23509,23509,23509,23509,23509,23509,23509,23509,23509,23509,23509,23509,19097,19097,19097,19097,19097,19097,19097,19097,19097,19097,19097,19097,13392,13392,13392,13392,13392,13392,13392,13392,13392,13392,13392,13392,10630,10630,10630,10630,10630,10630,10630,10630,10630,10630,10630,10630,9078,9078,9078,9078,9078,9078,9078,9078,9078,9078,9078,9078,8429,8429,8429,8429,8429,8429,8429,8429,8429,8429,8429,8429,8359,8359,8359,8359,8359,8359,8359,8359,8359,8359,8359,8359,8798,8798,8798,8798,8798,8798,8798,8798,8798,8798,8798,8798,10797,10797,10797,10797,10797,10797,10797,10797,10797,10797,10797,10797,17019,17019,17019,17019,17019,17019,17019,17019,17019,17019,17019,17019,24453,24453,24453,24453,24453,24453,24453,24453,24453,24453,24453,24453,27187,27187,27187,27187,27187,27187,27187,27187,27187,27187,27187,27187,27045,27045,27045,27045,27045,27045,27045,27045,27045,27045,27045,27045,26353,26353,26353,26353,26353,26353,26353,26353,26353,26353,26353,26353,25450,25450,25450,25450,25450,25450,25450,25450,25450,25450,25450,25450,24305,24305,24305,24305,24305,24305,24305,24305,24305,24305,24305,24305,22780,22780,22780,22780,22780,22780,22780,22780,22780,22780,22780,22780,21342,21342,21342,21342,21342,21342,21342,21342,21342,21342,21342,21342
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net demand,21815,21806,21933,21888,21813,21741,21656,21571,21493,21436,21365,21288,21242,21195,21197,21161,21100,21024,20964,20920,20835,20790,20734,20694,20671,20631,20645,20629,20607,20616,20579,20539,20487,20439,20428,20366,20305,20298,20241,20278,20278,20278,20269,20277,20274,20257,20234,20241,20275,20337,20465,20532,20584,20627,20650,20710,20773,20808,20885,20947,21016,21154,21408,21565,21661,21785,21907,22019,22217,22323,22461,22654,22826,23151,23577,23788,23884,24008,23985,24016,23966,23773,23535,23239,22851,22404,22144,21685,21189,20548,19971,19371,18577,17891,17133,16323,15608,14887,14315,13854,13302,13036,12618,12270,11950,11641,11293,10983,10713,10520,10324,10079,9975,9754,9544,9308,9158,9014,8839,8672,8523,8361,8254,8099,7989,7725,7668,7595,7630,7546,7359,7253,7375,7276,7239,7165,7093,7050,7028,6968,6914,6937,6968,6958,7080,7043,7062,7033,7047,7025,6942,6978,7054,7080,7070,7230,7192,7252,7193,7078,7042,7301,7414,7543,7882,8134,8561,8937,9252,9397,9531,9476,9622,9736,9868,9890,9794,9998,10468,10813,11102,11451,11878,12468,13119,13880,14637,15352,16070,16919,17705,18507,19303,19980,20630,21290,21908,22489,22952,23345,23729,24053,24265,24499,24682,24893,25239,25523,25741,25836,25912,26054,26077,26109,26163,26166,26127,26089,25962,25950,25921,25917,25934,25971,25953,25952,25914,25925,25925,25854,25784,25709,25670,25610,25546,25504,25479,25445,25386,25333,25310,25256,25212,25147,25096,25014,24878,24798,24681,24572,24476,24398,24317,24269,24249,24144,24053,23905,23801,23642,23465,23322,23112,22968,22762,22586,22457,22345,22243,22138,22040,21925,21774,21658,21503,21405,21322,21160,21065,20948,20824,20611,20523,20247,20209,20093,20094,19981,19867
