Net Demand 11/02/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21846,21634,21634,21634,21402,21402,21402,21180,21180,21180,20953,20953,20953,20731,20731,20731,20546,20546,20546,20359,20359,20359,20208,20208,20208,20184,20184,20184,20104,20104,20104,20026,20026,20026,19961,19961,19961,19919,19919,19919,19905,19905,19905,19899,19899,19899,20071,20071,20071,20206,20206,20206,20309,20309,20309,20360,20360,20360,20701,20701,20701,21099,21099,21099,21409,21409,21409,21671,21671,21671,22370,22370,22370,23021,23021,23021,23556,23556,23556,23958,23958,23958,24602,24602,24602,24969,24969,24969,24974,24974,24974,25071,25071,25071,25271,25271,25271,25168,25168,25168,25059,25059,25059,25067,25067,25067,24876,24876,24876,24732,24732,24732,24389,24389,24389,23963,23963,23963,23711,23711,23711,23348,23348,23348,23133,23133,23133,22921,22921,22921,22485,22485,22485,22250,22250,22250,22372,22372,22372,22289,22289,22289,22037,22037,22037,21877,21877,21877,21743,21743,21743,21600,21600,21600,21179,21179,21179,20998,20998,20998,20947,20947,20947,21116,21116,21116,21196,21196,21196,21309,21309,21309,21471,21471,21471,21619,21619,21619,21675,21675,21675,21946,21946,21946,22230,22230,22230,22487,22487,22487,22779,22779,22779,23145,23145,23145,23531,23531,23531,23985,23985,23985,24377,24377,24377,24966,24966,24966,25440,25440,25440,25834,25834,25834,26334,26334,26334,26809,26809,26809,27215,27215,27215,27265,27265,27265,27204,27204,27204,27102,27102,27102,26974,26974,26974,26744,26744,26744,26531,26531,26531,26350,26350,26350,26188,26188,26188,25945,25945,25945,25775,25775,25775,25527,25527,25527,25285,25285,25285,24987,24987,24987,24664,24664,24664,24256,24256,24256,23925,23925,23925,23541,23541,23541,23157,23157,23157,22842,22842,22842,22533,22533,22533,22246,22246,22246,21981,21981,21981
Demand,21754,21842,21863,21761,21719,21578,21510,21397,21273,21217,21130,21028,20961,20863,20872,20833,20725,20691,20661,20554,20483,20456,20426,20409,20353,20365,20332,20264,20266,20229,20171,20137,20087,20054,20034,20007,19938,19949,19960,19964,19966,19953,19960,19982,19991,19994,19995,19988,20000,19998,20037,20047,20101,20106,20127,20201,20266,20304,20348,20416,20505,20693,20830,20965,21071,21145,21259,21392,21555,21654,21764,21874,22015,22404,22741,22920,23058,23204,23359,23533,23711,23910,24045,24218,24400,24621,24787,24937,25029,25134,25170,25214,25249,25181,25240,25212,25176,25267,25304,25314,25255,25273,25250,25148,25157,25107,25067,24977,24919,24837,24728,24639,24526,24320,24202,24169,24024,23959,23798,23693,23527,23461,23544,23571,23338,23225,23180,23076,22951,22816,22769,22770,22693,22662,22584,22566,22484,22481,22450,22417,22255,22167,22153,22066,22099,21947,21909,21869,21872,21433,21505,21429,21467,21408,21270,21228,21153,21085,21091,21111,21074,21141,21217,21195,21194,21188,21249,21215,21294,21321,21304,21386,21420,21469,21507,21561,21520,21559,21577,21664,21719,21846,21781,21982,21917,22134,22132,22189,22364,22407,22610,22789,22808,22808,22817,22921,23044,23190,23361,23533,23747,23874,23996,24192,24365,24402,24533,24778,24946,25091,25267,25487,25573,25760,25950,26161,26262,26399,26564,26778,26949,27103,27153,27230,27223,27240,27241,27239,27175,27161,27090,27069,26967,26958,26890,26860,26791,26791,26732,26699,26727,26589,26615,26482,26374,26315,26281,26196,26184,26060,25933,25880,25776,25792,25734,25682,25612,25543,25508,25416,25309,25180,25085,24984,24838,24673,24537,24416,24320,24191,24038,23916,23766,23631,23498,23401,23255,23139,22986,22890,22750,22691,22563,22434,22294,22170,22061,21959,21833
Day-ahead net forecast,18412,17506,17506,17506,17506,17506,17506,17506,17506,17506,17506,17506,17506,16507,16507,16507,16507,16507,16507,16507,16507,16507,16507,16507,16507,16205,16205,16205,16205,16205,16205,16205,16205,16205,16205,16205,16205,16242,16242,16242,16242,16242,16242,16242,16242,16242,16242,16242,16242,16739,16739,16739,16739,16739,16739,16739,16739,16739,16739,16739,16739,17997,17997,17997,17997,17997,17997,17997,17997,17997,17997,17997,17997,20052,20052,20052,20052,20052,20052,20052,20052,20052,20052,20052,20052,20775,20775,20775,20775,20775,20775,20775,20775,20775,20775,20775,20775,16217,16217,16217,16217,16217,16217,16217,16217,16217,16217,16217,16217,12193,12193,12193,12193,12193,12193,12193,12193,12193,12193,12193,12193,10331,10331,10331,10331,10331,10331,10331,10331,10331,10331,10331,10331,9335,9335,9335,9335,9335,9335,9335,9335,9335,9335,9335,9335,8738,8738,8738,8738,8738,8738,8738,8738,8738,8738,8738,8738,8453,8453,8453,8453,8453,8453,8453,8453,8453,8453,8453,8453,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,9546,9546,9546,9546,9546,9546,9546,9546,9546,9546,9546,9546,13698,13698,13698,13698,13698,13698,13698,13698,13698,13698,13698,13698,20104,20104,20104,20104,20104,20104,20104,20104,20104,20104,20104,20104,22645,22645,22645,22645,22645,22645,22645,22645,22645,22645,22645,22645,22546,22546,22546,22546,22546,22546,22546,22546,22546,22546,22546,22546,21578,21578,21578,21578,21578,21578,21578,21578,21578,21578,21578,21578,20583,20583,20583,20583,20583,20583,20583,20583,20583,20583,20583,20583,19224,19224,19224,19224,19224,19224,19224,19224,19224,19224,19224,19224,17961,17961,17961,17961,17961,17961,17961,17961,17961,17961,17961,17961
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net demand,17619,17466,17498,17285,17138,16987,16854,16656,16472,16359,16245,16153,16097,15996,16038,16059,15998,15965,15964,15954,15890,15895,15888,15915,15940,15928,15981,15984,15944,15926,15847,15766,15684,15611,15563,15567,15530,15472,15435,15471,15463,15486,15529,15559,15597,15556,15486,15499,15499,15477,15554,15610,15579,15651,15671,15686,15769,15788,15862,15936,16000,16208,16449,16579,16706,16857,16982,17144,17345,17433,17575,17650,17727,17917,18257,18425,18515,18598,18744,18907,19106,19339,19478,19669,19825,20078,20274,20372,20438,20443,20378,20257,20047,19758,19559,19307,18964,18666,18308,18026,17703,17201,16731,16311,15924,15403,14686,14571,14161,13749,13275,13058,12830,12395,11883,11310,10950,10594,10128,9945,9607,9371,9039,9076,8771,8559,8366,8032,8030,7704,7652,7868,7658,7774,8011,8163,8119,7947,7812,7819,7876,7494,7497,7548,7503,7830,7549,7688,7865,7526,7820,7342,7577,7671,7761,7739,7846,7978,7756,7829,7978,7999,7919,7947,8179,7923,7843,8083,8119,8379,8436,8576,8744,8777,8870,8713,8698,8722,8609,8978,9204,9179,8986,9065,9149,9646,9768,9764,10151,10216,10201,10722,10892,11010,11138,12065,12867,13583,14330,14897,15577,16037,16454,16828,17286,17903,18548,19284,19731,20261,20801,21355,21834,22108,22472,22827,23007,23066,23187,23366,23432,23576,23633,23629,23658,23657,23663,23714,23713,23679,23680,23628,23527,23426,23389,23352,23350,23311,23325,23275,23209,23264,23144,23178,23057,22980,22910,22919,22847,22850,22697,22654,22550,22504,22540,22445,22421,22359,22297,22326,22172,22095,22028,21953,21849,21652,21525,21387,21241,21150,20984,20839,20755,20625,20519,20398,20255,20144,20034,19940,19837,19764,19673,19488,19318,19137,18956,18850,18722
