County,Sector,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,Total Usage
SIERRA,Total,22.252775,21.994719,21.104602,21.909065,25.944995,24.136873,23.685875,23.540105,23.58087,23.403158,23.703723,24.429464,25.103294,28.233793,23.861214,25.123247,24.618691,34.984964,32.167858,35.542103,22.743712,22.934518,23.083401,22.296488,22.388548,22.570062,22.06575,17.888245,15.842939,23.368664,23.887409,748.391124
NAPA,Non-Residential,636.355557,677.470813,672.27213,688.560919,694.762582,690.008403,682.117369,679.212409,664.441239,656.83157,644.083013,643.099773,659.781045,632.593767,605.397525,578.653143,574.046755,562.83205,559.304066,541.224467,589.351989,576.716506,527.441223,515.717545,480.144727,401.26109,384.693533,387.326098,387.659338,355.518889,341.002758,17689.88229
NAPA,Residential,396.38355,369.552014,361.626809,371.742029,362.424438,363.241031,365.212142,375.21946,374.621675,374.953405,376.585675,381.687947,379.155228,377.680812,386.681272,370.321089,363.291359,354.831495,340.497327,325.80313,349.180496,345.187438,334.236827,324.287125,316.360516,305.372795,296.203358,305.106743,297.002241,291.156241,290.6178,10826.22347
NAPA,Total,1032.739108,1047.022828,1033.898938,1060.302948,1057.18702,1053.249434,1047.329511,1054.431868,1039.062914,1031.784974,1020.668688,1024.78772,1038.936273,1010.274579,992.078798,948.974232,937.338114,917.663545,899.801393,867.027597,938.532484,921.903943,861.67805,840.00467,796.505243,706.633885,680.896891,692.432841,684.661579,646.675129,631.620557,28516.10575
GLENN,Non-Residential,325.776814,302.124603,316.18798,298.064085,277.666833,295.764663,291.807815,258.447763,213.798503,203.242395,206.28096,211.15457,237.648221,260.608429,288.622655,271.771993,329.802293,271.842726,401.663116,305.576004,275.703534,296.276346,261.330357,287.313489,257.77403,285.279977,225.332979,219.644395,221.887668,220.84125,325.95185,8445.188296
GLENN,Residential,105.432658,95.902808,92.74118,96.281376,91.302148,90.673721,91.71668,92.964064,93.768569,91.839321,91.090555,93.537952,92.093315,90.996234,91.683598,89.318253,87.458349,85.006144,83.135931,79.871659,85.039992,84.031922,82.05433,80.814743,81.231995,77.634517,77.620997,76.907618,78.46481,79.317239,78.498601,2708.431279
GLENN,Total,431.209472,398.027411,408.92916,394.345461,368.968981,386.438383,383.524495,351.411827,307.567072,295.081716,297.371515,304.692521,329.741537,351.604663,380.306253,361.090246,417.260643,356.848869,484.799047,385.447663,360.743525,380.308267,343.384687,368.128232,339.006026,362.914494,302.953975,296.552012,300.352478,300.158489,404.450451,11153.61957
NEVADA,Non-Residential,248.938171,263.514027,268.8412,271.333028,227.045166,221.387998,226.756272,233.643302,235.000434,232.541357,230.051616,235.643679,245.983698,240.963349,237.618787,229.142534,226.658318,216.463561,232.930132,217.900623,210.448691,199.588985,190.428399,187.668006,183.238258,180.879104,184.183506,174.501724,169.326351,177.976796,168.09568,6768.692752
NEVADA,Residential,484.04636,448.712424,447.782612,472.108643,434.134567,406.694377,408.275711,423.688295,426.579218,426.606495,425.348695,424.463472,421.368055,414.097412,411.72573,397.657215,398.322759,378.625197,379.120733,363.384644,378.257866,371.661337,367.313721,342.28594,339.726176,327.047146,328.218954,323.128959,313.971178,322.435572,313.879857,12120.66932
NEVADA,Total,732.984531,712.226451,716.623811,743.441671,661.179733,628.082375,635.031983,657.331597,661.579651,659.147852,655.400311,660.107151,667.351753,655.06076,649.344516,626.799749,624.981077,595.088758,612.050865,581.285267,588.706557,571.250322,557.74212,529.953946,522.964434,507.926251,512.40246,497.630683,483.297529,500.412367,481.975536,18889.36207
MARIN,Non-Residential,629.741359,696.402008,681.381487,725.914614,691.648947,703.267728,703.538656,712.776855,702.619012,707.009687,723.043797,752.950619,760.878636,742.064151,722.610026,714.293306,741.105814,724.320801,763.86727,733.622717,789.230977,742.569359,713.794488,737.830002,703.303158,687.441333,687.312474,694.873997,685.006788,642.907839,658.48851,22075.81642
MARIN,Residential,700.288697,659.055021,648.794084,660.219271,652.956874,653.320493,653.551052,684.900884,689.956304,702.458762,702.902822,708.372416,704.451436,704.522013,704.994455,689.583268,687.600782,660.507757,659.768658,638.298171,701.191859,701.990466,679.985205,650.725465,641.424276,632.300683,615.883459,619.375851,597.767275,607.809672,602.554328,20617.51176
MARIN,Total,1330.030056,1355.457029,1330.175571,1386.133886,1344.605821,1356.588222,1357.089708,1397.677739,1392.575315,1409.468448,1425.946619,1461.323035,1465.330072,1446.586165,1427.604481,1403.876574,1428.706596,1384.828559,1423.635928,1371.920888,1490.422837,1444.559826,1393.779693,1388.555466,1344.727434,1319.742016,1303.195933,1314.249848,1282.774063,1250.717511,1261.042838,42693.32818
CONTRA COSTA,Non-Residential,5408.111981,6816.183051,6504.373841,6852.34754,6886.84278,6788.76064,6861.591186,6373.269573,6338.373345,6355.183037,6384.662546,6307.484447,6567.680879,5854.480447,5928.692414,5838.406057,5885.962412,5704.777491,5547.9114,5858.828804,5988.866659,6518.599241,6229.412651,6968.67226,6749.591512,6842.673431,6770.902899,6652.65496,6307.700378,6347.458597,6522.20909,196962.6655
