date,demand
20221115T21Z,27377
20221115T20Z,27631
20221115T19Z,28485
20221115T18Z,30230
20221115T17Z,31472
20221115T16Z,31128
20221115T15Z,28824
20221115T14Z,26765
20221115T13Z,26073
20221115T12Z,26062
20221115T11Z,26118
20221115T10Z,26580
20221115T09Z,27409
20221115T08Z,28869
20221115T07Z,30699
20221115T06Z,32015
20221115T05Z,32965
20221115T04Z,33599
20221115T03Z,33707
20221115T02Z,31725
20221115T01Z,29281
20221115T00Z,28036
20221114T23Z,27138
20221114T22Z,27010
20221114T21Z,27250
20221114T20Z,27813
20221114T19Z,28854
20221114T18Z,29934
20221114T17Z,31049
20221114T16Z,30209
20221114T15Z,27758
20221114T14Z,25854
20221114T13Z,25150
20221114T12Z,25083
20221114T11Z,25158
20221114T10Z,25628
20221114T09Z,26643
20221114T08Z,28185
20221114T07Z,29540
20221114T06Z,30199
20221114T05Z,30907
20221114T04Z,31290
20221114T03Z,31196
20221114T02Z,28801
20221114T01Z,25640
20221114T00Z,24188
20221113T23Z,23421
20221113T22Z,23583
20221113T21Z,23753
20221113T20Z,24633
20221113T19Z,25459
20221113T18Z,26375
20221113T17Z,26373
20221113T16Z,25967
20221113T15Z,25227
20221113T14Z,24677
20221113T13Z,24577
20221113T12Z,24768
20221113T11Z,25324
20221113T10Z,26013
20221113T09Z,26524
20221113T08Z,27573
20221113T07Z,28581
20221113T06Z,29318
20221113T05Z,29904
20221113T04Z,30388
20221113T03Z,30335
20221113T02Z,28518
20221113T01Z,25942
20221113T00Z,24239
20221112T23Z,23712
20221112T22Z,23673
20221112T21Z,24040
20221112T20Z,24604
20221112T19Z,25613
20221112T18Z,26574
20221112T17Z,26677
20221112T16Z,26997
20221112T15Z,26169
20221112T14Z,25527
20221112T13Z,25234
20221112T12Z,25142
20221112T11Z,25774
20221112T10Z,26560
20221112T09Z,27363
20221112T08Z,26426
20221112T07Z,27634
20221112T06Z,28449
20221112T05Z,29248
20221112T04Z,29790
20221112T03Z,29884
20221112T02Z,28222
20221112T01Z,26468
20221112T00Z,25477
20221111T23Z,25857
20221111T22Z,26164
20221111T21Z,27393
20221111T20Z,28023
20221111T19Z,28331
20221111T18Z,29565
20221111T17Z,30175
20221111T16Z,29214
20221111T15Z,27681
20221111T14Z,26228
20221111T13Z,25570
20221111T12Z,25608
20221111T11Z,26034
20221111T10Z,26566
20221111T09Z,27433
20221111T08Z,28942
20221111T07Z,30511
20221111T06Z,31615
20221111T05Z,32397
20221111T04Z,32901
20221111T03Z,32984
20221111T02Z,31231
20221111T01Z,28712
20221111T00Z,27301
20221110T23Z,26578
20221110T22Z,26588
20221110T21Z,26537
20221110T20Z,27198
20221110T19Z,29477
20221110T18Z,29638
20221110T17Z,31362
20221110T16Z,30596
20221110T15Z,28270
20221110T14Z,26375
20221110T13Z,25706
20221110T12Z,25665
20221110T11Z,25618
20221110T10Z,26281
20221110T09Z,27093
20221110T08Z,28804
20221110T07Z,30520
20221110T06Z,31814
20221110T05Z,32827
20221110T04Z,33454
20221110T03Z,33425
20221110T02Z,31564
20221110T01Z,29297
20221110T00Z,27689
20221109T23Z,27577
20221109T22Z,27708
20221109T21Z,27943
20221109T20Z,28559
20221109T19Z,29449
20221109T18Z,30784
20221109T17Z,30966
20221109T16Z,29891
20221109T15Z,27627
20221109T14Z,25845
20221109T13Z,24927
20221109T12Z,24972
20221109T11Z,25558
20221109T10Z,26044
20221109T09Z,26880
20221109T08Z,28446
20221109T07Z,30288
20221109T06Z,31778
20221109T05Z,33017
20221109T04Z,33705
20221109T03Z,33954
20221109T02Z,32739
20221109T01Z,31614
20221109T00Z,31288
20221108T23Z,31631
20221108T22Z,32512
20221108T21Z,32416
20221108T20Z,32564
20221108T19Z,32576
20221108T18Z,32000
20221108T17Z,31368
20221108T16Z,29571
20221108T15Z,27361
20221108T14Z,25700
20221108T13Z,25179
20221108T12Z,25341
20221108T11Z,25267
20221108T10Z,25929
20221108T09Z,26765
20221108T08Z,28136
20221108T07Z,29722
20221108T06Z,30968
20221108T05Z,32046
20221108T04Z,32886
20221108T03Z,33336
20221108T02Z,32187
20221108T01Z,31060
20221108T00Z,30367
20221107T23Z,29821
20221107T22Z,29975
20221107T21Z,29971
20221107T20Z,29746
20221107T19Z,29790
20221107T18Z,29742
20221107T17Z,30019
20221107T16Z,28649
20221107T15Z,26538
20221107T14Z,24926
20221107T13Z,24459
20221107T12Z,24396
20221107T11Z,24751
20221107T10Z,25374
20221107T09Z,25525
20221107T08Z,26708
20221107T07Z,28084
20221107T06Z,29303
20221107T05Z,29906
20221107T04Z,30390
20221107T03Z,30365
20221107T02Z,28256
20221107T01Z,26169
20221107T00Z,25028
20221106T23Z,24021
20221106T22Z,23777
20221106T21Z,24193
20221106T20Z,24641
20221106T19Z,24897
20221106T18Z,26003
20221106T17Z,25613
20221106T16Z,24565
20221106T15Z,23688
20221106T14Z,23336
20221106T13Z,23370
20221106T12Z,23162
20221106T11Z,23440
20221106T10Z,23950
20221106T09Z,24761
20221106T08Z,25766
20221106T07Z,27247
20221106T06Z,28405
20221106T05Z,28310
20221106T04Z,28693
20221106T03Z,29714
20221106T02Z,28505
20221106T01Z,27397
20221106T00Z,25904
20221105T23Z,24953
20221105T22Z,24909
20221105T21Z,25020
20221105T20Z,25224
20221105T19Z,25944
20221105T18Z,27054
20221105T17Z,27376
20221105T16Z,26980
20221105T15Z,26034
20221105T14Z,24981
20221105T13Z,24742
20221105T12Z,24866
