,date,demand,emissions
207,20221119T08Z,28535,78513
208,20221119T07Z,29831,90648
209,20221119T06Z,30743,88068
210,20221119T05Z,31410,85751
211,20221119T04Z,32110,87381
212,20221119T03Z,32528,86303
213,20221119T02Z,31157,86671
214,20221119T01Z,29217,88954
216,20221118T23Z,28560,99429
217,20221118T22Z,28082,100610
218,20221118T21Z,27917,101104
219,20221118T20Z,28005,103450
220,20221118T19Z,28665,103448
221,20221118T18Z,29947,105010
222,20221118T17Z,30956,96769
223,20221118T16Z,30399,75033
224,20221118T15Z,28416,64539
225,20221118T14Z,26519,62197
226,20221118T13Z,25885,61962
227,20221118T12Z,25696,64329
228,20221118T11Z,25957,63684
229,20221118T10Z,26554,61560
230,20221118T09Z,27456,72410
231,20221118T08Z,28889,90589
232,20221118T07Z,30516,102366
233,20221118T06Z,31654,96767
234,20221118T05Z,32464,90892
235,20221118T04Z,33063,89950
236,20221118T03Z,33358,91368
237,20221118T02Z,31916,91271
238,20221118T01Z,30439,93023
240,20221117T23Z,28500,100224
241,20221117T22Z,28420,107694
242,20221117T21Z,28384,107784
243,20221117T20Z,29194,108381
244,20221117T19Z,30645,108893
245,20221117T18Z,31291,111400
246,20221117T17Z,31753,102939
247,20221117T16Z,30951,82105
248,20221117T15Z,28509,66035
249,20221117T14Z,26606,55493
250,20221117T13Z,25915,56464
251,20221117T12Z,26032,54819
252,20221117T11Z,26582,59143
253,20221117T10Z,26756,64108
254,20221117T09Z,27326,67192
255,20221117T08Z,28906,88825
256,20221117T07Z,30654,105747
257,20221117T06Z,31701,95932
258,20221117T05Z,32619,92196
259,20221117T04Z,33324,93319
260,20221117T03Z,33573,95967
261,20221117T02Z,31854,98571
262,20221117T01Z,29470,95293
264,20221116T23Z,27300,101915
265,20221116T22Z,27168,105787
266,20221116T21Z,27236,106194
267,20221116T20Z,28368,105707
268,20221116T19Z,29296,108342
269,20221116T18Z,30091,110951
270,20221116T17Z,31254,95463
271,20221116T16Z,31002,67721
272,20221116T15Z,28752,45071
273,20221116T14Z,26656,42726
274,20221116T13Z,25917,43517
275,20221116T12Z,25955,43418
276,20221116T11Z,26147,49176
277,20221116T10Z,26823,51015
278,20221116T09Z,27337,57206
279,20221116T08Z,29082,83219
280,20221116T07Z,30848,98297
281,20221116T06Z,32004,94945
282,20221116T05Z,32832,89803
283,20221116T04Z,33458,90886
284,20221116T03Z,33592,92430
285,20221116T02Z,31772,90676
286,20221116T01Z,29369,92268
288,20221115T23Z,27153,98610
289,20221115T22Z,27266,104717
290,20221115T21Z,27377,106925
291,20221115T20Z,27631,105710
292,20221115T19Z,28485,107208
293,20221115T18Z,30230,107850
294,20221115T17Z,31472,93011
295,20221115T16Z,31128,63664
296,20221115T15Z,28824,50586
297,20221115T14Z,26765,43007
298,20221115T13Z,26073,46422
299,20221115T12Z,26062,46505
300,20221115T11Z,26118,45603
301,20221115T10Z,26580,48475
302,20221115T09Z,27409,65478
303,20221115T08Z,28869,91820
304,20221115T07Z,30699,105879
305,20221115T06Z,32015,100550
306,20221115T05Z,32965,96071
307,20221115T04Z,33599,99023
308,20221115T03Z,33707,100410
309,20221115T02Z,31725,98723
310,20221115T01Z,29281,99570
312,20221114T23Z,27138,107885
313,20221114T22Z,27010,114738
314,20221114T21Z,27250,116263
315,20221114T20Z,27813,117216
316,20221114T19Z,28854,118332
317,20221114T18Z,29934,117156
318,20221114T17Z,31049,99918
319,20221114T16Z,30209,69645
320,20221114T15Z,27758,53861
321,20221114T14Z,25854,47346
322,20221114T13Z,25150,50566
323,20221114T12Z,25083,51962
324,20221114T11Z,25158,51734
325,20221114T10Z,25628,53549
326,20221114T09Z,26643,63638
327,20221114T08Z,28185,89679
328,20221114T07Z,29540,97662
329,20221114T06Z,30199,93324
330,20221114T05Z,30907,92126
331,20221114T04Z,31290,92338
332,20221114T03Z,31196,94733
333,20221114T02Z,28801,95482
334,20221114T01Z,25640,95287
336,20221113T23Z,23421,104563
337,20221113T22Z,23583,104080
338,20221113T21Z,23753,100476
339,20221113T20Z,24633,101912
340,20221113T19Z,25459,104149
341,20221113T18Z,26375,102350
342,20221113T17Z,26373,85375
343,20221113T16Z,25967,48498
344,20221113T15Z,25227,36481
345,20221113T14Z,24677,35245
346,20221113T13Z,24577,34085
347,20221113T12Z,24768,34010
348,20221113T11Z,25324,33094
349,20221113T10Z,26013,34493
350,20221113T09Z,26524,41090
351,20221113T08Z,27573,62006
352,20221113T07Z,28581,80181
353,20221113T06Z,29318,81051
354,20221113T05Z,29904,79747
355,20221113T04Z,30388,80464
356,20221113T03Z,30335,80128
357,20221113T02Z,28518,81895
358,20221113T01Z,25942,84605
360,20221112T23Z,23712,85834
361,20221112T22Z,23673,90036
362,20221112T21Z,24040,92598
363,20221112T20Z,24604,91975
364,20221112T19Z,25613,92342
365,20221112T18Z,26574,90769
366,20221112T17Z,26677,80175
367,20221112T16Z,26997,49096
368,20221112T15Z,26169,32877
369,20221112T14Z,25527,27076
370,20221112T13Z,25234,31865
371,20221112T12Z,25142,36094
372,20221112T11Z,25774,37789
373,20221112T10Z,26560,41536
374,20221112T09Z,27363,52170
375,20221112T08Z,26426,71879
376,20221112T07Z,27634,94228
377,20221112T06Z,28449,94751
378,20221112T05Z,29248,92411
379,20221112T04Z,29790,90567
380,20221112T03Z,29884,88873
381,20221112T02Z,28222,93281
382,20221112T01Z,26468,94558
384,20221111T23Z,25857,102444
385,20221111T22Z,26164,107348
386,20221111T21Z,27393,108839
387,20221111T20Z,28023,112204
388,20221111T19Z,28331,111821
389,20221111T18Z,29565,112207
390,20221111T17Z,30175,98363
391,20221111T16Z,29214,74483
392,20221111T15Z,27681,59177
393,20221111T14Z,26228,49238
394,20221111T13Z,25570,50208
395,20221111T12Z,25608,52905
396,20221111T11Z,26034,53147
397,20221111T10Z,26566,56349
398,20221111T09Z,27433,66275
399,20221111T08Z,28942,87403
400,20221111T07Z,30511,98847
401,20221111T06Z,31615,95870
402,20221111T05Z,32397,91905
403,20221111T04Z,32901,91625
404,20221111T03Z,32984,92484
405,20221111T02Z,31231,94445
406,20221111T01Z,28712,96616
408,20221110T23Z,26578,105987
409,20221110T22Z,26588,110297
410,20221110T21Z,26537,113270
411,20221110T20Z,27198,113276
412,20221110T19Z,29477,114706
413,20221110T18Z,29638,114048
414,20221110T17Z,31362,99219
415,20221110T16Z,30596,65346
416,20221110T15Z,28270,44483
417,20221110T14Z,26375,43432
418,20221110T13Z,25706,46887
419,20221110T12Z,25665,46713
420,20221110T11Z,25618,48703
421,20221110T10Z,26281,50292
422,20221110T09Z,27093,62418
423,20221110T08Z,28804,93746
424,20221110T07Z,30520,106323
425,20221110T06Z,31814,101239
426,20221110T05Z,32827,91709
427,20221110T04Z,33454,89587
428,20221110T03Z,33425,93155
429,20221110T02Z,31564,91257
430,20221110T01Z,29297,94181
432,20221109T23Z,27577,102340
433,20221109T22Z,27708,103951
434,20221109T21Z,27943,103127
435,20221109T20Z,28559,103927
