year,electric,plug-in hybrid electric,fuel cell,diesel,flex fuel,gasoline,gasoline hybrid,natural gas,propane
2021,522445,305315,10127,590216,1208970,25998618,1298275,8461,90
2020,369364,259109,7129,700366,1144536,25021380,1155477,7676,897
2019,308447,251522,6933,680622,1131474,25526368,1114944,8462,1015
2018,232239,216328,5525,657857,1122312,25377093,1060166,8910,1063
2017,159705,163057,3271,640281,1108886,25313468,1019085,9212,1074
2016,115569,114602,854,588872,948746,22661954,860599,8521,966
2015,82686,83482,79,555652,878165,22026350,776480,8500,895
2014,50175,58764,38,524118,817338,21737732,701945,8448,946
2013,25146,27281,24,490651,709183,21405487,603830,8094,881
