,date,demand,emissions,registered EVs
176,20221120T15Z,25724,3931,test
177,20221120T14Z,25097,3518,test
178,20221120T13Z,25024,3309,test
179,20221120T12Z,24837,3662,test
180,20221120T11Z,25219,3304,test
181,20221120T10Z,25840,3818,test
182,20221120T09Z,26568,3661,test
183,20221120T08Z,27716,5608,test
184,20221120T07Z,28892,7506,test
185,20221120T06Z,29598,7567,test
186,20221120T05Z,30124,7585,test
187,20221120T04Z,30599,7718,test
188,20221120T03Z,30833,7565,test
189,20221120T02Z,29031,7264,test
190,20221120T01Z,26770,7382,test
191,20221120T00Z,25595,7765,test
192,20221119T23Z,25213,8105,test
193,20221119T22Z,25478,8385,test
194,20221119T21Z,25573,8467,test
195,20221119T20Z,25998,8742,test
196,20221119T19Z,26819,8787,test
197,20221119T18Z,27904,8955,test
198,20221119T17Z,27885,8541,test
199,20221119T16Z,27747,6400,test
200,20221119T15Z,26743,4069,test
201,20221119T14Z,25722,3953,test
202,20221119T13Z,25425,3754,test
203,20221119T12Z,25380,3863,test
204,20221119T11Z,25769,3521,test
205,20221119T10Z,26463,3462,test
206,20221119T09Z,27138,4143,test
207,20221119T08Z,28535,5543,test
208,20221119T07Z,29831,7451,test
209,20221119T06Z,30743,7296,test
210,20221119T05Z,31410,7315,test
211,20221119T04Z,32110,7191,test
212,20221119T03Z,32528,7229,test
213,20221119T02Z,31157,7150,test
214,20221119T01Z,29217,7352,test
215,20221119T00Z,28667,7580,test
216,20221118T23Z,28560,8147,test
217,20221118T22Z,28082,8340,test
218,20221118T21Z,27917,8533,test
219,20221118T20Z,28005,8627,test
220,20221118T19Z,28665,8679,test
221,20221118T18Z,29947,8680,test
222,20221118T17Z,30956,8553,test
223,20221118T16Z,30399,7132,test
224,20221118T15Z,28416,5910,test
225,20221118T14Z,26519,5301,test
226,20221118T13Z,25885,5114,test
227,20221118T12Z,25696,5279,test
228,20221118T11Z,25957,5212,test
229,20221118T10Z,26554,5107,test
230,20221118T09Z,27456,5476,test
231,20221118T08Z,28889,6658,test
232,20221118T07Z,30516,8785,test
233,20221118T06Z,31654,8361,test
234,20221118T05Z,32464,7640,test
235,20221118T04Z,33063,7447,test
236,20221118T03Z,33358,7483,test
237,20221118T02Z,31916,7629,test
238,20221118T01Z,30439,7696,test
239,20221118T00Z,29454,7828,test
240,20221117T23Z,28500,8214,test
241,20221117T22Z,28420,8790,test
242,20221117T21Z,28384,9042,test
243,20221117T20Z,29194,9081,test
244,20221117T19Z,30645,9027,test
245,20221117T18Z,31291,9333,test
246,20221117T17Z,31753,8847,test
247,20221117T16Z,30951,8040,test
248,20221117T15Z,28509,5844,test
249,20221117T14Z,26606,4788,test
250,20221117T13Z,25915,4588,test
251,20221117T12Z,26032,4851,test
252,20221117T11Z,26582,4881,test
253,20221117T10Z,26756,5299,test
254,20221117T09Z,27326,4893,test
255,20221117T08Z,28906,6416,test
256,20221117T07Z,30654,8756,test
257,20221117T06Z,31701,8286,test
258,20221117T05Z,32619,7644,test
259,20221117T04Z,33324,7822,test
260,20221117T03Z,33573,7902,test
261,20221117T02Z,31854,8254,test
262,20221117T01Z,29470,8091,test
263,20221117T00Z,27940,7946,test
264,20221116T23Z,27300,8238,test
265,20221116T22Z,27168,8821,test
266,20221116T21Z,27236,8996,test
267,20221116T20Z,28368,8819,test
268,20221116T19Z,29296,9026,test
269,20221116T18Z,30091,9185,test
270,20221116T17Z,31254,8456,test
271,20221116T16Z,31002,6777,test
272,20221116T15Z,28752,4035,test
273,20221116T14Z,26656,3358,test
274,20221116T13Z,25917,3645,test
275,20221116T12Z,25955,3288,test
276,20221116T11Z,26147,4120,test
277,20221116T10Z,26823,3918,test
278,20221116T09Z,27337,3965,test
279,20221116T08Z,29082,5905,test
280,20221116T07Z,30848,8196,test
281,20221116T06Z,32004,8008,test
282,20221116T05Z,32832,7467,test
283,20221116T04Z,33458,7557,test
284,20221116T03Z,33592,7745,test
285,20221116T02Z,31772,7524,test
286,20221116T01Z,29369,7703,test
287,20221116T00Z,28063,7612,test
288,20221115T23Z,27153,7930,test
289,20221115T22Z,27266,8585,test
290,20221115T21Z,27377,8896,test
291,20221115T20Z,27631,8842,test
292,20221115T19Z,28485,8897,test
293,20221115T18Z,30230,9043,test
294,20221115T17Z,31472,8574,test
295,20221115T16Z,31128,6260,test
296,20221115T15Z,28824,4149,test
297,20221115T14Z,26765,3811,test
298,20221115T13Z,26073,3784,test
299,20221115T12Z,26062,3819,test
300,20221115T11Z,26118,3695,test
301,20221115T10Z,26580,3727,test
302,20221115T09Z,27409,4456,test
303,20221115T08Z,28869,7000,test
304,20221115T07Z,30699,8673,test
305,20221115T06Z,32015,8636,test
306,20221115T05Z,32965,7907,test
307,20221115T04Z,33599,8165,test
308,20221115T03Z,33707,8403,test
309,20221115T02Z,31725,8420,test
310,20221115T01Z,29281,8266,test
311,20221115T00Z,28036,8272,test
312,20221114T23Z,27138,8762,test
313,20221114T22Z,27010,9426,test
314,20221114T21Z,27250,9785,test
315,20221114T20Z,27813,9855,test
316,20221114T19Z,28854,9664,test
317,20221114T18Z,29934,9928,test
318,20221114T17Z,31049,9228,test
319,20221114T16Z,30209,6858,test
320,20221114T15Z,27758,4899,test
321,20221114T14Z,25854,4133,test
322,20221114T13Z,25150,4276,test
323,20221114T12Z,25083,4354,test
