,date,demand,emissions
339,20221113T20Z,24633,101912
340,20221113T19Z,25459,104149
341,20221113T18Z,26375,102350
342,20221113T17Z,26373,85375
343,20221113T16Z,25967,48498
344,20221113T15Z,25227,36481
345,20221113T14Z,24677,35245
346,20221113T13Z,24577,34085
347,20221113T12Z,24768,34010
348,20221113T11Z,25324,33094
349,20221113T10Z,26013,34493
360,20221112T23Z,23712,85834
361,20221112T22Z,23673,90036
362,20221112T21Z,24040,92598
363,20221112T20Z,24604,91975
364,20221112T19Z,25613,92342
365,20221112T18Z,26574,90769
366,20221112T17Z,26677,80175
367,20221112T16Z,26997,49096
368,20221112T15Z,26169,32877
369,20221112T14Z,25527,27076
370,20221112T13Z,25234,31865
371,20221112T12Z,25142,36094
372,20221112T11Z,25774,37789
373,20221112T10Z,26560,41536
384,20221111T23Z,25857,102444
385,20221111T22Z,26164,107348
386,20221111T21Z,27393,108839
387,20221111T20Z,28023,112204
388,20221111T19Z,28331,111821
389,20221111T18Z,29565,112207
390,20221111T17Z,30175,98363
391,20221111T16Z,29214,74483
392,20221111T15Z,27681,59177
393,20221111T14Z,26228,49238
394,20221111T13Z,25570,50208
395,20221111T12Z,25608,52905
396,20221111T11Z,26034,53147
397,20221111T10Z,26566,56349
408,20221110T23Z,26578,105987
409,20221110T22Z,26588,110297
410,20221110T21Z,26537,113270
411,20221110T20Z,27198,113276
412,20221110T19Z,29477,114706
413,20221110T18Z,29638,114048
414,20221110T17Z,31362,99219
415,20221110T16Z,30596,65346
416,20221110T15Z,28270,44483
417,20221110T14Z,26375,43432
418,20221110T13Z,25706,46887
419,20221110T12Z,25665,46713
420,20221110T11Z,25618,48703
421,20221110T10Z,26281,50292
432,20221109T23Z,27577,102340
433,20221109T22Z,27708,103951
434,20221109T21Z,27943,103127
435,20221109T20Z,28559,103927
436,20221109T19Z,29449,106563
437,20221109T18Z,30784,104659
438,20221109T17Z,30966,89713
439,20221109T16Z,29891,58898
440,20221109T15Z,27627,45919
441,20221109T14Z,25845,48657
442,20221109T13Z,24927,52484
443,20221109T12Z,24972,50485
444,20221109T11Z,25558,53486
445,20221109T10Z,26044,61602
456,20221108T23Z,31631,96640
457,20221108T22Z,32512,98415
458,20221108T21Z,32416,103595
459,20221108T20Z,32564,106093
460,20221108T19Z,32576,106613
461,20221108T18Z,32000,104254
462,20221108T17Z,31368,93438
463,20221108T16Z,29571,81692
464,20221108T15Z,27361,81366
465,20221108T14Z,25700,77486
466,20221108T13Z,25179,86679
467,20221108T12Z,25341,85565
468,20221108T11Z,25267,89286
469,20221108T10Z,25929,87231
480,20221107T23Z,29821,100901
481,20221107T22Z,29975,104489
482,20221107T21Z,29971,107931
483,20221107T20Z,29746,107514
484,20221107T19Z,29790,108672
485,20221107T18Z,29742,108487
486,20221107T17Z,30019,101159
487,20221107T16Z,28649,82355
488,20221107T15Z,26538,72986
489,20221107T14Z,24926,73178
490,20221107T13Z,24459,75399
491,20221107T12Z,24396,76080
492,20221107T11Z,24751,73192
493,20221107T10Z,25374,74702
504,20221106T23Z,24021,95305
505,20221106T22Z,23777,100475
506,20221106T21Z,24193,101994
507,20221106T20Z,24641,102687
508,20221106T19Z,24897,102201
509,20221106T18Z,26003,97462
510,20221106T17Z,25613,82289
511,20221106T16Z,24565,56990
512,20221106T15Z,23688,41918
513,20221106T14Z,23336,39985
514,20221106T13Z,23370,43814
515,20221106T12Z,23162,51193
516,20221106T11Z,23440,52515
517,20221106T10Z,23950,52605
528,20221105T23Z,24953,90371
529,20221105T22Z,24909,92250
530,20221105T21Z,25020,92106
531,20221105T20Z,25224,90251
532,20221105T19Z,25944,90725
533,20221105T18Z,27054,83669
534,20221105T17Z,27376,68511
535,20221105T16Z,26980,54510
536,20221105T15Z,26034,47069
537,20221105T14Z,24981,48141
538,20221105T13Z,24742,47762
539,20221105T12Z,24866,47598
540,20221105T11Z,24768,48768
541,20221105T10Z,25536,56972
552,20221104T23Z,27609,96930
553,20221104T22Z,27933,100486
554,20221104T21Z,28569,102655
555,20221104T20Z,29235,104412
556,20221104T19Z,30703,102934
557,20221104T18Z,31434,95698
558,20221104T17Z,31893,76327
559,20221104T16Z,31842,58208
560,20221104T15Z,29857,52808
561,20221104T14Z,27224,55435
562,20221104T13Z,26035,60405
563,20221104T12Z,25645,61101
564,20221104T11Z,25763,68560
565,20221104T10Z,26095,72623
576,20221103T23Z,26743,101456
577,20221103T22Z,26812,103159
578,20221103T21Z,27562,102163
579,20221103T20Z,28024,99169
580,20221103T19Z,28670,95792
581,20221103T18Z,29840,81646
582,20221103T17Z,30779,56693
583,20221103T16Z,31051,44128
584,20221103T15Z,29320,45508
585,20221103T14Z,26626,46700
586,20221103T13Z,24936,50292
587,20221103T12Z,24711,50776
588,20221103T11Z,24701,53017
589,20221103T10Z,25069,67393
600,20221102T23Z,27242,98116
601,20221102T22Z,27562,99389
602,20221102T21Z,28157,102094
603,20221102T20Z,29074,102185
604,20221102T19Z,30024,96509
605,20221102T18Z,30567,86253
606,20221102T17Z,30468,69096
607,20221102T16Z,30295,47924
608,20221102T15Z,28662,47952
609,20221102T14Z,26224,52518
610,20221102T13Z,24746,53753
611,20221102T12Z,24646,54845
612,20221102T11Z,25094,60596
613,20221102T10Z,25222,67936
624,20221101T23Z,30137,93461
625,20221101T22Z,30538,100058
626,20221101T21Z,30512,102969
627,20221101T20Z,30804,100611
628,20221101T19Z,30511,99953
629,20221101T18Z,30171,88025
630,20221101T17Z,30090,70960
631,20221101T16Z,30131,64417
632,20221101T15Z,28779,65124
633,20221101T14Z,26648,66759
634,20221101T13Z,25134,65940
635,20221101T12Z,24975,69656
636,20221101T11Z,24985,71384
637,20221101T10Z,25218,75308
648,20221031T23Z,30502,93461
649,20221031T22Z,30609,100058
650,20221031T21Z,30080,102969
651,20221031T20Z,30154,100611
652,20221031T19Z,30357,99953
653,20221031T18Z,30120,88025
654,20221031T17Z,29686,70960
655,20221031T16Z,29813,64417
656,20221031T15Z,28719,65124
657,20221031T14Z,26178,66759
658,20221031T13Z,24563,65940
659,20221031T12Z,24230,69656
660,20221031T11Z,24380,71384
661,20221031T10Z,24543,75308
672,20221030T23Z,24755,93461
673,20221030T22Z,24303,100058
674,20221030T21Z,24025,102969
675,20221030T20Z,23950,100611
676,20221030T19Z,24411,99953
677,20221030T18Z,25050,88025
678,20221030T17Z,25023,70960
679,20221030T16Z,25305,64417
680,20221030T15Z,24832,65124
681,20221030T14Z,23931,66759
682,20221030T13Z,23680,65940
683,20221030T12Z,23699,69656
684,20221030T11Z,23946,71384
685,20221030T10Z,24636,75308
696,20221029T23Z,24602,93461
697,20221029T22Z,24658,100058
698,20221029T21Z,24951,102969
699,20221029T20Z,25282,100611
700,20221029T19Z,25988,99953
701,20221029T18Z,26686,88025
702,20221029T17Z,26495,70960
703,20221029T16Z,26837,64417
704,20221029T15Z,26066,65124
705,20221029T14Z,25160,66759
706,20221029T13Z,24739,65940
707,20221029T12Z,24663,69656
708,20221029T11Z,25018,71384
709,20221029T10Z,25672,75308
720,20221028T23Z,29318,109560
721,20221028T22Z,29227,114231
722,20221028T21Z,28892,112484
723,20221028T20Z,29068,109821
724,20221028T19Z,29303,107183
725,20221028T18Z,29793,99711
726,20221028T17Z,29828,81245
727,20221028T16Z,30526,66270
728,20221028T15Z,29283,61551
729,20221028T14Z,27112,62004
730,20221028T13Z,25680,60139
731,20221028T12Z,25440,62118
732,20221028T11Z,25584,60552
733,20221028T10Z,25959,63937
744,20221027T23Z,29055,104610
745,20221027T22Z,28296,108317
746,20221027T21Z,27884,108573
747,20221027T20Z,28446,108984
748,20221027T19Z,28894,109321
749,20221027T18Z,29546,96900
750,20221027T17Z,30215,68158
751,20221027T16Z,30378,51343
752,20221027T15Z,28933,50898
753,20221027T14Z,26696,49415
754,20221027T13Z,25159,50398
755,20221027T12Z,24548,53072
756,20221027T11Z,24603,52689
757,20221027T10Z,25027,56843
768,20221026T23Z,27409,87638
769,20221026T22Z,26972,92760
770,20221026T21Z,26948,97425
771,20221026T20Z,27694,98924
772,20221026T19Z,28720,99651
773,20221026T18Z,30249,90431
774,20221026T17Z,30255,61478
775,20221026T16Z,30167,40447
776,20221026T15Z,28911,34607
777,20221026T14Z,26781,37218
778,20221026T13Z,25220,43471
779,20221026T12Z,24897,49411
780,20221026T11Z,25355,58873
781,20221026T10Z,25354,66637
792,20221025T23Z,27944,95696
793,20221025T22Z,27589,100646
794,20221025T21Z,27739,102561
795,20221025T20Z,27719,103805
796,20221025T19Z,28055,103973
797,20221025T18Z,28754,90211
798,20221025T17Z,29663,63162
799,20221025T16Z,30355,47995
800,20221025T15Z,29018,46274
801,20221025T14Z,26959,46219
802,20221025T13Z,25431,48614
803,20221025T12Z,24969,47501
804,20221025T11Z,24819,51004
805,20221025T10Z,25521,57572
816,20221024T23Z,27486,104098
817,20221024T22Z,26728,104221
818,20221024T21Z,26846,108733
819,20221024T20Z,27401,112797
820,20221024T19Z,28556,113557
821,20221024T18Z,29483,98227
822,20221024T17Z,30304,68844
823,20221024T16Z,29813,53447
824,20221024T15Z,28226,47907
825,20221024T14Z,26071,46218
826,20221024T13Z,24713,48060
827,20221024T12Z,23857,49768
828,20221024T11Z,23999,56019
829,20221024T10Z,24494,65245
840,20221023T23Z,22583,92009
841,20221023T22Z,22057,89978
842,20221023T21Z,22058,87303
843,20221023T20Z,22765,84300
844,20221023T19Z,23690,79960
845,20221023T18Z,24586,69351
846,20221023T17Z,25127,38823
847,20221023T16Z,25396,22029
848,20221023T15Z,24704,18863
849,20221023T14Z,24157,19686
850,20221023T13Z,23970,22042
851,20221023T12Z,24026,27106
852,20221023T11Z,24369,27165
853,20221023T10Z,24922,34149
864,20221022T23Z,26512,88159
865,20221022T22Z,26239,86446
866,20221022T21Z,26560,86316
867,20221022T20Z,27367,89538
868,20221022T19Z,28135,86153
869,20221022T18Z,28773,77627
870,20221022T17Z,28701,57828
871,20221022T16Z,27876,38567
872,20221022T15Z,27159,30078
873,20221022T14Z,26440,31343
874,20221022T13Z,25748,35755
875,20221022T12Z,25768,39831
876,20221022T11Z,26379,45094
877,20221022T10Z,27127,54779
888,20221021T23Z,33607,96127
889,20221021T22Z,32257,98541
890,20221021T21Z,31518,103809
891,20221021T20Z,31482,105632
892,20221021T19Z,31884,105163
893,20221021T18Z,32433,97403
894,20221021T17Z,31954,79642
895,20221021T16Z,31257,67268
896,20221021T15Z,29892,60719
897,20221021T14Z,27963,59004
898,20221021T13Z,27130,60284
899,20221021T12Z,27137,64070
900,20221021T11Z,27466,68408
901,20221021T10Z,27971,76333
912,20221020T23Z,36529,115300
913,20221020T22Z,34912,121239
914,20221020T21Z,33701,123468
915,20221020T20Z,33303,128214
916,20221020T19Z,32666,137155
917,20221020T18Z,32666,127045
918,20221020T17Z,31766,99195
919,20221020T16Z,31103,81519
920,20221020T15Z,30370,72588
921,20221020T14Z,28472,68902
922,20221020T13Z,27172,68905
923,20221020T12Z,27297,75470
924,20221020T11Z,27573,72868
925,20221020T10Z,27764,79108
936,20221019T23Z,37460,120478
937,20221019T22Z,35460,129127
938,20221019T21Z,34424,133298
939,20221019T20Z,33667,142881
940,20221019T19Z,33082,145357
941,20221019T18Z,33064,136394
942,20221019T17Z,32115,107358
943,20221019T16Z,31281,86398
944,20221019T15Z,29819,72313
945,20221019T14Z,27785,66746
946,20221019T13Z,26809,70370
947,20221019T12Z,26697,71045
948,20221019T11Z,26863,72669
949,20221019T10Z,27413,82254
960,20221018T23Z,34787,124404
961,20221018T22Z,33757,131993
962,20221018T21Z,33309,134667
963,20221018T20Z,32829,133031
964,20221018T19Z,32429,128066
965,20221018T18Z,32705,115371
966,20221018T17Z,31649,92002
967,20221018T16Z,31309,75899
968,20221018T15Z,29615,66827
969,20221018T14Z,27711,68726
970,20221018T13Z,26317,73902
971,20221018T12Z,25919,76083
972,20221018T11Z,26132,77654
973,20221018T10Z,26514,86820
984,20221017T23Z,31171,115022
985,20221017T22Z,30328,114166
986,20221017T21Z,30143,115786
987,20221017T20Z,30088,116094
988,20221017T19Z,30783,116625
989,20221017T18Z,30984,105770
990,20221017T17Z,30445,77816
991,20221017T16Z,29556,62686
992,20221017T15Z,28105,60757
993,20221017T14Z,25767,59850
994,20221017T13Z,24468,64293
995,20221017T12Z,23495,67050
996,20221017T11Z,23723,74277
997,20221017T10Z,23997,78145
1008,20221016T23Z,26738,94114
1009,20221016T22Z,26741,95134
1010,20221016T21Z,27379,99640
1011,20221016T20Z,28062,97939
1012,20221016T19Z,27663,97291
1013,20221016T18Z,27308,79911
1014,20221016T17Z,26075,59580
1015,20221016T16Z,25096,47790
1016,20221016T15Z,24495,47079
1017,20221016T14Z,24129,53123
1018,20221016T13Z,23728,60469
1019,20221016T12Z,24009,66173
1020,20221016T11Z,24496,62026
1021,20221016T10Z,25129,66627
1032,20221015T23Z,28528,85734
1033,20221015T22Z,28429,85501
1034,20221015T21Z,28827,91031
1035,20221015T20Z,29076,92045
1036,20221015T19Z,29627,92486
1037,20221015T18Z,29498,84726
1038,20221015T17Z,28593,73263
1039,20221015T16Z,27194,63796
1040,20221015T15Z,26209,56405
1041,20221015T14Z,25433,58181
1042,20221015T13Z,25103,60175
1043,20221015T12Z,25101,62068
1044,20221015T11Z,25674,61755
1045,20221015T10Z,26474,63953
1056,20221014T23Z,32713,98166
1057,20221014T22Z,32188,101638
1058,20221014T21Z,32679,102712
1059,20221014T20Z,32900,106256
1060,20221014T19Z,33580,107176
1061,20221014T18Z,33391,93451
1062,20221014T17Z,32129,71905
1063,20221014T16Z,31008,59566
1064,20221014T15Z,29357,59265
1065,20221014T14Z,27203,59701
1066,20221014T13Z,25982,68418
1067,20221014T12Z,25691,70272
1068,20221014T11Z,26007,74185
1069,20221014T10Z,26612,74174
1080,20221013T23Z,32925,102264
1081,20221013T22Z,32614,104919
1082,20221013T21Z,32410,107134
1083,20221013T20Z,32941,112010
1084,20221013T19Z,33424,112890
1085,20221013T18Z,33253,96922
1086,20221013T17Z,32013,77030
1087,20221013T16Z,31255,58867
1088,20221013T15Z,29613,53130
1089,20221013T14Z,27552,56191
1090,20221013T13Z,26151,60440
1091,20221013T12Z,25985,67876
1092,20221013T11Z,26504,70385
1093,20221013T10Z,26994,69119
1104,20221012T23Z,34128,101393
1105,20221012T22Z,33260,108603
1106,20221012T21Z,32798,107840
1107,20221012T20Z,32994,111797
1108,20221012T19Z,33378,112490
