05/03/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,5252,5296,5302,5290,5251,5242,5226,5205,5168,5182,5176,5310,5300,5215,5143,5073,4895,4607,4354,4094,3917,3867,3875,3927,3956,3954,3993,4036,4091,4129,4129,4110,4046,3998,3962,3933,3890,3873,3862,3878,3884,3875,3886,3906,3921,3948,3936,3959,3993,4006,3990,3968,3956,3953,3960,3991,4026,4020,3979,3931,3885,3838,3791,3748,3681,3619,3595,3561,3508,3466,3482,3494,3496,3485,3476,3472,3462,3489,3582,3744,3968,4244,4466,4669,4950,5334,5752,6124,6480,6820,7089,7300,7524,7794,8376,8855,9009,9139,9204,9289,9473,9514,9495,9379,9228,9490,9660,9797,9902,9786,9694,9722,9812,10009,10146,10159,10164,10155,10280,10320,10307,10356,10345,10371,10576,10560,10607,10576,10552,10511,10608,10619,10616,10806,10827,10872,10757,10795,10900,11079,11309,11361,11454,11556,11701,11660,11563,11517,11546,11476,11562,11526,11438,11360,11344,11207,11038,11023,11319,11446,11367,11217,11131,11238,11311,11107,10815,10697,10789,11072,11080,11198,10989,11053,11100,10907,10904,10600,10665,10708,10632,10456,10392,10127,10041,9587,9413,9151,8863,8507,8211,7738,7067,6612,6329,6052,5841,5641,5394,5123,4997,4843,4735,4583,4442,4404,4408,4427,4426,4420,4386,4382,4409,4346,4336,4369,4306,4247,4220,4269,4279,4286,4294,4287,4218,4131,4147,4156,4088,4020,3983,3993,4053,4079,4104,4101,4056,4038,4118,4144,4119,4151,4187,4161,4171,4159,4156,4141,4120,4101,4099,4050,4044,3993,4009,4022,4033,4016,3985,3989,4009,4063,4130,4174,4197,4210,4205,4193,4188,4177,4165,4164,4205,4227,4216,4199,4155,4161,4145,4114,4152,4142,4088,4087,4071,4031,3982,3956,
Natural gas,9388,10127,10385,10456,10462,10283,10258,10283,10340,10431,10463,10450,10456,10354,10249,10245,10252,10360,10357,10362,10461,10671,10775,10787,10548,10726,10904,10821,10757,10625,10539,10350,10284,10326,10345,10419,10540,10591,10682,10677,10883,10904,10896,11017,11003,10936,10962,10937,10831,10635,10768,10798,10786,10666,10806,10837,10965,11172,11184,11080,11084,11025,11028,11162,11418,11507,11639,11581,11541,11612,11727,11812,11884,11967,11894,11902,11931,11966,12064,12167,12237,12279,12180,12098,12107,12172,12186,12226,12385,12250,11958,11678,11353,11242,11446,11612,11578,10954,10611,10479,10385,10334,10496,10368,10373,10403,10568,10352,10330,10795,11002,11010,11049,10931,10955,10846,10741,10833,10814,10773,10709,10945,11004,11011,10998,10911,10846,10807,10842,10801,10875,11041,11086,11570,11675,11656,11330,11296,11328,11487,11319,11300,11159,10992,10929,10973,10784,10706,10560,10592,10788,11014,11068,11020,10975,10898,10982,11115,11178,11276,11131,10823,10644,10761,10832,10907,10875,10950,10955,11092,11178,11179,11081,11105,11007,10991,11243,11373,11470,11707,11969,12146,12287,12266,12027,12119,12202,12390,12695,12661,12818,12855,12942,13344,13299,13676,13701,13866,14106,14166,14184,14327,14625,14774,14813,14512,14616,14673,14722,14822,14910,14899,14909,14896,14894,14906,14923,14697,14489,14462,14648,14659,14617,14458,14456,14440,14440,14424,14448,14339,14409,14399,14294,14407,14360,14251,14160,14169,14090,14126,14131,14168,14287,14424,14290,14231,14235,14177,14131,13951,13818,13859,13936,14008,14037,14002,13781,13735,13698,13564,13457,13538,13649,13666,13599,13588,13471,13417,13273,13197,13217,13312,13435,13517,13167,12839,12804,12875,12848,12781,12761,12768,12748,12707,12707,12631,12484,12284
Large hydro,392,134,81,79,88,78,75,72,68,66,64,68,69,73,75,68,77,134,131,103,74,60,58,58,37,6,-9,-12,-12,-21,-18,-15,-16,-15,-19,-14,-3,34,68,67,59,60,56,57,53,49,54,61,71,166,203,228,234,237,232,235,232,232,236,254,312,391,416,424,422,433,427,758,773,782,790,787,825,1037,1127,1146,1149,1144,1139,1146,1142,1143,1150,1130,1001,897,794,777,721,722,730,724,722,725,677,570,501,592,617,697,717,635,601,606,600,590,598,598,595,568,553,552,561,553,552,548,550,547,545,547,538,540,551,569,558,565,565,563,563,551,548,549,550,564,569,578,567,564,561,559,560,561,564,570,570,595,585,585,588,584,577,577,577,578,576,577,582,588,576,576,577,590,579,573,571,592,620,616,601,581,578,580,584,592,584,582,577,593,582,631,640,680,701,703,701,720,706,707,711,751,768,781,820,1210,1428,1469,1476,1480,1547,1601,1626,1669,1665,1762,1912,1791,1791,1789,1752,1765,1791,1796,1793,1808,1796,1791,1791,1818,1799,1775,1800,1804,1783,1681,1644,1622,1602,1601,1609,1582,1564,1558,1555,1510,1494,1488,1487,1487,1501,1496,1486,1543,1563,1525,1351,1299,1281,1284,1293,1276,1260,1257,1231,1255,1255,1256,1253,1188,1129,1130,1132,1120,1114,1107,1068,1051,893,849,848,827,785,492,480,470,465,461,465,513,550,548,551,536,530,490,468,470,472,460
Imports,5594,5612,5802,5813,5883,5778,5682,5672,5713,5702,5732,5643,5662,5608,5478,5447,5580,5564,5673,5924,6007,5966,5992,6006,6012,5960,5890,5909,5826,5753,5713,5756,5754,5722,5700,5638,5659,5647,5671,5569,5499,5421,5482,5453,5388,5367,5353,5335,5362,5289,5332,5282,5193,5213,5039,5068,4931,4816,4834,4951,5116,5509,5698,5746,5724,5685,5522,5378,5281,5232,5136,5046,5208,5074,5170,5281,5237,5283,5254,5374,5427,5333,5280,5192,5068,4975,4917,4771,4734,4781,4848,4727,4698,4642,4540,4418,4345,4199,4072,3932,3774,3787,3857,3641,3508,3418,3482,3355,3271,3217,3155,3057,3056,3098,3096,3035,3011,3016,2921,2804,2771,2661,2633,2719,2643,2718,2675,2734,2726,2636,2487,2518,2467,2628,2774,2811,2746,2709,2711,2718,2730,2787,2783,2798,2765,2953,3129,3110,3110,3046,2940,2799,2898,2916,2874,2760,2741,2556,2424,2445,2500,2539,2467,2317,2303,2497,2535,2577,2579,2396,2482,2380,2367,2352,2204,2287,2250,2283,2209,2147,2389,2754,2843,2782,2687,2851,2676,2917,3198,3271,3174,3304,3563,4047,4388,4563,4500,4490,4421,4529,4541,4509,4074,4117,4198,4597,4631,4665,4770,4725,4713,4661,4542,4660,4674,4715,4745,4671,4844,4897,4684,4630,4614,5045,5206,5197,5140,5144,5094,4922,4698,4699,4895,4861,4976,5163,5230,5270,5509,5541,5549,5213,5014,5034,4955,5034,5151,5547,5617,5720,5753,5895,5826,5215,5058,5059,5226,5273,5387,5655,5739,5706,5737,5761,5588,5454,5388,5298,5306,5309,5264,5455,5415,5557,5737,5742,5558,5378,5225,5128,4941,4946,4979,5068,5112,5150,5199,5204
Batteries,-213,-247,-349,-419,-413,-299,-244,-283,-338,-408,-443,-485,-507,-395,-221,-181,-181,-106,-70,-118,-177,-245,-348,-396,-322,-363,-402,-396,-362,-300,-262,-165,-103,-84,-70,-64,-124,-140,-230,-189,-233,-215,-321,-381,-345,-323,-331,-308,-311,-221,-327,-302,-230,-140,-120,-114,-91,-64,-2,88,47,-50,-62,-54,-92,-13,86,61,110,204,278,432,401,700,740,822,970,1011,927,734,512,420,448,484,530,414,360,255,92,19,6,88,190,107,-327,-529,-495,-257,-119,-32,-85,-114,-181,50,185,12,-201,-73,-70,-143,-73,-85,-271,-309,-417,-356,-346,-411,-414,-402,-340,-447,-452,-516,-642,-605,-629,-627,-579,-482,-563,-671,-749,-1193,-1361,-1349,-1109,-1131,-1237,-1396,-1422,-1418,-1383,-1270,-1275,-1378,-1300,-1276,-1236,-1168,-1293,-1281,-1318,-1236,-1220,-1033,-906,-938,-1036,-1159,-1065,-723,-507,-489,-553,-489,-263,-191,-247,-353,-422,-369,-177,0,52,231,142,323,300,225,-73,-476,-608,-378,-77,215,365,272,205,481,566,973,1221,621,385,203,446,596,742,881,1043,1220,1646,1716,1703,1709,1792,1862,1891,1961,1980,2037,2164,2146,2122,2035,1979,2227,2206,2136,2115,2087,2036,1736,1609,1672,1693,1632,1686,1910,2047,2029,1894,1785,1675,1519,1483,1369,1034,865,823,999,955,841,1048,1003,844,476,362,332,292,161,184,625,669,657,606,593,479,240,163,45,-127,-254,-220,-215,-108,-42,-47,-61,-60,-15,-105,-255,-187,-90,-26,23,51,114,149,66,-17,-84,-139,-149,-143,-73
Nuclear,1133,1133,1134,1133,1132,1133,1133,1133,1133,1133,1132,1133,1133,1132,1132,1132,1132,1132,1133,1133,1133,1133,1134,1133,1133,1133,1134,1134,1134,1133,1134,1134,1134,1133,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1133,1134,1133,1133,1133,1133,1133,1134,1134,1134,1134,1133,1133,1133,1133,1133,1134,1133,1133,1133,1133,1132,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1134,1134,1134,1134,1134,1134,1134,1133,1133,1133,1134,1133,1134,1134,1134,1133,1134,1134,1133,1134,1134,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1132,1133,1133,1133,1132,1133,1132,1132,1132,1131,1132,1131,1132,1132,1132,1132,1131,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1131,1132,1131,1132,1131,1131,1131,1132,1131,1132,1132,1131,1131,1131,1130,1131,1131,1130,1130,1130,1131,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1129,1130,1129,1130,1130,1130,1130,1130,1129,1129,1129,1129,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1131,1131,1131,1131,1131,1131,1131,1131,1130,1131,1130,1131,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1129,1130,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1130,1129,1129,1129,1129,1130,1130,1130,1130,1130,1130,1130,1132,1131,1131,1131,1131,1131,1131,1131,1130,1131,1131,1131,1131,1131,1131,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1131,1130,1130,1131,1130,1130,1131,1130,1130,1130,1131,1130,1130
Coal,6,6,6,6,6,6,7,5,5,5,5,5,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,6,6,6,6,7,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,6,4,3,4,4,4,4,4,4,3,4,4,5,5,3,3,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,5,4,5,5,4,3,4,3,4,3,3,4,4,3,3,4,4,4,3,3,4,3,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,5,4,5,4,4,4,4,4,3,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5,4,4,4,4,5,4,4,5,5,5,4,5,5,5,5,5,6,5,6,5,5,5,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,5,4,5,4
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
