05/03/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,3677,3710,3721,3747,3808,3869,3965,4057,4160,4158,4150,4148,4131,4115,4179,4225,4183,4129,4066,4050,4063,4076,4033,3997,3986,3950,3856,3792,3771,3787,3780,3731,3706,3705,3667,3660,3648,3660,3685,3733,3798,3822,3784,3758,3785,3848,3882,3839,3784,3855,3928,3967,3975,3939,3914,3918,3959,3976,3994,4016,4030,4083,4100,4154,4171,4190,4229,4316,4397,4452,4456,4488,4515,4529,4563,4567,4564,4608,4667,4742,4802,4902,5210,5620,5975,6449,7013,7575,8032,8559,8973,9319,9650,9768,9657,9984,10527,11448,12034,12335,12802,13330,13476,13938,14453,14448,14778,14811,14438,14607,14932,15039,14994,14912,15096,15381,15401,15737,15866,15735,15805,16040,16171,16173,16008,15844,15725,15726,15720,15576,15636,15613,15466,15628,15417,15466,15584,15409,15349,15247,14970,14971,14993,14836,15004,15331,15405,15277,14981,14662,14181,14242,14413,14581,14651,14653,14553,14860,15213,14966,14617,14348,14170,14272,14629,14756,14368,13940,13887,14214,14312,14297,14228,13983,14038,14171,14276,14226,14109,13813,13756,13798,13603,13434,13210,12904,12593,12308,11708,11121,10544,9978,9341,8815,8246,7698,7139,6679,6248,5983,5783,5674,5492,5363,5287,5204,5148,5154,5145,5105,5089,5078,5056,5085,5103,5178,5228,5174,5097,5092,5116,5125,5286,5306,5348,5346,5366,5409,5424,5466,5538,5577,5598,5610,5630,5611,5588,5522,5507,5509,5519,5475,5487,5530,5564,5516,5492,5456,5402,5319,5265,5193,5147,5117,5019,4947,4873,4783,4759,4707,4700,4644,4604,4583,4476,4420,4415,4355,4319,4356,4341,4295,4258,4219,4200,4147,4081,3982,3918,3900,3885,3932,3927,3891,3924,4023,3999,3961,
Natural gas,12620,12713,12718,12770,12800,12899,12998,12957,12974,12960,12899,12705,12642,12773,12805,12750,12745,12672,12666,12593,12559,12562,12590,12531,12525,12442,12355,12301,12353,12380,12453,12464,12449,12427,12442,12428,12499,12482,12431,12457,12519,12488,12503,12505,12528,12591,12632,12731,12663,12706,12700,12581,13081,13037,13101,13049,13246,13359,13382,13595,13709,13675,13613,13598,13617,13839,14043,14646,14748,14809,14804,14725,14792,15073,15039,15056,15107,15142,15198,15371,15325,15207,14979,14931,14738,14535,14549,14635,14545,14562,14318,13765,13218,13203,13051,13046,12920,12721,12283,11816,11779,11841,11740,11870,11844,11692,11388,10928,10634,9963,9665,10121,10040,9663,9552,9761,9605,9547,9382,9147,9166,9207,8917,9141,8989,8670,8364,8379,8316,8232,8363,8363,7889,8278,8502,8709,8950,8835,8656,8650,8831,8763,8727,8762,8978,9056,9264,9098,8912,8718,8595,8493,8575,8715,8843,8739,8486,8229,8389,8232,8345,8405,8527,8769,8909,8523,8129,7787,7902,8160,8292,8260,8144,7880,7768,7822,8286,8361,8362,8534,8930,8975,8711,8649,8880,9124,9543,9995,10237,10431,10718,10988,11361,11653,11519,11982,12597,13092,13410,13566,13760,13883,14530,14686,14786,14686,14610,14641,14776,14939,15110,15051,14848,14629,14625,14659,14587,14452,14353,14245,14145,14096,14102,14049,14017,13958,13925,13858,13866,13830,13781,13763,13732,13685,13613,13559,13579,13665,13649,13608,13620,13627,13684,13804,13957,14011,14038,13999,14032,14008,14043,14096,14192,13892,14012,13999,13937,13926,13913,13886,13924,13921,13795,13739,13734,13670,13891,13872,13543,13695,13660,13323,13140,12707,12392,12324,12379,12526,12587,12709,12699,12673,12738,12466,12244,12304,12331,12444
Large hydro,861,864,866,869,866,814,784,729,704,702,699,705,705,732,702,701,709,669,649,641,643,641,642,640,642,680,709,711,709,665,643,641,646,642,645,640,635,646,679,699,701,651,638,648,638,639,644,654,688,694,740,755,754,712,691,693,690,695,693,705,766,921,976,983,976,987,993,995,994,1008,1008,1013,1055,1275,1359,1366,1365,1382,1384,1379,1382,1367,1352,1322,1193,974,903,930,966,896,874,899,903,913,900,886,869,783,728,732,741,723,727,743,720,710,733,767,768,714,669,712,679,653,647,653,653,653,648,648,646,629,607,606,603,607,605,602,598,597,597,600,601,617,626,647,632,631,657,645,650,643,630,628,604,285,272,277,279,283,286,302,323,335,341,334,325,302,326,293,261,284,295,307,307,281,286,504,586,583,589,594,611,618,603,594,606,609,609,617,673,716,720,728,730,739,735,739,737,745,738,786,839,1118,1251,1327,1422,1512,1542,1484,1469,1561,1597,1632,1637,1751,1828,1835,1836,1876,1901,1950,1998,1991,1988,1980,1964,1893,1783,1757,1750,1748,1744,1728,1714,1724,1721,1721,1745,1804,1837,1835,1829,1826,1823,1818,1800,1819,1807,1804,1811,1746,1708,1679,1635,1638,1641,1635,1640,1654,1656,1650,1632,1417,1340,1362,1357,1352,1350,1344,1335,1325,1338,1313,1255,1055,985,970,959,949,952,938,945,944,945,939,931,889,829,812,825,814,808,804,801,805,799,806
Imports,4682,4305,4099,3937,3829,3819,3791,3751,3793,3650,3636,3663,3601,3815,3818,3813,3857,3911,3946,4077,4122,3995,3940,3955,3916,3712,3698,3603,3585,3594,3524,3545,3579,3567,3652,3701,3614,3370,3297,3212,3293,3196,3070,3077,3008,2973,2915,2946,3090,3327,3470,3455,3198,3197,3041,3199,3109,3189,3141,3128,3163,3044,3115,3165,3037,2912,2872,2887,2758,2696,2549,2565,2795,2726,2955,3020,2825,2819,2892,2962,3053,3035,3312,3229,3124,3284,3205,2922,2551,2519,2861,2880,2757,2769,2835,2921,2570,2533,2502,2327,2256,1948,2032,1668,1295,1390,1069,819,799,1070,1037,1177,1321,1283,1315,1145,1183,945,974,880,673,611,378,463,661,903,1034,1063,1081,1166,1120,1095,883,454,348,230,281,446,486,264,425,454,472,491,553,532,518,518,599,649,882,799,755,811,778,717,807,360,235,366,542,518,701,640,426,127,331,63,-178,-109,54,79,139,174,139,96,195,177,-83,-65,-179,204,455,572,539,568,623,762,1062,1370,1761,2227,2573,2898,3076,3179,3093,3229,3270,3566,3769,3800,3589,3768,4023,3727,3866,4108,4057,4095,4124,4407,4847,5135,5160,5024,5183,5246,5290,5477,5593,5689,5566,5619,5620,5618,5589,5639,5622,5467,5374,5447,5514,5618,5608,5697,5407,5302,5366,5345,5169,5045,4926,4903,5038,5150,5137,5146,5122,5166,5147,5191,5260,5110,5153,5223,5173,5287,5274,5473,5459,5500,5509,5476,5523,5486,5424,5450,5668,5640,5732,6021,6105,6002,6007,5998,5788,5591,5498,5332,5260,5285,5287,5282,5266,5236,5323,5237
Batteries,-145,182,248,221,179,42,-59,-64,-182,-121,-162,-75,-30,-170,-180,-195,-246,-179,-177,-279,-312,-310,-321,-319,-301,-187,-74,35,-33,-76,-74,-101,-104,-97,-167,-156,-117,77,117,118,-6,125,211,207,260,243,343,405,183,-46,-107,-43,-155,-84,26,16,-39,-118,-71,-131,-164,-72,-102,-101,7,70,-74,-348,-236,-176,63,198,33,151,143,192,399,434,373,316,301,367,225,128,223,187,-68,-266,-312,-529,-720,-504,-412,-566,-551,-874,-1026,-1207,-1039,-930,-1224,-1447,-1595,-1757,-1864,-1885,-1701,-1418,-1180,-1024,-1075,-1472,-1536,-1317,-1375,-1563,-1574,-1696,-1779,-1595,-1607,-1729,-1616,-1796,-1744,-1637,-1487,-1549,-1550,-1445,-1538,-1508,-1180,-1142,-1118,-1284,-1423,-1348,-1444,-1302,-1426,-1465,-1451,-1392,-1593,-1561,-1701,-1560,-1351,-1142,-909,-854,-968,-1152,-1236,-1167,-937,-543,-811,-635,-589,-451,-598,-758,-853,-637,-222,241,114,-226,-477,-378,-183,178,255,142,-194,-139,94,253,157,-7,156,286,327,478,463,361,572,760,765,815,895,654,1037,1208,1281,1292,1439,1467,1499,1544,1508,1414,1367,1899,1841,1740,1876,1807,1694,1528,1282,1238,1249,1226,1212,1296,1417,1406,1356,1358,1293,1299,1291,1308,1306,1295,1199,1257,1224,1105,989,849,800,760,996,1016,965,988,1053,1090,1179,864,567,464,408,380,343,313,300,225,215,587,576,508,610,537,493,309,269,183,175,163,174,254,139,123,63,-89,-161,-164,-133,94,149,213,247,252,236,184,202,108,24,156,179,13,-101,-145
Nuclear,1132,1132,1132,1132,1131,1132,1132,1132,1131,1132,1132,1131,1132,1131,1131,1131,1130,1131,1132,1132,1131,1132,1131,1132,1132,1132,1132,1131,1130,1130,1129,1129,1129,1129,1129,1129,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1131,1131,1131,1131,1131,1131,1132,1132,1131,1132,1132,1132,1132,1132,1132,1131,1132,1131,1131,1132,1132,1132,1131,1132,1132,1131,1132,1132,1132,1132,1132,1132,1131,1131,1131,1131,1132,1131,1131,1131,1131,1131,1132,1131,1131,1131,1131,1132,1131,1131,1131,1131,1131,1131,1131,1131,1132,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1132,1133,1132,1132,1132,1132,1132,1133,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1131,1131,1132,1132,1132,1132,1132,1131,1131,1131,1131,1131,1132,1131,1131,1131,1131,1131,1131,1130,1130,1130,1130,1130,1130,1131,1131,1131,1131,1131,1132,1131,1131,1131,1132,1132,1131,1131,1131,1131,1132,1131,1132,1131,1131,1131,1132,1131,1131,1131,1131,1131,1130,1131,1131,1131,1130,1131,1130,1131,1131,1131,1130,1131,1131,1130,1131,1131,1131,1131,1131,1131,1132,1131,1131,1131,1131,1131,1131,1132,1131,1131,1131,1132,1130,1131,1131,1131,1131,1131,1131,1130,1131,1130,1131,1131,1131,1130,1131,1131,1131,1131,1130,1131,1130,1131,1131,1131,1130,1131,1131,1131,1131,1131,1130,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1132,1132,1131,1131,1131,1131,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1131,1132,1132,1132,1131,1132,1132
Coal,4,5,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,5,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,5,5,5,4,4,4,3,4,4,4,4,3,4,4,3,3,3,3,3,2,2,3,4,3,3,3,3,3,2,2,2,3,2,2,3,2,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,4,5,4,3,3,3,3,4,4,4,4,3,3,4,5,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,3,2,2,1,2,2,2,1,1,0,1,4,4,4,3,4,4,4,3,4,4,4,3,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
