05/03/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,3872,3880,3866,3846,3836,3849,3854,3845,3848,3823,3814,3863,3848,3803,3790,3743,3699,3667,3644,3569,3521,3471,3391,3339,3301,3283,3228,3193,3196,3188,3224,3252,3267,3256,3251,3260,3280,3273,3261,3266,3244,3223,3203,3201,3177,3166,3160,3140,3124,3138,3148,3167,3198,3209,3209,3211,3210,3225,3231,3221,3225,3264,3286,3294,3284,3258,3270,3301,3317,3340,3326,3322,3298,3294,3297,3314,3320,3378,3477,3562,3740,3965,4253,4597,5005,5487,5985,6514,7072,7654,8232,8819,9378,9939,10527,11117,11670,12244,12651,13108,13462,13750,14019,14246,14423,14547,14629,14751,14878,14942,14928,14973,15010,15026,15010,15108,15143,15245,15256,15254,15224,15174,15090,15076,15015,14964,14910,14846,14826,14811,14811,14789,14804,14742,14715,14704,14683,14655,14681,14731,14733,14767,14775,14624,14513,14706,14774,14807,14784,14674,14563,14523,14584,14430,14385,14453,14443,14437,14619,14512,14533,14212,14206,14257,14305,14217,14103,14099,14027,14246,14098,13943,13899,13732,13598,13854,13723,13514,13257,12937,12596,12242,11792,11247,10693,10087,9445,8837,8198,7580,6981,6357,5787,5262,4726,4204,3734,3393,3163,2983,2826,2719,2640,2613,2590,2549,2565,2563,2568,2589,2593,2616,2621,2641,2665,2677,2704,2717,2713,2704,2693,2686,2702,2697,2692,2686,2699,2708,2684,2666,2659,2658,2655,2671,2672,2678,2697,2694,2702,2705,2712,2727,2719,2711,2710,2724,2721,2707,2720,2755,2770,2774,2760,2753,2736,2741,2740,2740,2710,2722,2756,2764,2784,2776,2787,2804,2808,2815,2826,2834,2837,2825,2807,2798,2830,2850,2855,2842,2827,2835,2844,2852,2861,2864,2871,2883,2899,2900,
Natural gas,13666,13564,13509,13749,13502,13484,13527,13604,13650,13657,13657,13725,13772,13715,13688,13546,13543,13556,13551,13528,13475,13470,13545,13552,13540,13713,13801,13804,13865,13880,13864,13869,13979,13972,13909,13924,13962,13860,13792,13761,13797,13793,13763,13731,13737,13761,13758,13778,13819,13714,13677,13641,13621,13662,13713,13826,13875,13973,14103,14180,14181,14196,14138,14133,14190,14252,14254,14276,14354,14503,14554,14568,14564,14685,14647,14676,14708,14691,14769,14813,14804,14833,14885,14899,14847,14469,14192,14175,14020,13704,13398,13048,12537,12173,11845,11559,11500,10949,10339,10326,10133,10018,9704,9145,8571,8713,8345,8203,8334,8800,9060,9384,9452,9494,9557,9675,9630,9635,9400,9241,9092,9032,8789,8786,8857,8898,8875,9043,9110,9188,9193,9137,9059,8640,8516,8420,8409,8385,8328,8417,8345,8181,8256,8170,8166,8663,8796,8760,8876,9052,8981,8896,8941,8841,8741,8736,8744,8701,8866,8998,8998,8958,8778,8617,8377,8333,8050,8078,8182,8259,8297,8283,8080,8044,8221,8308,8469,8497,8521,8650,9098,9671,9741,9892,10343,10752,11050,11389,11636,11907,12156,12345,12356,12459,12766,13122,13322,13572,13940,14301,14613,14987,15229,15387,15596,15721,15845,16237,16336,16177,16225,16400,16358,16268,15985,15904,16028,15871,15708,15766,15769,15748,15730,15710,15668,15656,15596,15581,15545,15439,15349,15316,15184,15149,15165,15067,15006,14962,15016,14979,14888,14887,14950,14966,14948,14932,14931,14935,14925,14955,15011,15037,15055,14996,14904,14904,14984,14984,14964,14949,14975,14885,14815,14817,14825,14690,14648,14680,14641,14564,14464,14339,14269,14187,13928,13828,13864,14003,14028,14048,13975,13913,13822,13711,13608,13554,13616,13658
Large hydro,948,922,667,588,533,513,505,488,475,477,471,476,481,456,447,447,461,455,454,457,470,457,471,468,455,454,444,444,422,409,411,407,403,407,396,400,404,399,401,406,410,410,415,408,411,415,412,420,440,494,522,525,530,534,532,536,544,539,542,563,653,737,837,855,864,866,870,866,869,875,887,894,889,1006,1055,1067,1125,1139,1125,1114,1151,1127,1111,1092,1048,1032,985,940,933,924,918,917,920,911,896,859,810,730,715,726,724,716,716,714,702,693,693,697,700,741,737,767,761,723,702,703,703,703,703,691,715,665,625,622,609,589,588,584,583,585,592,602,605,633,644,664,660,661,659,658,675,677,672,675,654,608,612,607,304,267,264,268,269,275,271,270,263,266,262,272,273,269,268,492,616,615,610,610,606,612,623,636,628,620,626,619,619,620,625,654,668,742,790,795,791,796,800,804,813,851,968,1164,1314,1526,1725,1862,1937,1822,1818,1855,1880,1942,1987,2006,2042,2138,2136,2250,2372,2355,2349,2376,2376,2355,2362,2350,2326,2299,2288,2281,2284,2280,2267,2264,2269,2266,2265,2246,2199,2254,2245,2242,2231,2197,2190,2239,2250,2223,2222,2186,1996,1808,1729,1733,1731,1651,1626,1629,1612,1614,1612,1587,1554,1525,1499,1455,1433,1429,1426,1412,1417,1409,1406,1363,1378,1413,1422,1418,1378,1357,1347,1319,1304,1291,1303,1285,1278,1348,1365,1353,1333,1319,1298,1271,1260,1081,909,898
Imports,4003,4110,4313,4261,4290,4279,4288,4225,4169,4164,4156,4106,4077,4055,4064,3939,3904,3911,3877,3883,3856,3854,3848,3882,3843,3943,4002,4004,3965,3976,3966,3988,4003,4006,4063,4044,3960,3833,3780,3754,3782,3758,3724,3688,3689,3688,3713,3688,3752,3689,3671,3697,3629,3624,3527,3420,3373,3211,3025,3030,3317,3854,4092,4116,4085,4052,4024,3843,3720,3554,3487,3586,3729,3747,3797,3890,3946,3970,3924,3891,3877,3914,3886,3755,3508,3186,2839,2462,2613,2606,2668,2695,2486,2279,2165,1894,1653,1458,980,1027,1013,985,946,994,820,613,535,493,442,399,319,282,230,193,105,61,-20,-116,-283,-447,-421,88,365,317,211,117,42,15,-11,53,-3,19,-34,-28,-121,-292,-333,-365,-518,-520,-608,-815,-982,-986,-1000,-885,-942,-932,-837,-868,-870,-875,-871,-815,-824,-787,-797,-891,-978,-907,-888,-889,-966,-1012,-1045,-1002,-1073,-959,-809,-670,-397,-172,-195,-179,-253,-337,-373,-329,-235,-118,-104,240,671,886,1030,1274,1559,1970,2307,2334,2307,2472,2974,3576,3890,4118,4268,4201,4174,4121,4121,3884,3678,3569,3820,4336,4690,4828,4736,4561,4469,4647,4651,4643,4649,4731,4752,4638,4583,4565,4503,4561,4632,4571,4610,4703,4784,4875,4954,4634,4629,4680,4756,4820,4844,4889,4940,4948,4942,5063,5115,4911,4964,4983,5068,5043,5125,5340,5450,5440,5456,5449,5421,5368,5280,5178,4927,4950,5083,5039,5083,5263,5431,5404,5151,5035,5000,4920,4968,4989,4932,4992,5002,5037,5153,5166,4975,4642,4459,4328,4363,4317,4406,4439,4467,4567,4692,4637
Batteries,-363,-375,-288,-163,-110,-119,-185,-165,-177,-210,-238,-286,-362,-325,-269,-180,-176,-207,-208,-190,-147,-142,-173,-182,-189,-325,-390,-381,-406,-429,-438,-476,-537,-549,-553,-555,-553,-420,-347,-306,-332,-309,-250,-225,-222,-212,-207,-184,-193,-73,-2,36,104,122,216,328,422,554,687,722,481,200,179,209,296,360,463,716,864,925,1059,1103,1154,1385,1593,1659,1687,1710,1758,1850,1774,1617,1489,1361,1368,1488,1576,1530,1140,845,523,290,349,269,116,55,-87,155,513,133,-25,-152,-176,-141,77,-54,108,104,-85,-396,-558,-801,-921,-1014,-1098,-1189,-1252,-1283,-1138,-969,-1049,-1221,-1216,-1227,-1229,-1219,-1206,-1271,-1338,-1436,-1463,-1464,-1440,-1238,-1185,-1109,-1129,-1068,-1075,-1165,-1138,-960,-910,-818,-800,-1188,-1272,-1288,-1213,-1031,-936,-875,-953,-829,-715,-708,-715,-571,-720,-707,-699,-463,-274,-280,-317,-239,-119,-151,-187,-319,-390,-342,-96,69,130,58,130,298,491,558,445,76,22,169,227,260,331,321,484,920,1295,1571,1600,1397,1332,1302,1455,1842,1964,2006,2010,2084,2242,2399,2002,1482,1232,1011,1034,1230,1237,1054,1119,1185,1350,1347,1280,1450,1502,1519,1605,1563,1499,1546,1516,1403,1336,1252,1240,1441,1420,1414,1442,1391,1344,1327,1288,1280,1196,1080,1194,1457,1415,1327,1261,1261,1149,897,753,661,571,532,521,698,815,877,1014,949,781,807,641,423,257,217,295,261,207,156,94,65,76,52,23,-17,-16,-65,-18,0,13,12,-8,-13,-70,-63,-67,-111,-152,-165
Nuclear,1130,1130,1129,1130,1129,1130,1130,1130,1131,1130,1130,1130,1130,1130,1130,1130,1129,1130,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1132,1131,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1131,1132,1131,1132,1132,1131,1131,1131,1131,1132,1131,1132,1132,1131,1132,1131,1131,1131,1131,1131,1130,1131,1131,1131,1131,1131,1131,1131,1132,1131,1132,1131,1132,1132,1132,1131,1131,1132,1131,1132,1132,1131,1130,1131,1130,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1130,1131,1131,1130,1131,1130,1131,1131,1131,1131,1131,1131,1130,1131,1130,1131,1131,1131,1130,1130,1129,1130,1130,1128,1130,1130,1130,1130,1130,1130,1131,1131,1130,1131,1131,1131,1131,1131,1130,1130,1131,1131,1130,1130,1130,1131,1130,1132,1130,1130,1131,1131,1131,1131,1131,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1131,1130,1130,1130,1130,1130,1130,1130,1129,1129,1130,1130,1130,1130,1130,1130,1130,1130,1131,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1131,1130,1130,1130,1130,1130,1130,1130,1130,1130,1131,1130,1130,1130,1130,1129,1130,1130,1130,1129,1130,1129,1130,1129,1129,1129,1130,1129,1130,1129,1129,1128,1129,1129,1129,1129,1129,1130,1130,1129,1129,1129,1129,1129,1129,1130,1131,1129,1130,1130,1129,1130,1130,1130,1129,1129,1129,1130,1130,1129,1129,1130,1129,1129,1129,1129,1129,1129,1128,1129,1129,1129,1129,1129,1130,1130,1129,1129,1129,1129,1129,1130,1130,1130,1129,1129,1129,1129
Coal,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,3,4,3,4,4,4,3,3,4,3,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,3,3,3,4,4,4,3,4,3,4,4,4,4,4,4,5,4,4,3,3,3,3,3,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,4,4,5,4,5,5,5,5,5,6,6,7,7,7,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,5,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,2,2,2,2,2,4,3,4,4,4,3,3,3,4,4,4,4,5,4,5,5,3,3,3,3,3,4,5,5,4,4,5,5,4,4,4,4,5,4,4
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
