05/03/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,2651,2626,2595,2570,2561,2547,2545,2547,2542,2536,2540,2546,2541,2524,2529,2549,2564,2583,2596,2581,2571,2570,2567,2571,2621,2637,2651,2656,2630,2620,2614,2609,2611,2623,2625,2627,2641,2636,2624,2631,2660,2699,2734,2741,2742,2731,2715,2703,2723,2732,2709,2654,2569,2515,2480,2452,2440,2436,2419,2420,2446,2447,2445,2438,2429,2417,2387,2361,2340,2338,2315,2277,2235,2215,2212,2212,2225,2242,2288,2394,2520,2758,3057,3464,3863,4251,4594,5025,5532,5963,6452,6982,7433,7968,8453,8950,9051,9017,9323,9570,9807,10142,10288,10416,10573,10673,10883,10969,11016,11000,11107,11095,11223,11437,11468,11463,11369,11287,11169,11059,11248,11293,11309,11319,11345,11219,11246,11238,11279,11131,10948,10881,10881,10845,10805,10821,10984,11503,11968,11876,11972,12055,12094,12169,12261,12291,12288,12401,12497,12598,12630,12614,12624,12656,12745,12872,12778,12842,13013,13130,13058,12946,12924,13039,13096,13025,12999,12903,12666,12359,12414,12382,12289,12062,12093,11988,11672,11418,11223,10904,10625,10298,10055,9908,9580,9194,8642,8033,7426,6856,6245,5614,5096,4726,4253,3880,3532,3269,3027,2838,2703,2625,2589,2533,2520,2519,2524,2515,2501,2488,2484,2489,2495,2512,2538,2558,2572,2586,2598,2627,2651,2697,2738,2775,2828,2887,2921,2956,2986,2959,2963,2960,2968,3004,3050,3065,3090,3119,3156,3170,3167,3166,3160,3143,3143,3153,3145,3149,3144,3132,3133,3125,3104,3084,3083,3090,3080,3068,3080,3067,3049,3023,3009,2990,2988,2994,2982,2986,3004,3027,3032,3047,3066,3085,3107,3138,3173,3209,3233,3252,3271,3275,3265,3247,3211,3201,3189,3194,
Natural gas,12915,13026,13096,13127,13045,13040,13081,13102,13122,13083,13040,13016,13047,13145,13075,13070,12878,12877,12849,12989,13044,13018,13019,13021,12888,12921,12947,13058,13067,13011,13022,13033,13035,13062,13018,13027,13079,13196,13293,13374,13292,13228,13434,13336,13266,13203,13135,13125,13147,13209,13170,13318,13414,13311,13327,13290,13398,13484,13468,13367,13395,13498,13524,13378,13335,13302,13548,13932,14009,14083,14149,14180,14202,14099,14044,14073,14068,14131,14159,14199,14208,14345,14380,14540,14344,14174,14111,14053,13966,13907,13898,13387,13221,13109,12497,11883,11562,11293,10999,11373,11528,11232,11089,10351,9712,9870,9882,9863,9705,9335,9317,9147,9155,9237,9556,9602,9580,9488,9653,9591,9864,9734,9828,9738,9822,9834,9904,10148,10251,9951,9673,9567,9750,10160,10320,10234,10301,10639,10889,10463,9816,9826,10255,10275,10214,10190,10245,10172,10135,10150,10032,9619,9493,9482,9616,9587,9560,9587,9809,9853,9872,9476,9380,9493,9632,9667,9761,9769,9740,9230,8935,9135,9352,9086,9140,9590,10075,10349,10558,10733,10500,9907,9778,9923,10084,10447,11088,11683,11917,11971,12071,12044,12175,12483,12534,12680,12896,13057,13221,13579,13779,13972,14191,14335,14551,14561,14534,14533,14575,14609,14635,14630,14597,14602,14581,14618,14639,14536,14481,14458,14475,14437,14419,14427,14443,14462,14402,14449,14440,14402,14304,14277,14282,14272,14247,14215,14198,14194,14235,14223,14187,14059,14009,14013,14006,13992,13977,14015,14012,14033,14028,14063,14110,14329,14239,14141,14034,14170,14152,14116,14031,13920,13902,13942,13970,13910,13862,13983,13988,14042,14052,13923,13859,13831,13726,13626,13670,13534,13492,13487,13470,13418,13280,13233,13135,13152,12949,12737
Large hydro,991,797,704,704,712,687,676,667,670,675,677,667,657,652,640,659,645,640,640,641,646,643,641,640,641,632,621,632,622,620,618,623,626,627,622,615,577,268,268,274,270,272,275,274,274,273,272,286,312,354,391,411,422,425,419,390,388,419,409,416,539,780,995,1045,1064,1068,1097,1113,1132,1122,1127,1124,1145,1467,1494,1527,1612,1791,1902,1939,1913,1853,1769,1733,1646,1599,1376,1147,1064,958,901,848,836,843,827,848,822,707,553,544,551,530,538,545,530,527,525,521,522,522,520,539,541,517,509,511,510,504,508,491,479,241,129,146,144,118,110,105,108,114,115,114,118,126,125,131,138,121,112,119,116,116,117,122,123,119,130,134,132,124,125,128,130,130,126,130,126,132,132,130,123,148,165,176,155,137,130,145,167,515,501,485,494,497,482,488,490,491,493,493,505,530,548,598,593,599,606,601,625,697,811,958,1113,1281,1519,1609,1635,1671,1782,1902,2050,2107,2144,2142,2117,2135,2205,2165,2185,2198,2261,2280,2263,2260,2221,2206,2175,2090,2054,2071,2107,2073,2018,1990,1968,1940,1790,1762,1744,1812,1850,1841,1812,1782,1735,1701,1696,1691,1736,1858,1893,1953,1999,2030,2023,1969,1914,1889,1888,1880,1844,1836,1838,1899,1930,1942,1802,1771,1715,1682,1667,1664,1658,1647,1578,1510,1398,1324,1184,1118,1052,1022,1004,999,984,924,907,844,801,830,843,815,786,801,795,787,832,794
Imports,5052,4889,4865,4850,4855,4873,4857,4792,4758,4793,4820,4775,4702,4410,4374,4456,4561,4566,4544,4627,4673,4633,4602,4610,4719,4798,4720,4702,4735,4683,4610,4534,4480,4432,4350,4269,4227,4143,4086,3965,3888,3872,3731,3808,3762,3800,3821,3837,3927,3875,3791,3768,3936,3871,3867,3967,3929,3831,3944,3990,4141,4321,4386,4503,4625,4718,4608,4649,4741,4634,4496,4616,4697,4693,4834,4759,4734,4777,5056,5179,5061,5225,5351,5240,4739,4173,3900,3600,3516,3487,3306,3228,3033,2926,3370,3432,3514,3412,3283,3082,2890,3049,3084,2945,2898,2897,2784,2526,2346,2679,2791,2629,2382,2211,2268,2139,2054,2015,2145,2091,2162,2143,2244,2318,2231,2279,2220,2426,2411,2476,2465,2422,2337,2301,2174,2131,2223,2132,1949,2148,2038,1966,1756,1751,1740,1740,1688,1682,1715,1637,1762,1926,1821,1786,1833,1839,1863,1902,1923,1970,1988,1903,1888,1833,1886,1965,1959,1988,2085,2003,1960,2081,2251,2278,2115,2222,2217,2067,2150,2299,2290,2403,2467,2473,2559,2581,2561,2850,3207,3334,3821,4032,4474,4691,4737,5023,5358,5246,5164,4995,4794,4690,4722,4787,5009,5173,5244,5407,5248,5177,5070,4972,4948,4893,4920,4927,4885,4829,4972,4974,4991,4884,4882,4935,4882,4928,5104,5098,5164,5108,5056,5100,5102,5091,5126,5128,5254,5330,5239,5244,5153,4756,4795,4751,4884,4986,5046,5119,5138,5184,5185,5222,5171,4826,4701,4774,4905,4774,4794,4863,4887,4916,4987,4942,4863,5004,4984,4871,4911,4921,4974,4982,5000,4954,4971,5012,4797,4627,4536,4472,4376,4451,4384,4406,4456,4393,4601,4581
Batteries,67,398,490,509,527,439,361,367,303,227,150,132,150,407,476,351,370,330,248,34,-70,-87,-115,-165,-209,-286,-265,-334,-332,-310,-235,-235,-254,-257,-169,-75,-10,322,364,380,468,507,456,439,525,550,621,609,511,520,650,615,496,683,764,767,825,853,854,969,831,640,613,656,670,692,643,402,474,579,729,758,893,920,955,1118,1193,1019,671,553,615,324,111,-36,275,697,910,1100,965,704,481,548,411,81,-134,-193,-164,185,246,-7,-209,-412,-427,-51,69,-185,-255,-136,-122,-134,-213,-117,-163,-367,-651,-658,-581,-607,-744,-725,-994,-878,-885,-822,-957,-936,-1071,-1300,-1423,-1378,-1179,-1113,-1215,-1372,-1314,-1268,-1440,-1803,-1997,-1854,-1568,-1565,-1739,-1810,-1863,-1854,-1860,-1905,-1968,-1964,-1944,-1797,-1680,-1688,-1772,-1819,-1767,-1774,-1987,-2057,-1957,-1621,-1513,-1614,-1749,-1646,-1646,-1596,-1396,-1150,-1156,-1266,-1328,-1038,-983,-1196,-1228,-1135,-1073,-1028,-828,-421,-161,-95,-27,98,132,69,157,459,555,862,762,698,887,829,826,1139,1323,1336,1515,1598,1605,1618,1477,1373,1355,1358,1616,1697,1812,1853,1867,1912,1889,1854,1878,1976,1833,1780,1686,1745,1729,1638,1629,1486,1392,1371,1231,1217,1200,1154,1188,1117,1078,1097,926,817,763,592,724,1081,1008,936,794,702,608,530,474,370,331,290,256,334,398,358,376,386,346,330,365,373,276,243,220,154,207,174,132,60,2,-7,-25,-84,-116,-116,-48,170,235,220,137,22,47,38,35,-7,-38,34
Nuclear,1128,1129,1128,1128,1128,1128,1128,1129,1128,1129,1129,1129,1128,1128,1128,1128,1128,1128,1129,1128,1128,1128,1128,1128,1128,1128,1128,1129,1129,1129,1129,1129,1128,1129,1129,1129,1129,1130,1129,1129,1129,1130,1129,1129,1129,1129,1129,1129,1129,1129,1128,1129,1129,1129,1129,1130,1130,1129,1129,1129,1129,1130,1130,1129,1129,1129,1129,1129,1129,1130,1129,1130,1130,1130,1130,1130,1129,1130,1130,1130,1130,1130,1129,1130,1130,1129,1129,1129,1129,1130,1130,1129,1129,1130,1130,1129,1130,1129,1130,1130,1129,1130,1130,1130,1129,1129,1131,1130,1130,1129,1130,1130,1130,1130,1130,1130,1129,1130,1129,1129,1130,1129,1129,1129,1130,1130,1131,1131,1130,1130,1131,1130,1130,1131,1129,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1129,1130,1130,1130,1130,1130,1130,1130,1130,1129,1129,1130,1128,1129,1128,1128,1129,1128,1129,1129,1128,1129,1128,1128,1127,1129,1128,1128,1128,1128,1129,1129,1129,1129,1129,1130,1129,1130,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1130,1129,1130,1130,1130,1131,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1131,1130,1130,1130,1130,1130,1130,1130,1131,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1129,1129,1129,1129,1128,1129,1129,1130,1130,1129,1130,1129,1129,1129,1130,1130,1130,1130,1129,1129,1130,1130,1129,1129,1130,1130,1130,1131,1130,1130,1130,1130,1130,1130,1131,1131,1130,1130,1131,1131,1131,1131,1130,1131
Coal,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,3,3,3,3,4,4,4,4,4,3,3,4,4,3,3,3,2,4,3,3,2,3,3,3,2,3,2,3,4,5,4,4,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,2,2,1,4,3,3,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,4,3,2,2,3,2,3,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,1,2,1,1,2,2,1,1,3,3,3,3,2,2,2,2,2,2,3,3,3,2,2,2,3,2,2,2,2,2,2,3,2,3,3,2,2,2,3,3,2,3,3,2,3,3,3,3,3,2,3,3,2,2,3,2,2,3,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,4,4,5,5,4,4,4,4,4,4,4,4,3,4,4
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
